component_id,kind,n_members,n_v1,n_new,v1_labels,merged_from_baseline_groups,cath_folds
2,inherited,19,16,3,2,1,3.40.50.1820
10,inherited,23,17,6,10,1,3.90.1300.10
M1,merged,302,85,217,1;20;35,5,3.40.50.1820
28,inherited,2,2,0,28,1,3.40.50.1820
26,inherited,5,3,2,26,1,3.40.50.1820
9,inherited,48,6,42,9,1,3.60.70.12
15,inherited,3,3,0,15,1,NA
21,inherited,6,5,1,21,1,3.40.50.1820
23,inherited,17,13,4,23,1,3.40.50.1820
17,inherited,2,1,1,17,1,TBDX
25,inherited,7,6,1,25,1,3.40.50.1820
5,inherited,2,2,0,5,1,3.40.50.1820
4,inherited,5,5,0,4,1,3.40.50.1820
40,inherited,1,1,0,40,1,3.40.50.1820
12,inherited,2,1,1,12,1,2.40.10.10
19,inherited,1,1,0,19,1,TBDZ
8,inherited,1,1,0,8,1,3.40.710.10
41,inherited,1,1,0,41,1,3.40.710.10
14,inherited,2,2,0,14,1,2.60.40.420
24,inherited,1,1,0,24,1,3.40.50.1820
11,inherited,3,2,1,11,1,2.40.10.10
27,inherited,1,1,0,27,1,3.40.50.1820
N1,novel,1,0,1,,0,
42,inherited,2,1,1,42,1,3.40.710.10
22,inherited,4,3,1,22,1,3.40.50.1820
16,inherited,5,5,0,16,1,NA
18,inherited,1,1,0,18,1,TBDY
7,inherited,1,1,0,7,1,3.40.50.1820
N2,novel,1,0,1,,0,
N3,novel,1,0,1,,0,
29,inherited,1,1,0,29,1,3.40.50.1820
N4,novel,1,0,1,,0,
30,inherited,2,2,0,30,1,3.40.50.1820
31,inherited,2,2,0,31,1,3.40.50.1820
3,inherited,5,5,0,3,1,3.40.50.1820
33,inherited,1,1,0,33,1,3.40.50.1820
32,inherited,2,1,1,32,1,3.40.50.1820
6,inherited,1,1,0,6,1,3.40.50.1820
34,inherited,1,1,0,34,1,3.40.50.1820
43,inherited,1,1,0,43,1,3.40.710.10
36,inherited,1,1,0,36,1,3.40.50.1820
37,inherited,1,1,0,37,1,3.40.50.1820
38,inherited,1,1,0,38,1,3.40.50.1820
39,inherited,1,1,0,39,1,3.40.50.1820
N5,novel,1,0,1,,0,
