node_id,component,component_size
m0001,1,228
m0002,1,228
m0005,1,228
m0006,1,228
m0011,1,228
m0012,1,228
m0014,1,228
m0016,1,228
m0017,1,228
m0023,1,228
m0025,1,228
m0028,1,228
m0031,1,228
m0033,1,228
m0036,1,228
m0037,1,228
m0039,1,228
m0040,1,228
m0041,1,228
m0043,1,228
m0045,1,228
m0047,1,228
m0048,1,228
m0050,1,228
m0051,1,228
m0054,1,228
m0062,1,228
m0063,1,228
m0064,1,228
m0065,1,228
m0066,1,228
m0067,1,228
m0068,1,228
m0069,1,228
m0070,1,228
m0071,1,228
m0073,1,228
m0074,1,228
m0076,1,228
m0077,1,228
m0079,1,228
m0083,1,228
m0084,1,228
m0086,1,228
m0088,1,228
m0090,1,228
m0093,1,228
m0094,1,228
m0095,1,228
m0096,1,228
m0097,1,228
m0098,1,228
m0101,1,228
m0102,1,228
m0103,1,228
m0104,1,228
m0109,1,228
m0111,1,228
m0113,1,228
m0118,1,228
m0120,1,228
m0122,1,228
m0123,1,228
m0124,1,228
m0125,1,228
m0128,1,228
m0130,1,228
m0131,1,228
m0133,1,228
m0134,1,228
m0136,1,228
m0137,1,228
m0138,1,228
m0141,1,228
m0144,1,228
m0149,1,228
m0154,1,228
m0155,1,228
m0157,1,228
m0158,1,228
m0159,1,228
m0160,1,228
m0161,1,228
m0162,1,228
m0163,1,228
m0165,1,228
m0166,1,228
m0167,1,228
m0168,1,228
m0169,1,228
m0170,1,228
m0172,1,228
m0173,1,228
m0174,1,228
m0175,1,228
m0176,1,228
m0178,1,228
m0182,1,228
m0183,1,228
m0184,1,228
m0185,1,228
m0187,1,228
m0188,1,228
m0191,1,228
m0192,1,228
m0193,1,228
m0194,1,228
m0197,1,228
m0198,1,228
m0202,1,228
m0205,1,228
m0206,1,228
m0210,1,228
m0214,1,228
m0215,1,228
m0216,1,228
m0217,1,228
m0218,1,228
m0219,1,228
m0227,1,228
m0228,1,228
m0229,1,228
m0230,1,228
m0231,1,228
m0232,1,228
m0233,1,228
m0234,1,228
m0235,1,228
m0237,1,228
m0238,1,228
