component_id,size_rank,canonical_accession,n_members,n_with_v1_overlay,v1_component_spread,cath_folds,member_accessions
C001,1,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,90,90,1;35,3.40.50.1820,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1;A0A031MKR8;A0A078MGG8;A0A0G3BI90_9BURK;A0A0K8P6T7;A0A1F4JXW8;A0A1H6AD45;A0A1Z2SIQ1_VIBGA;A4W93_05950;ACC95208.1;ACY95991.1;ADK73612;ADM47605.1;ADV92526.1;ADV92571;AGT96415;AJ810119;BAB86909;BAI99230;D1A9G5;D4Q9N1;DAC80635;E5BBQ2;E5BBQ3_THEFU;E8U721;E9LVH7;E9LVH8;E9LVH9;E9LVI0_THEFU;EGD44994.1;F7IX06;G9BY57;GBD22443;H6WX58;Ipet;Ipet;JGI20132J14458_10325381;JN129499.1;JN129500.1;JzSedJan11_10004914;KU695573;MEC8523093.1;ODU60407.1;OK558824;OK558825;P19833;Q47RJ6_THEFY;Q47RJ7_THEFY;Q6A0I4;Q8RR62;R4YKL9_OLEAN;RGD93181;RLI42440.1;RLT92980.1;RLU00646.1;SAY37579.1;SAY37582.1;SAY37583.1;SAY37584.1;SAY37587.1;SAY37589.1;SHM40309.1;SUD16364.1;W0TJ64;WAU86704.1;WOR09923;WP_010659881.1;WP_013858543.1;WP_039353427;WP_058088494.1;WP_062195544.1;WP_068824797.1;WP_078759821.1;WP_082414832.1;WP_083947829.1;WP_085749238.1;WP_090538641.1;WP_093412886.1;WP_101893509.1;WP_104613137.1;WP_107095481.1;WP_111881932;WP_117215036.1;WP_118011433;XCO66867;XDS72785.1;YNP18_240440;YNPsite05_CeleraDRAFT_401410;YNPsite06_CeleraDRAFT_160970;YNPsite06_CeleraDRAFT_367810
C002,2,A0A060N399,17,17,2,3.40.50.1820,A0A060N399;A0A060N5H2;A0A075B5G4;A0A0P0ZE81;A0A7I8E2Z4;AAA33335.1;AB102945.1; Q874E;AB739034;Cut;Cut;ESK97883;KAH7127633;P52956;Q99174;QEX94755.1;UNZ22463.1;X0BTD8
C012,3,AAK28498.1,17,17,10,3.90.1300.10,AAK28498.1;AGT90042.1;ANG60415.1;ARF18137.1;AY026386;BAI44731;BBP47208; XP_036664376;NYLA_FLASK;NYLA_PSES8;NylA;NylA;Q12559;WBR49956;WBR49957;WBR49958;WP_011209364.1;WP_185053500
C007,4,A0A2I2K6T5,13,13,23,3.40.50.1820,A0A2I2K6T5;ADH43200.1;AKJ87216;ALS54749.1;BAA76305.1;L0EF70;P20261;UNZ81746;UNZ81748;WID88783.1;WP_041847557.1;YNP6_02150;YNPsite06_CeleraDRAFT_263770
C008,5,A0A7W8QII1,6,6,9,3.60.70.12,A0A7W8QII1;A0A840P940;KQR39103;NYLC_FLASK;Q1EPR4;Q1EPR5
C009,6,A4UZ11,6,6,25,3.40.50.1820,A4UZ11;AB302136; A4UZ10;AKZ20828.1;AKZ20829.1;EIW29778.1;WP_108898452.1
C006,7,A0A291HVH1,5,5,21,3.40.50.1820,A0A291HVH1;P00780;P06873;P29599;P29600
C011,8,AAD22743.1,5,5,4,3.40.50.1820,AAD22743.1;AAF01331.1;AAF66684.1;AAY92471.1;AAY92474.2
C024,9,H6N162,5,5,16,NA,H6N162;H6N4Z1;MT664881;MT664882;Q3L8N0
C032,10,Q0K2G9,5,5,3,3.40.50.1820,Q0K2G9;Q0K4D5;Q0K7T2;Q0KCI0;Q7WXF6
C004,11,A0A1E1FNX8,3,3,26,3.40.50.1820,A0A1E1FNX8;APJ12152.1;Q83VDO
C005,12,A0A1S6Q8F9,3,3,15,NA,A0A1S6Q8F9;LC073705;Q7X0P3
C022,13,CEE00769.1,3,3,22,3.40.50.1820,"CEE00769.1;Chen, 2024;GU116480"
C003,14,A0A080NJE8,2,2,28,3.40.50.1820,A0A080NJE8;Q0K9H3
C010,15,A4UZ13,2,2,5,3.40.50.1820,A4UZ13;AB302138; A4UZ12
C017,16,AII11185,2,2,14,2.60.40.420,AII11185;AII11221
C019,17,B0FLR6,2,2,11,2.40.10.10,B0FLR6;Q75UA4
C030,18,P94146,2,2,30,3.40.50.1820,P94146;Q51871
C031,19,Q0JYJ1,2,2,31,3.40.50.1820,Q0JYJ1;Q0JZG9
C013,20,AB302140,1,1,40,3.40.50.1820,AB302140
C014,21,ACD16728.1,1,1,19,TBDZ,ACD16728.1
C015,22,AGT96414.1,1,1,8,3.40.710.10,AGT96414.1
C016,23,AHG30919.1,1,1,41,3.40.710.10,AHG30919.1
C018,24,AKJ87264,1,1,24,3.40.50.1820,AKJ87264
C020,25,B0FY08,1,1,12,2.40.10.10,B0FY08
C021,26,B2NHN2,1,1,27,3.40.50.1820,B2NHN2
C023,27,GxsBSedJan11_10251181,1,1,35,3.40.50.1820,GxsBSedJan11_10251181
C025,28,KP347755.1,1,1,18,TBDY,KP347755.1
C026,29,LIPB_PSEA2,1,1,7,3.40.50.1820,LIPB_PSEA2
C027,30,N20M5AZM016,1,1,20,3.40.50.1820,N20M5AZM016
C028,31,NYLB_FLASK,1,1,42,3.40.710.10,NYLB_FLASK
C029,32,O82950,1,1,29,3.40.50.1820,O82950
C033,33,Q0KBZ6,1,1,33,3.40.50.1820,Q0KBZ6
C034,34,Q0VLQ1,1,1,32,3.40.50.1820,Q0VLQ1
C035,35,Q6N9M9; RPA1511,1,1,6,3.40.50.1820,Q6N9M9; RPA1511
C036,36,Q939Q9,1,1,34,3.40.50.1820,Q939Q9
C037,37,UNZ81747,1,1,43,3.40.710.10,UNZ81747
C038,38,W6R2Y2,1,1,17,TBDX,W6R2Y2
C039,39,WP_034767800.1,1,1,36,3.40.50.1820,WP_034767800.1
C040,40,WP_041846030.1,1,1,37,3.40.50.1820,WP_041846030.1
C041,41,WP_085690612,1,1,38,3.40.50.1820,WP_085690612
C042,42,WP_108898647.1,1,1,39,3.40.50.1820,WP_108898647.1
