node_id,component,component_size
m0001,1,229
m0002,1,229
m0003,1,229
m0004,1,229
m0007,1,229
m0012,1,229
m0013,1,229
m0015,1,229
m0017,1,229
m0018,1,229
m0024,1,229
m0026,1,229
m0029,1,229
m0032,1,229
m0034,1,229
m0035,1,229
m0038,1,229
m0039,1,229
m0040,1,229
m0042,1,229
m0043,1,229
m0044,1,229
m0046,1,229
m0048,1,229
m0050,1,229
m0051,1,229
m0053,1,229
m0054,1,229
m0057,1,229
m0065,1,229
m0066,1,229
m0067,1,229
m0068,1,229
m0069,1,229
m0070,1,229
m0071,1,229
m0072,1,229
m0073,1,229
m0074,1,229
m0076,1,229
m0077,1,229
m0079,1,229
m0080,1,229
m0082,1,229
m0086,1,229
m0087,1,229
m0089,1,229
m0091,1,229
m0093,1,229
m0096,1,229
m0097,1,229
m0098,1,229
m0099,1,229
m0100,1,229
m0101,1,229
m0104,1,229
m0105,1,229
m0106,1,229
m0107,1,229
m0112,1,229
m0114,1,229
m0116,1,229
m0121,1,229
m0123,1,229
m0124,1,229
m0125,1,229
m0126,1,229
m0127,1,229
m0130,1,229
m0133,1,229
m0134,1,229
m0136,1,229
m0137,1,229
m0139,1,229
m0140,1,229
m0141,1,229
m0144,1,229
m0147,1,229
m0152,1,229
m0157,1,229
m0158,1,229
m0160,1,229
m0161,1,229
m0162,1,229
m0163,1,229
m0164,1,229
m0165,1,229
m0166,1,229
m0168,1,229
m0169,1,229
m0170,1,229
m0171,1,229
m0172,1,229
m0173,1,229
m0175,1,229
m0176,1,229
m0177,1,229
m0178,1,229
m0179,1,229
m0181,1,229
m0185,1,229
m0186,1,229
m0187,1,229
m0188,1,229
m0190,1,229
m0191,1,229
m0194,1,229
m0195,1,229
m0196,1,229
m0197,1,229
m0200,1,229
m0201,1,229
m0207,1,229
m0208,1,229
m0212,1,229
m0216,1,229
m0217,1,229
m0218,1,229
m0219,1,229
m0220,1,229
m0221,1,229
m0229,1,229
m0230,1,229
m0231,1,229
m0232,1,229
m0233,1,229
m0234,1,229
m0235,1,229
m0236,1,229
m0237,1,229
m0239,1,229
m0240,1,229
m0245,1,229
m0246,1,229
m0247,1,229
m0249,1,229
m0250,1,229
m0251,1,229
m0254,1,229
m0256,1,229
m0257,1,229
m0261,1,229
m0264,1,229
m0266,1,229
m0267,1,229
m0268,1,229
m0269,1,229
m0273,1,229
m0274,1,229
m0275,1,229
m0276,1,229
m0278,1,229
m0279,1,229
m0280,1,229
m0282,1,229
m0283,1,229
m0284,1,229
m0286,1,229
m0289,1,229
m0292,1,229
m0293,1,229
m0294,1,229
m0295,1,229
m0296,1,229
m0297,1,229
m0299,1,229
m0305,1,229
m0306,1,229
m0307,1,229
m0309,1,229
m0311,1,229
m0312,1,229
m0314,1,229
m0316,1,229
m0317,1,229
m0319,1,229
m0321,1,229
m0323,1,229
m0327,1,229
m0328,1,229
m0329,1,229
m0330,1,229
m0331,1,229
m0332,1,229
m0334,1,229
m0335,1,229
m0336,1,229
m0337,1,229
m0338,1,229
m0339,1,229
m0341,1,229
m0342,1,229
m0343,1,229
m0345,1,229
