node_id	sequence_md5	accession	accession_all	enzyme_name	enzyme_name_all	organism	sequence_length	n_source_rows	v1_component	cath
m0001	004af9e9b29cb7a99eee6d96edfaabcd	ATH80290	ATH80290	HP	HP	Ectopseudomonas mendocina	280	1		
m0002	00855c73c087597a6c69fa2b114d731e	SAY37579.1	SAY37579.1	PHL-1	PHL-1	compost metagenome	260	1	1	3.40.50.1820
m0003	009e600d3a7df316a22764026a76e2bc	WP_142197250.1	WP_142197250.1	ScPETase	ScPETase	Streptomyces calvus	300	1		
m0004	01d9529bef2a8dc5220ebb00fe475a02			JW45_1534	JW45_1534		417	1		
m0005	02048bc3dc3b8c853e51fcc55038f6ac	KAH7127633	KAH7127633	DmC	DmC	Dactylonectria macrodidyma	237	1	2	3.40.50.1820
m0006	024678fb7e5f5a204647fd2d1e393aab	Q3L8N0.2	Q3L8N0.2	LCP_STRK3	LCP_STRK3	Streptomyces sp. K30	407	1	16	NA
m0007	04eb6f62384740641a457083240d65be	WP_137976057.1	WP_137976057.1	1821	1821	Streptomyces violaceusniger	378	1		
m0008	0600d8fd8a62760bde8393fb0fde0e0d	WP_091283529.1	WP_091283529.1	1591	1591	Micromonospora haikouensis	463	1		
m0009	067e281972e92f24fb345ef6c8870caa	APJ12152	APJ12152	LipMRD9	LipMRD9	Bacillus safensis	215	1	26	3.40.50.1820
m0010	06838ea54893acb0dae64a94f5fe912a			ReU	ReU		471	1		
m0011	06d89e9f595b7abc6f662a4ea5fc3f77	WBR49957.1	WBR49957.1	UMG-SP-2	UMG-SP-2	Metagenome	439	1	10	3.90.1300.10
m0012	06ea0302cc54279d54aebaa45774cfe7	A0A3D1YDR8	A0A3D1YDR8	Nyl37	Nyl37	Dehalococcoidia bacterium	311	1		
m0013	073907a632be32c5b92c8381c4de0c90	WP_085748997.1	WP_085748997.1	LatA	LatA	Piscinibacter gummiphilus	679	1	15	NA
m0014	073f8bc76f09e2183891c86f93e05b7d	MBO9569276.1	MBO9569276.1	TEP091	TEP091	Cellulomonas iranensis	284	1		
m0015	07624194bbcd6bf29fe626de86e9ca46	WP_150070118.1	WP_150070118.1	TEP105	TEP105	Saccharopolyspora hirsuta	295	1		
m0016	085add734f10d1917f9638347ab618d2	WP_132259156.1	WP_132259156.1	PhaZ7	PhaZ7	Paucimonas lemoignei	380	1	34	3.40.50.1820
m0017	0a552022c4776bbf93ebe23164db0cd0	MBW4703769.1	MBW4703769.1	ESM101	ESM101	Micromonospora sp. RL09-050-HVF-A	474	1		
m0018	0ac767e72406f2fc0cf50fd9008e6f16	ATG80622.1	ATG80622.1	LP175	LP175	Laceyella sacchari	385	1	21	3.40.50.1820
m0019	0b490a6d93d67b0ebb2d6cd3d80f9d9a	WKW63607.1	WKW63607.1	PET93	PET93	Maribacter dokdonensis	434	1		
m0020	0bed3021f541af53d7f9285ae8d85094	WP_144022925.1	WP_144022925.1	ESM160	ESM160	Asanoa hainanensis	296	1		
