source,target,pct_id,evalue,bits
n1,n10,52.4,3.180e-69,252.0
n1,n11,51.1,9.870e-71,257.0
n1,n12,49.6,5.420e-69,251.0
n1,n13,50.4,1.430e-69,253.0
n1,n14,49.3,6.840e-72,261.0
n1,n15,50.3,2.780e-73,265.0
n1,n16,48.9,1.740e-67,246.0
n1,n18,64.6,4.530e-108,381.0
n1,n19,46.4,1.520e-71,260.0
n1,n2,47.7,4.290e-66,242.0
n1,n20,48.4,1.170e-71,260.0
n1,n21,78.6,3.230e-130,455.0
n1,n22,49.0,4.150e-69,252.0
n1,n23,49.1,5.420e-69,251.0
n1,n24,44.5,2.780e-65,239.0
n1,n25,49.7,3.070e-72,262.0
n1,n26,51.3,1.680e-70,256.0
n1,n27,49.0,4.150e-69,252.0
n1,n28,41.9,8.670e-59,217.0
n1,n29,49.7,6.840e-72,261.0
n1,n30,51.1,9.870e-71,257.0
n1,n31,49.6,5.420e-69,251.0
n1,n32,44.5,4.160e-61,225.0
n1,n33,47.3,7.820e-68,247.0
n1,n34,44.7,3.400e-63,232.0
n1,n36,54.8,8.340e-78,280.0
n1,n4,74.9,3.030e-120,421.0
n1,n40,30.1,6.270e-25,105.0
n1,n41,49.6,2.350e-72,262.0
n1,n42,62.1,2.490e-98,349.0
n1,n43,44.2,7.340e-58,214.0
n1,n44,50.3,2.780e-73,265.0
n1,n45,49.3,6.840e-72,261.0
n1,n46,50.3,2.780e-73,265.0
n1,n47,78.6,3.230e-130,455.0
n1,n5,49.0,2.060e-68,249.0
n1,n50,35.6,2.900e-38,149.0
n1,n51,53.0,2.270e-75,272.0
n1,n52,47.5,1.930e-66,243.0
n1,n53,48.7,5.420e-69,251.0
n1,n54,48.9,6.620e-67,244.0
n1,n55,47.9,7.320e-66,241.0
n1,n56,49.0,1.330e-67,247.0
n1,n57,47.9,4.290e-66,242.0
n1,n58,42.9,5.250e-64,235.0
n1,n59,49.7,7.800e-76,274.0
n1,n6,48.4,2.520e-66,242.0
n1,n60,53.2,2.680e-76,275.0
n1,n61,50.6,3.620e-73,265.0
n1,n62,50.2,5.420e-69,251.0
n1,n64,48.5,4.740e-65,238.0
n1,n66,49.5,3.740e-78,282.0
n1,n67,38.8,3.200e-45,172.0
n1,n68,50.0,6.170e-81,291.0
n1,n69,48.4,2.060e-68,249.0
n1,n7,51.2,1.980e-79,286.0
n1,n70,51.0,2.870e-78,282.0
n1,n71,51.4,1.050e-80,290.0
n1,n72,44.5,1.170e-63,233.0
n1,n73,42.4,1.170e-63,233.0
n1,n74,52.0,3.070e-72,262.0
n1,n75,61.5,2.660e-100,355.0
n1,n76,48.2,3.870e-75,272.0
n1,n77,49.7,1.090e-77,280.0
n1,n78,44.9,9.560e-66,240.0
n1,n79,34.5,3.200e-37,146.0
n1,n8,50.6,2.430e-69,252.0
n1,n80,49.7,4.010e-72,262.0
n1,n81,50.5,5.230e-72,261.0
n1,n82,36.9,1.390e-40,157.0
n1,n83,40.6,3.190e-53,199.0
n1,n86,50.7,1.570e-76,276.0
n1,n87,42.8,4.020e-64,235.0
n1,n88,45.3,1.580e-60,223.0
n1,n89,53.2,1.020e-75,273.0
n1,n9,51.9,1.680e-70,256.0
n10,n11,98.5,7.380e-150,520.0
n10,n12,91.6,3.110e-140,488.0
n10,n13,96.2,7.630e-147,510.0
n10,n14,91.6,1.180e-139,486.0
n10,n15,98.5,2.800e-149,518.0
n10,n16,73.7,4.520e-115,404.0
n10,n18,51.3,7.790e-75,270.0
n10,n19,46.1,1.740e-66,243.0
n10,n2,63.6,1.760e-95,339.0
n10,n20,48.7,4.290e-65,238.0
n10,n21,52.0,7.070e-68,247.0
n10,n22,81.6,6.720e-127,443.0
n10,n23,80.8,4.810e-125,437.0
n10,n24,63.7,3.250e-97,345.0
n10,n25,91.2,3.430e-139,484.0
n10,n26,97.7,3.100e-148,514.0
n10,n27,81.6,6.720e-127,443.0
n10,n28,55.1,1.050e-79,287.0
