node_id,sequence_md5,identifier,identifier_all,accession,accession_all,pazy_id,component_id,size_rank,sequence_length,enzyme_name,organism,v1_component,cath
m0354,df38ea060b5dad0dfc9a593e4dce333c,PL1,PL1,WP_054022242.1,WP_054022242.1,1,C001,1,290,,,1,3.40.50.1820
m0356,e0db2a4f62c16fd0850cb05f28dbe103,PL2,PL2,CCK74972.1,CCK74972.1,2,C001,1,310,,,1,3.40.50.1820
m0029,10e219e71a25db666947cbd3afc63123,PL3,PL3,ASA57064.1,ASA57064.1,3,C001,1,298,,,1,3.40.50.1820
m0244,9b361d2c16557499693210de2a8a01b4,PL4,PL4,WP_047194864.1,WP_047194864.1,4,C001,1,298,,,1,3.40.50.1820
m0039,15938ddd57d7448aa110a9139193c91b,PL5,PL5,UUT36764,UUT36764,5,C001,1,307,,,1,3.40.50.1820
m0409,fe08eef9c8f87d7d57af2914ff906b14,PL6,PL6,UUT36763,UUT36763,6,C001,1,316,,,1,3.40.50.1820
m0311,c4c87c36c70a8f1b15d4f8d38155f609,PL7,PL7,ADK73612.1,ADK73612.1,7,C001,1,302,,,1,3.40.50.1820
m0177,710f4592bfa0115da9f3500092b3518f,PL8,PL8,WP_022964382.1,WP_022964382.1,8,C001,1,307,,,1,3.40.50.1820
m0290,b96e3838fee9bee7a9d7d7d57eda9386,PL9,PL9,WP_088276085.1,WP_088276085.1,9,C001,1,304,,,1,3.40.50.1820
m0166,6c92a78329d5a05cad38caf62075d747,PL11,PL11,P19833.1,P19833.1,11,C001,1,319,,,1,3.40.50.1820
m0067,2b913d598a604cd64df1b67d929b5d6f,PL13,PL13,MGYP000532440779,MGYP000532440779,13,C001,1,307,,,,
m0102,4307017d78508de526bb8422be94a4c4,PL15,PL15,WP_085749752.1,WP_085749752.1,15,C001,1,292,,,1,3.40.50.1820
m0045,1b0d2c147b96bad033703fb124a50764,PL16,PL16,AEV21261.1,AEV21261.1,16,C001,1,293,,,1,3.40.50.1820
m0261,a5e57aa9699b655bb23f42f50c4debb3,PL18,PL18,WP_015787089.1,WP_015787089.1,18,C001,1,304,,,1,3.40.50.1820
m0329,cf88b3e711edffd341ba052fb3365c25,PL24,PL24,CBY05530,CBY05530,25,C001,1,261,,,1,3.40.50.1820
m0297,be8748feeb335dbb23ea57c0ca66828f,PL29,PL29,WP_012851645.1,WP_012851645.1,30,C001,1,289,,,1,3.40.50.1820
m0233,95b8c354124ce6fc0e73869c1285b609,PL30,PL30,WP_012850775.1,WP_012850775.1,31,C001,1,292,,,1,3.40.50.1820
m0187,761f31759bb5d73ea55282d40c050c2e,PL31,PL31,AFA45122.1,AFA45122.1,32,C001,1,262,,,1,3.40.50.1820
