node_id,sequence_md5,accession,accession_all,component_id,size_rank,sequence_length,enzyme_name,organism,v1_component,cath
m0482,fcafc8f695c58e71718b19c1a7c315ba,2FX5,2FX5,C001,1,258,PE-H; B7O88_11480,Halopseudomonas aestusnigri VGXO14,20,3.40.50.1820
m0052,1825599eda3fb3a78763126d00597799,5ZOA_A,5ZOA_A,C001,1,261,TfH,Thermobifida fusca,,
m0158,553239996e512830a1db6b67fb4aa1c7,7NEI,7NEI,C001,1,259,PHL-7; PES-H1; PES-H2,Thermoanaerobacter sp.,1,3.40.50.1820
m0173,5e9df7f0c5b6442f1239982caf867978,7NEI,7NEI,C001,1,267,PHL-7,Compost metagenome,,
m0393,d357a79e14b6376e4d3557864252bfe8,AAZ54920.1,AAZ54920.1;AET05798.1,C001,1,319,Cut1,Thermobifida fusca,1,3.40.50.1820
m0344,bb60668c33aefeacbb320f1a972407e4,ABP86951,ABP86951,C001,1,280,PmC,Ectopseudomonas mendocina,,
m0453,ee0092b4288da1c69a59e16f2b702cdf,ACC95208.1,ACC95208.1,C001,1,308,PET2,Metagenome-derived with  no obvious affiliation,1,3.40.50.1820
m0139,4b8623751837c39c9fe582aa5d675187,ACV09511,ACV09511,C001,1,319,DP003,Jonesia denitrificans,,
m0368,c4c87c36c70a8f1b15d4f8d38155f609,ADK73612.1,ADK73612.1,C001,1,302,PpCutA,Ectopseudomonas oleovorans,1,3.40.50.1820
m0033,10d87dbad4c4c7bfd7d5c331cef5b9ce,ADM47605.1,ADM47605.1,C001,1,262,702,Thermobifida fusca,1,3.40.50.1820
m0366,c3b10fec34299e75939e57d3458275fe,ADV66860.1,ADV66860.1,C001,1,315,PET1,Deinococcus maricopensis,1,3.40.50.1820
m0172,5e3a225d0c4dad34e74078ea45904b70,ADV92525.1,ADV92525.1,C001,1,262,Tha_Cut1,Thermobifida alba,1,3.40.50.1820
m0436,e65e54bed8b506d0ddf1f5164bf29425,ADV92526.1,ADV92526.1,C001,1,262,Thc_Cut1,Thermobifida cellulosilytica,1,3.40.50.1820
m0127,46578a460f23e13d1ebe0b0ebf887282,ADV92527.1,ADV92527.1,C001,1,262,Thc_Cut2,Thermobifida cellulosilytica,1,3.40.50.1820
m0212,7290711b3d888830a61b777dcd01df5d,ADV92528.1,ADV92528.1,C001,1,262,TfH42_Cut1,Thermobifida fusca,1,3.40.50.1820
m0297,a0445e5a5b156ccfedc088c49acfd84a,AET05799.1,AET05799.1;CAH17553.1;WP_011291330.1,C001,1,301,BTA-1,Thermobifida fusca,1,3.40.50.1820
m0056,1b0d2c147b96bad033703fb124a50764,AEV21261.1,AEV21261.1,C001,1,293,LCC,,1,3.40.50.1820
m0220,761f31759bb5d73ea55282d40c050c2e,AFA45122.1,AFA45122.1,C001,1,262,Thh_Est,Thermobifida halotolerans,1,3.40.50.1820
m0402,d67ede223c06bbb9c7903735558b4123,AGT96415.1,AGT96415.1,C001,1,314,MGS0109,Marine metagenome,1,3.40.50.1820
m0034,10e219e71a25db666947cbd3afc63123,ASA57064.1,ASA57064.1,C001,1,298,PET6,Vibrio gazogenes,1,3.40.50.1820
m0001,004af9e9b29cb7a99eee6d96edfaabcd,ATH80290,ATH80290,C001,1,280,HP,Ectopseudomonas mendocina,,
m0311,a9bad1df9172c94be6b225bd32b6bd1d,BAB86909,BAB86909,C001,1,304,AdCut,Acidovorax delafieldii,1,3.40.50.1820
m0080,2b9fd2b29499ad2d285db6505328e11d,BAI99230.2,BAI99230.2,C001,1,296,Est1,Thermobifida alba,1,3.40.50.1820
m0372,c627badfbdd42acfa7664595a681b789,BAK48590.1,BAK48590.1,C001,1,300,Est119,Thermobifida alba,1,3.40.50.1820
m0379,cae1f0e206dd5d377dbfb013f72cd60c,CAH17554.1,CAH17554.1,C001,1,301,BTA-2,Thermobifida fusca,1,3.40.50.1820
m0387,cf88b3e711edffd341ba052fb3365c25,CBY05530,CBY05530,C001,1,261,TfCut_2,Thermobifida fusca,1,3.40.50.1820
