node_a,node_b,pct_id,evalue,bits,acc_a,acc_b,component_id
v001,v002,47.7,3.830e-66,242.0,A0A0K8P6T7,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,C001
v001,v004,74.9,3.030e-120,421.0,A0A0K8P6T7,A4W93_05950,C001
v001,v005,49.0,2.060e-68,249.0,A0A0K8P6T7,ACY95991.1,C001
v001,v006,48.4,2.510e-66,242.0,A0A0K8P6T7,D1A9G5,C001
v001,v007,51.2,1.980e-79,286.0,A0A0K8P6T7,ADK73612,C001
v001,v008,50.6,2.200e-69,252.0,A0A0K8P6T7,ADM47605.1,C001
v001,v009,51.9,1.680e-70,256.0,A0A0K8P6T7,E8U721,C001
v001,v010,52.4,2.870e-69,252.0,A0A0K8P6T7,E9LVH7,C001
v001,v011,51.1,8.920e-71,257.0,A0A0K8P6T7,ADV92526.1,C001
v001,v012,49.6,4.890e-69,251.0,A0A0K8P6T7,ADV92571,C001
v001,v013,50.4,1.290e-69,253.0,A0A0K8P6T7,E9LVI0_THEFU,C001
v001,v014,49.3,6.840e-72,261.0,A0A0K8P6T7,JN129499.1,C001
v001,v015,50.3,2.780e-73,265.0,A0A0K8P6T7,JN129500.1,C001
v001,v016,48.9,1.570e-67,246.0,A0A0K8P6T7,H6WX58,C001
v001,v018,64.6,4.530e-108,381.0,A0A0K8P6T7,A0A0G3BI90_9BURK,C001
v001,v019,46.4,1.520e-71,260.0,A0A0K8P6T7,KU695573,C001
v001,v020,48.4,1.170e-71,260.0,A0A0K8P6T7,A0A1Z2SIQ1_VIBGA,C001
v001,v021,78.6,3.230e-130,455.0,A0A0K8P6T7,BAB86909,C001
v001,v022,49.0,4.150e-69,252.0,A0A0K8P6T7,BAI99230,C001
v001,v023,49.1,5.420e-69,251.0,A0A0K8P6T7,F7IX06,C001
v001,v024,44.5,2.780e-65,239.0,A0A0K8P6T7,W0TJ64,C001
v001,v025,49.7,3.070e-72,262.0,A0A0K8P6T7,AJ810119,C001
v001,v026,51.3,1.520e-70,256.0,A0A0K8P6T7,E5BBQ3_THEFU,C001
v001,v027,49.0,4.150e-69,252.0,A0A0K8P6T7,D4Q9N1,C001
v001,v028,41.9,8.490e-59,217.0,A0A0K8P6T7,DAC80635,C001
v001,v029,49.7,6.840e-72,261.0,A0A0K8P6T7,E5BBQ2,C001
v001,v030,51.1,8.920e-71,257.0,A0A0K8P6T7,E9LVH8,C001
v001,v031,49.6,4.890e-69,251.0,A0A0K8P6T7,E9LVH9,C001
v001,v032,44.5,3.230e-61,225.0,A0A0K8P6T7,EGD44994.1,C001
v001,v033,47.3,7.820e-68,247.0,A0A0K8P6T7,G9BY57,C001
v001,v034,44.7,3.400e-63,232.0,A0A0K8P6T7,GBD22443,C001
v001,v036,54.8,8.340e-78,280.0,A0A0K8P6T7,R4YKL9_OLEAN,C001
v001,v040,30.1,6.270e-25,105.0,A0A0K8P6T7,MEC8523093.1,C001
v001,v041,49.6,2.350e-72,262.0,A0A0K8P6T7,ODU60407.1,C001
v001,v042,62.1,2.490e-98,349.0,A0A0K8P6T7,A0A1F4JXW8,C001
v001,v043,44.2,7.340e-58,214.0,A0A0K8P6T7,P19833,C001
v001,v044,50.3,2.780e-73,265.0,A0A0K8P6T7,Q47RJ6_THEFY,C001
v001,v045,49.3,6.840e-72,261.0,A0A0K8P6T7,Q47RJ7_THEFY,C001
v001,v046,50.3,2.780e-73,265.0,A0A0K8P6T7,Q6A0I4,C001
v001,v047,78.6,3.230e-130,455.0,A0A0K8P6T7,Q8RR62,C001
v001,v050,35.6,2.690e-38,149.0,A0A0K8P6T7,RLT92980.1,C001
v001,v051,53.0,2.270e-75,272.0,A0A0K8P6T7,RLU00646.1,C001
v001,v052,47.5,1.730e-66,243.0,A0A0K8P6T7,SAY37579.1,C001
v001,v053,48.7,4.860e-69,251.0,A0A0K8P6T7,SAY37582.1,C001
v001,v054,48.9,5.910e-67,244.0,A0A0K8P6T7,SAY37583.1,C001
v001,v055,47.9,6.490e-66,241.0,A0A0K8P6T7,SAY37584.1,C001
v001,v056,49.0,1.180e-67,247.0,A0A0K8P6T7,SAY37587.1,C001
v001,v057,47.9,3.800e-66,242.0,A0A0K8P6T7,SAY37589.1,C001
v001,v058,42.9,5.250e-64,235.0,A0A0K8P6T7,SHM40309.1,C001
v001,v059,49.7,7.800e-76,274.0,A0A0K8P6T7,SUD16364.1,C001
v001,v060,53.2,2.680e-76,275.0,A0A0K8P6T7,OK558824,C001
v001,v061,50.6,3.620e-73,265.0,A0A0K8P6T7,OK558825,C001
