node_id,accession,pazy_id,sequence_length,outcome,component_id,merged_from,activity,n_edges_to_v1,n_edges_to_delta
m0179,7NEI,37,267,merge,M1,1;20;35,Direct,70,198
m0254,A0A1Q3SHB0,346,328,join,9,,Direct,6,13
m0257,A0A1Y4BJH4,348,335,join,9,,Direct,6,39
m0128,A0A2E3XQJ6,350,328,join,9,,Direct,6,34
m0311,A0A315R6Z8,352,302,join,9,,Direct,1,37
m0224,A0A351YZM4,354,328,join,9,,Direct,1,38
m0444,A0A368EC02,355,304,join,9,,Direct,0,36
m0018,A0A3D1YDR8,356,311,join,9,,Direct,6,41
m0129,A0A3D4HM79,357,314,join,9,,Direct,6,39
m0465,A0A3M1X2K7,358,322,join,9,,Direct,6,39
m0466,A0A432H965,359,326,join,9,,Direct,4,39
m0156,A0A4P1LYH5,494,191,join,17,,Thomas,1,0
m0138,A0A661XAJ6,364,315,join,9,,Direct,5,38
m0208,A0A6A7M915,365,342,join,9,,Direct,0,37
m0470,A0A6I1QW75,366,325,join,9,,Direct,6,39
m0319,A0A7C3G8G6,367,288,join,9,,Direct,6,40
m0191,A0A7C6SQZ1,368,318,join,9,,Direct,6,39
m0387,A0A7C7DKE8,369,342,join,9,,Direct,6,40
m0113,A0A7V5VEC1,370,312,join,9,,Direct,6,41
m0038,A0A7V9NEU5,371,359,join,9,,Direct,6,37
m0441,A0A7W0NYQ1,372,292,join,9,,Direct,6,39
m0354,A0A7X7N2B0,374,364,join,9,,Direct,6,40
m0057,ABY67151.1,70,176,join,12,,Direct,1,0
m0168,ACV09511,381,259,merge,M1,1;20;35,Direct,68,198
m0009,ADM47605.1,153,263,merge,M1,1;20;35,Direct,72,198
m0184,ADV92526.1,28,265,merge,M1,1;20;35,Direct,72,198
m0299,ADV92527.1,29,265,merge,M1,1;20;35,Direct,70,197
m0039,ALS54749.1,117,528,join,23,,Direct,5,2
m0001,ATH80290,490,280,merge,M1,1;20;35,Direct,1,18
m0135,BAU20375,254,386,join,21,,Direct,5,0
m0175,BEG79545,249,716,novel,N1,,Direct,0,0
m0447,CAA26616,482,392,join,42,,Thomas,1,0
m0052,CCH19814.1,280,465,merge,M1,1;20;35,Direct,69,200
m0127,EGD44994.1,147,259,merge,M1,1;20;35,Direct,67,198
m0414,GFJ87714.1,412,380,merge,M1,1;20;35,Direct,68,199
m0320,GGO06455.1,459,256,merge,M1,1;20;35,Direct,71,198
m0163,GGR16917.1,440,397,merge,M1,1;20;35,Direct,67,198
m0407,GHJ08786.1,427,400,merge,M1,1;20;35,Direct,68,198
