component_id,size_rank,canonical_label,n_members,singleton,n_with_v1_overlay,v1_component_spread,n_v1_components,is_merged,merged_from,cath_folds,member_identifiers
C001,1,1,287,no,75,1;20;35,3,yes,1;20;35,3.40.50.1820,1;2;3;4;5;6;7;8;9;10;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32;33;34;35;36;66;101;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;150;151;152;153;154;155;157;158;159;162;163;169;170;171;173;174;175;185;193;194;195;196;197;198;205;206;207;209;210;211;212;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;397;398;399;400;401;402;403;404;405;406;407;408;409;410;411;412;413;414;415;416;417;418;419;420;421;422;423;424;425;426;427;428;429;430;431;432;433;434;435;436;437;438;439;440;441;442;443;444;445;446;448;455;460;461;467;468;470;471;472;473;474;479;484;485;488
C010,2,49,48,no,6,9,1,no,,3.60.70.12,49;50;51;188;189;213;214;215;216;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;491
C008,3,46,25,no,17,10,1,no,,3.90.1300.10,46;47;52;53;138;139;140;142;143;144;145;148;149;178;187;190;191;192;222;456;457;458;469;486;489
C006,4,38,18,no,16,2,1,no,,3.40.50.1820,38;39;78;79;80;81;82;83;156;160;161;172;199;200;201;202;203;466
C004,5,31,16,no,11,23,1,no,,3.40.50.1820,31;40;71;100;115;116;164;166;177;182;186;208;449;464;465;478
C031,6,106,11,no,5,16,1,no,,NA,106;107;111;112;113;114;167;168;475;480;487
C011,7,54,8,no,5,21,1,no,,3.40.50.1820,54;61;62;63;64;65;77;221
C021,8,72,7,no,6,25,1,no,,3.40.50.1820,72;73;102;103;104;179;453
C007,9,41,5,no,5,4,1,no,,3.40.50.1820,41;42;43;44;45
C014,10,58,5,no,3,26,1,no,,3.40.50.1820,58;105;204;220;452
C024,11,84,5,no,5,3,1,no,,3.40.50.1820,84;85;86;87;88
C028,12,93,5,no,3,27;30,2,yes,27;30,3.40.50.1820,93;94;96;99;477
C012,13,55,4,no,2,11,1,no,,2.40.10.10,55;56;218;482
C034,14,147,4,no,3,22,1,no,,3.40.50.1820,147;180;450;490
C032,15,108,3,no,3,15,1,no,,NA,108;109;110
C002,16,13,2,no,1,17,1,no,,TBDX,13;459
C009,17,48,2,no,1,42,1,no,,3.40.710.10,48;447
C013,18,57,2,no,1,12,1,no,,2.40.10.10,57;483
C015,19,59,2,no,1,32,1,no,,3.40.50.1820,59;451
C022,20,74,2,no,2,5,1,no,,3.40.50.1820,74;75
C025,21,89,2,no,2,31,1,no,,3.40.50.1820,89;90
C026,22,91,2,no,2,28,1,no,,3.40.50.1820,91;98
C046,23,476,2,no,2,14,1,no,,2.60.40.420,476;481
C003,24,15,1,yes,1,38,1,no,,3.40.50.1820,15
C005,25,37,1,yes,1,7,1,no,,3.40.50.1820,37
C016,26,60,1,yes,1,6,1,no,,3.40.50.1820,60
C017,27,67,1,yes,1,41,1,no,,3.40.710.10,67
C018,28,68,1,yes,1,8,1,no,,3.40.710.10,68
C019,29,69,1,yes,1,18,1,no,,TBDY,69
C020,30,70,1,yes,1,24,1,no,,3.40.50.1820,70
C023,31,76,1,yes,1,40,1,no,,3.40.50.1820,76
C027,32,92,1,yes,1,33,1,no,,3.40.50.1820,92
C029,33,95,1,yes,1,34,1,no,,3.40.50.1820,95
C030,34,97,1,yes,1,29,1,no,,3.40.50.1820,97
C033,35,146,1,yes,1,19,1,no,,TBDZ,146
C035,36,165,1,yes,1,43,1,no,,3.40.710.10,165
C036,37,176,1,yes,0,,0,no,,,176
C037,38,181,1,yes,1,37,1,no,,3.40.50.1820,181
C038,39,183,1,yes,1,36,1,no,,3.40.50.1820,183
C039,40,184,1,yes,1,39,1,no,,3.40.50.1820,184
C040,41,217,1,yes,0,,0,no,,,217
C041,42,219,1,yes,0,,0,no,,,219
C042,43,309,1,yes,0,,0,no,,,309
C043,44,454,1,yes,0,,0,no,,,454
C044,45,462,1,yes,0,,0,no,,,462
C045,46,463,1,yes,0,,0,no,,,463
