component_id,size_rank,canonical_label,n_members,n_with_v1_overlay,v1_component_spread,cath_folds,member_identifiers
C001,1,1,280,74,1;20;35,3.40.50.1820,1;2;3;4;5;6;7;8;9;10;11;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;30;31;32;33;62;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;131;132;133;134;135;136;138;139;140;143;144;150;151;152;154;155;156;166;174;175;176;177;178;179;186;187;188;190;191;192;193;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;397;398;399;400;401;402;403;404;405;406;407;408;409;410;411;412;413;414;415;416;417;418;419;420;421;422;423;424;425;426;428;435;440;441;446;447;448;449;451;452;453;454;463;465;466;471;475;476
C010,2,46,48,6,9,3.60.70.12,46;47;48;169;170;194;195;196;197;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;458
C008,3,43,25,17,10,3.90.1300.10,43;44;49;50;121;122;123;124;125;126;127;130;159;168;171;172;173;203;436;437;438;450;456;462;464
C006,4,35,18,16,2,3.40.50.1820,35;36;72;73;74;75;76;77;137;141;142;153;180;181;182;183;184;445
C004,5,29,15,11,23,3.40.50.1820,29;37;67;103;104;145;147;158;163;167;189;429;444;459;472
C032,6,99,10,5,16,NA,99;100;101;102;148;149;455;477;478;479
C011,7,51,8,5,21,3.40.50.1820,51;58;59;60;61;71;202;468
C021,8,68,7,6,25,3.40.50.1820,68;92;93;94;160;433;474
C007,9,38,5,5,4,3.40.50.1820,38;39;40;41;42
C014,10,55,5,3,26,3.40.50.1820,55;95;185;201;432
C024,11,78,5,5,3,3.40.50.1820,78;79;80;81;82
C028,12,86,5,3,27;30,3.40.50.1820,86;88;91;457;480
C012,13,52,4,2,11,2.40.10.10,52;53;199;469
C034,14,129,4,3,22,3.40.50.1820,129;161;430;461
C031,15,96,3,3,15,NA,96;97;98
C002,16,12,2,1,17,TBDX,12;439
C009,17,45,2,1,42,3.40.710.10,45;427
C013,18,54,2,1,12,2.40.10.10,54;470
C015,19,56,2,1,32,3.40.50.1820,56;431
C022,20,69,2,2,5,3.40.50.1820,69;460
C025,21,83,2,2,31,3.40.50.1820,83;481
C026,22,84,2,2,28,3.40.50.1820,84;90
C046,23,467,2,2,14,2.60.40.420,467;473
C003,24,14,1,0,,,14
C005,25,34,1,1,7,3.40.50.1820,34
C016,26,57,1,1,6,3.40.50.1820,57
C017,27,63,1,1,41,3.40.710.10,63
C018,28,64,1,1,8,3.40.710.10,64
C019,29,65,1,1,18,TBDY,65
C020,30,66,1,1,24,3.40.50.1820,66
C023,31,70,1,1,40,3.40.50.1820,70
C027,32,85,1,1,33,3.40.50.1820,85
C029,33,87,1,1,34,3.40.50.1820,87
C030,34,89,1,1,29,3.40.50.1820,89
C033,35,128,1,1,19,TBDZ,128
C035,36,146,1,1,43,3.40.710.10,146
C036,37,157,1,0,,,157
C037,38,162,1,1,37,3.40.50.1820,162
C038,39,164,1,1,36,3.40.50.1820,164
C039,40,165,1,1,39,3.40.50.1820,165
C040,41,198,1,0,,,198
C041,42,200,1,0,,,200
C042,43,290,1,0,,,290
C043,44,434,1,0,,,434
C044,45,442,1,0,,,442
C045,46,443,1,0,,,443
