node_id	accession	sequence_length	v1_component	cath
n1	n1	290		
n2	n2	259		
n3	n3	380		
n4	n4	292		
n5	n5	292		
n6	n6	289		
n7	n7	302		
n8	n8	262		
n9	n9	315		
n10	n10	262		
n11	n11	262		
n12	n12	262		
n13	n13	262		
n14	n14	319		
n15	n15	301		
n16	n16	262		
n17	n17	314		
n18	n18	298		
n19	n19	307		
n20	n20	298		
n21	n21	304		
n22	n22	296		
n23	n23	300		
n24	n24	304		
n25	n25	301		
n26	n26	261		
n27	n27	296		
n28	n28	284		
n29	n29	319		
n30	n30	262		
n31	n31	262		
n32	n32	294		
n33	n33	293		
n34	n34	293		
n35	n35	456		
n36	n36	310		
n37	n37	263		
n38	n38	495		
n39	n39	257		
n40	n40	292		
n41	n41	305		
n42	n42	426		
n43	n43	319		
n44	n44	301		
n45	n45	319		
n46	n46	301		
n47	n47	304		
n48	n48	270		
n49	n49	262		
n50	n50	269		
n51	n51	312		
n52	n52	260		
n53	n53	260		
n54	n54	259		
n55	n55	257		
n56	n56	257		
n57	n57	257		
n58	n58	299		
n59	n59	298		
n60	n60	316		
n61	n61	307		
n62	n62	263		
n63	n63	282		
n64	n64	257		
n65	n65	254		
n66	n66	302		
n67	n67	366		
n68	n68	302		
n69	n69	279		
n70	n70	292		
n71	n71	297		
n72	n72	311		
n73	n73	302		
n74	n74	284		
n75	n75	279		
n76	n76	304		
n77	n77	304		
n78	n78	293		
n79	n79	283		
n80	n80	301		
n81	n81	310		
n82	n82	364		
n83	n83	434		
n84	n84	259		
n85	n85	258		
n86	n86	273		
n87	n87	286		
n88	n88	282		
n89	n89	308		
n90	n90	258		
n91	n91	385		
n92	n92	379		
n93	n93	384		
n94	n94	269		
n95	n95	269		
n96	n96	283		
n97	n97	266		
n98	n98	276		
n99	n99	489		
n100	n100	322		
n101	n101	520		
n102	n102	548		
n103	n103	613		
n104	n104	549		
n105	n105	295		
n106	n106	314		
n107	n107	318		
n108	n108	462		
n109	n109	565		
n110	n110	508		
n111	n111	491		
n112	n112	421		
n113	n113	452		
n114	n114	400		
n115	n115	431		
n116	n116	419		
n117	n117	402		
n118	n118	417		
n119	n119	215		
n120	n120	201		
n121	n121	215		
n122	n122	339		
n123	n123	734		
n124	n124	718		
n125	n125	576		
n126	n126	635		
n127	n127	433		
n128	n128	365		
n129	n129	362		
n130	n130	305		
n131	n131	293		
n132	n132	380		
n133	n133	335		
n134	n134	352		
n135	n135	240		
n136	n136	256		
n137	n137	218		
n138	n138	249		
n139	n139	194		
n140	n140	227		
n141	n141	226		
n142	n142	239		
n143	n143	230		
n144	n144	239		
n145	n145	224		
n146	n146	216		
n147	n147	203		
n148	n148	230		
n149	n149	237		
n150	n150	213		
n151	n151	230		
n152	n152	186		
n153	n153	216		
n154	n154	221		
n155	n155	222		
n156	n156	407		
n157	n157	412		
n158	n158	404		
n159	n159	419		
n160	n160	245		
n161	n161	617		
n162	n162	567		
n163	n163	451		
n164	n164	617		
n165	n165	561		
n166	n166	283		
n167	n167	283		
n168	n168	338		
n169	n169	295		
n170	n170	342		
n171	n171	390		
n172	n172	414		
n173	n173	392		
n174	n174	455		
n175	n175	344		
n176	n176	332		
n177	n177	340		
n178	n178	355		
n179	n179	355		
n180	n180	355		
n181	n181	525		
n182	n182	517		
n183	n183	483		
n184	n184	472		
n185	n185	472		
n186	n186	479		
n187	n187	493		
n188	n188	493		
n189	n189	545		
n190	n190	438		
n191	n191	439		
n192	n192	439		
n193	n193	479		
n194	n194	471		
n195	n195	485		
n196	n196	472		
n197	n197	551		
n198	n198	241		
n199	n199	238		
n200	n200	364		
n201	n201	516		
n202	n202	348		
n203	n203	681		
n204	n204	679		
n205	n205	678		
n206	n206	407		
n207	n207	388		
n208	n208	407		
n209	n209	410		
n210	n210	407		
n211	n211	201		
n212	n212	411		
n213	n213	316		
