component_id,size_rank,canonical_label,n_members,n_with_v1_overlay,v1_component_spread,cath_folds,member_identifiers,member_accessions
C001,1,PL2,232,51,1;35,3.40.50.1820,PL2;PL3;PL4;PL5;PL6;PL7;PL8;PL9;PL10;PL11;PL13;PL15;PL16;PL18;PL23;PL29;PL30;PL31;PL34;PL36;PL37;PL38;PL39;PL40;PL69;PL116;PL117;PL118;PL120;PL121;PL122;PL123;PL124;PL126;PL128;PL129;PL130;PL131;PL132;PL133;PL136;PL150;PL153;PL156;PL158;PL159;PL162;PL163;PL169;PL170;PL174;PL175;PL186;PL194;PL195;PL196;PL197;PL198;PL207;PL208;PL209;PL211;PL212;PL213;PL214;PL225;PL226;PL227;PL228;PL229;PL230;PL231;PL232;PL233;PL234;PL236;PL237;PL238;PL239;PL240;PL241;PL242;PL243;PL244;PL245;PL246;PL247;PL248;PL250;PL251;PL252;PL254;PL256;PL257;PL258;PL259;PL261;PL262;PL264;PL265;PL266;PL267;PL268;PL269;PL270;PL272;PL273;PL274;PL275;PL276;PL279;PL280;PL281;PL282;PL283;PL284;PL285;PL286;PL287;PL288;PL289;PL291;PL292;PL294;PL295;PL296;PL297;PL298;PL299;PL300;PL301;PL302;PL303;PL304;PL305;PL306;PL308;PL310;PL350;PL351;PL352;PL353;PL354;PL355;PL356;PL357;PL358;PL359;PL360;PL361;PL362;PL363;PL364;PL365;PL366;PL367;PL368;PL369;PL370;PL371;PL372;PL373;PL374;PL375;PL376;PL377;PL378;PL380;PL381;PL382;PL384;PL385;PL386;PL387;PL389;PL390;PL396;PL397;PL398;PL399;PL400;PL401;PL402;PL403;PL404;PL405;PL407;PL408;PL409;PL410;PL411;PL412;PL413;PL414;PL415;PL416;PL418;PL419;PL420;PL421;PL423;PL424;PL425;PL426;PL427;PL428;PL429;PL430;PL431;PL432;PL433;PL434;PL435;PL436;PL437;PL438;PL441;PL442;PL443;PL445;PL447;PL448;PL449;PL450;PL452;PL464;PL465;PL502;PL504;PL519;PL524;PL589,CCK74972.1;ASA57064.1;WP_047194864.1;UUT36764;UUT36763;ADK73612.1;WP_022964382.1;WP_088276085.1;ABP86951;P19833.1;MGYP000532440779;WP_085749752.1;AEV21261.1;WP_015787089.1;AAZ54920.1;WP_012851645.1;WP_012850775.1;AFA45122.1;BAK48590.1;7NEI;WP_111881932.1;WP_039353427.1;ACC95208.1;RLI42440.1;AGT96415.1;;;;;;;RLU00646.1;KPI12031.1;WP_162908185.1;WP_158643351.1;EGD44994.1;WP_062195544.1;SJZ42839.1;KPI31299.1;WP_093412886.1;WP_083947829;SAY37579.1;SAY37587;WP_085749238;WP_036989706.1;BAB86909;ADV66860.1;DAC80635.1;;OGB27210;WP_090538641;SUD16364;SHM40309;WP_118011433.1;RGD93181.1;WP_013858543.1;WP_008690040.1;;;;MEC8523093;WP_220815207;WP_142197250.1;;QPA27412.1;WP_218920366.1;WP_209642273.1;WP_019629726.1;MBX3625601.1;WP_116023875.1;MBO9532528.1;MSQ87502.1;WP_018657411.1;MPZ00478.1;WP_203847453.1;MBX2857432.1;MBE65357.1;KZY99137.1;SDZ16714.1;WP_091553551.1;WP_124822775.1;WP_101366623.1;WP_110567505.1;WP_084434874.1;WP_116180173.1;WP_130464304.1;WP_073887759.1;WP_088988822.1;WP_082377728.1;WP_132386942.1;WP_132337032.1;WP_132413760.1;WP_082403176.1;WP_137976057.1;WP_125191182.1;WP_141984372.1;WP_013736455.1;WP_143590710.1;WP_083950838.1;OKK16161.1;WP_131056699.1;WP_045318561.1;WP_075737041.1;WP_065917710.1;WP_130401777.1;WP_093411427.1;WP_086849962.1;WP_109639600.1;WP_086784246.1;WP_078844206.1;KNX38636.1;WP_083302694.1;WP_093954453.1;WP_116813002.1;WP_089021493.1;TQL66274.1;WP_123685830.1;WP_084400763.1;WP_132183354.1;RZL02950.1;WP_141569747.1;OPG10926.1;WP_051808300.1;WP_084578793.1;WP_104115406.1;SPF04022.1;WP_120326365.1;WP_110080872.1;WP_086668955.1;WP_092528534.1;WP_145923095.1;WP_091450391.1;WP_067035690.1;WP_103564314.1;WP_129849678.1;WP_103939557.1;WP_075975245.1;MBA55398.1;ACV09511;TDP67440;WP_035284691;WP_130342639;WP_151597653.1;WP_187224800.1;MBT8227529.1;MBX3624429.1;WP_085750434.1;WP_233427406.1;WP_229068674.1;WP_161104454.1;MGYP001489421514;MBN2622270.1;MGYP001121581011;WP_221382552.1;MGYP000271253724;WP_184682765.1;MBJ7347705.1;MGYP000221121644;WP_203733135.1;NUT34383.1;WP_129786244.1;WP_233872418.1;WP_139580723.1;WP_267938240.1;WP_167521412.1;WBC00352.1;WP_210157342.1;WP_232326807.1;GFJ87714.1;WP_158852571.1;WP_031525917.1;MBX3621832.1;GIU85367.1;WP_203777396.1;WP_111214096.1;WP_203790592.1;GHJ08786.1;WP_084261341.1;WP_265247586.1;UAC02078.1;WP_252811421.1;WP_229836555.1;WP_239135698.1;WP_252275389.1;WP_271190254.1;MBW4703769.1;WP_269740835.1;MCF0091346.1;GGR16917.1;WP_199199185.1;WP_247056560.1;WP_239125827.1;WP_203812622.1;PWR09075.1;WP_203906211.1;WP_144022925.1;MBT9528079.1;MTK05241.1;WP_239086781.1;WP_093473685.1;MGYP001477358452;WP_264933993.1;MGYP000321434903;WP_256510026.1;WP_260709492.1;GGO06455.1;WP_149259982.1;MBN1171866.1;MBO9569276.1;GIG90696.1;WP_086599340.1;WP_019633337.1;WP_109361459.1;WP_211769896.1;WP_150070118.1;WP_307855560.1;WP_218517662.1;WP_256510519.1;WP_233604767.1;WP_253762837.1;GIU85371.1;WP_250563816.1;WP_143447025.1;XDS72785.1;YCL34723;WKW63607.1;WKW63608.1;;;WNY00484.1;WP_068824797.1;XCO66867.1
C010,2,PL54,45,4,9,3.60.70.12,PL54;PL189;PL190;PL215;PL216;PL218;PL312;PL313;PL314;PL315;PL316;PL317;PL318;PL319;PL320;PL321;PL322;PL323;PL324;PL325;PL326;PL327;PL328;PL329;PL330;PL331;PL332;PL333;PL334;PL335;PL336;PL337;PL338;PL339;PL340;PL341;PL342;PL343;PL344;PL345;PL346;PL347;PL348;PL349;PL605,BAE95769.2;KQR39103;WP_312893488.1;WP_068749367;XHH12374;XHH12378;KXS08985;WP_073391230.1;WP_082766707.1;A0A1Q3SHB0;WP_075885500.1;A0A1Y4BJH4;OWT56952;A0A2E3XQJ6;PSR30050;A0A315R6Z8;PWX09261.1;A0A351YZM4;A0A368EC02;A0A3D1YDR8;A0A3D4HM79;A0A3M1X2K7;A0A432H965;RYL92504.1;WP_131292212.1;TAL40028;WP_170322449.1;A0A661XAJ6;A0A6A7M915;A0A6I1QW75;A0A7C3G8G6;A0A7C6SQZ1;A0A7C7DKE8;A0A7V5VEC1;A0A7V9NEU5;A0A7W0NYQ1;MSS57807;A0A7X7N2B0;WP_014810472.1;XP_005707592.1;WP_010949597.1;R5FI29;U7UHN3;WP_170196788.1;A0A840P940
C008,3,PL51,19,14,10,3.90.1300.10,PL51;PL57;PL137;PL138;PL139;PL140;PL141;PL142;PL143;PL144;PL147;PL188;PL191;PL224;PL460;PL461;PL462;PL588;PL590,WP_012476897.1;WP_011209364.1;;;;ANG60415;AGT90042.1;AAK11724.1;ARF18137.1;AAK28498.1;BBP47208.1;WP_185053500;;;;;;Q12559.2;WP_348608127.1
C006,4,PL43,16,14,2,3.40.50.1820,PL43;PL79;PL81;PL82;PL83;PL84;PL99;PL155;PL160;PL161;PL173;PL200;PL201;PL202;PL203;PL204,A0A075B5G4;XP_001817153.1;BAT32793.1;BAN42606.1;BAN51852.1;XP_014659518.1;BCL64964.1;QEX94755.1;EXK81749;ESK97883.1;Q99174;WKA69984.1;;KAH7127633;;XAQ58225
C004,5,PL35,14,10,23,3.40.50.1820,PL35;PL44;PL74;PL100;PL114;PL115;PL164;PL166;PL178;PL183;PL187;PL210;PL453;PL531,ADH43200.1;BAA76305.1;AKJ87216;ALS54749.1;;;UNZ81746.1;UNZ81748.1;WP_015255658;WP_041847557;SIP63154.1;WID88783;WDT94064;P20261.3
C031,6,PL110,10,5,16,NA,PL110;PL111;PL112;PL113;PL167;PL168;PL469;PL470;PL471;PL526,WP_189902969.1;WP_254586337.1;UFE15760.1;UFE15761.1;WP_006368739.1;AFA76036.1;UFE15762.1;UFE15763.1;UFE15764.1;Q3L8N0.2
C011,7,PL58,5,3,21,3.40.50.1820,PL58;PL66;PL67;PL68;PL78,WP_378272130.1;P29599;CAB56500;ATG80622.1;CAA32820.1
C020,8,PL75,5,5,25,3.40.50.1820,PL75;PL102;PL103;PL104;PL180,BAF57210.1;EIW29778.1;AKZ20828.1;AKZ20829.1;WP_108898452
C023,9,PL85,5,5,3,3.40.50.1820,PL85;PL86;PL87;PL88;PL89,WP_011614907.1;WP_010813770.1;WP_011616504.1;AAP85930.1;WP_011616952.1
C027,10,PL93,5,3,27;30,3.40.50.1820,PL93;PL95;PL98;PL473;PL572,AAA21974.1;AAA65705.1;BAG32152.1;BAA19791.1;P94146
