node_id	sequence_md5	accession	sequence_length	source	is_new	v1_component	cath	pazy_id	activity
m0001	004af9e9b29cb7a99eee6d96edfaabcd	ATH80290	280	delta	1			490	Direct
m0002	00855c73c087597a6c69fa2b114d731e	SAY37579.1	260	v1	0	1	3.40.50.1820		
m0003	009e600d3a7df316a22764026a76e2bc	WP_142197250.1	300	delta	1			242	Direct
m0004	010991495537828f0796c93512058d2e	MGYP000321434903	259	delta	1			456	Direct
m0005	01d9529bef2a8dc5220ebb00fe475a02	pazy:488	417	delta	1			488	Direct
m0006	02048bc3dc3b8c853e51fcc55038f6ac	KAH7127633	237	v1	0	2	3.40.50.1820		
m0007	024678fb7e5f5a204647fd2d1e393aab	Q3L8N0	407	v1	0	16	NA		
m0008	02f75a95130d2e82f95a52c3c3ce5166	MBX3621832.1	256	delta	1			416	Direct
m0009	03308d6d3b8991fc845ade7eef827bb2	ADM47605.1	263	delta	1			153	Direct
m0010	04eb6f62384740641a457083240d65be	WP_137976057.1	378	delta	1			288	Direct
m0011	05e2852aec6160df485b9ef7b4a357f6	pazy:255	495	delta	1			255	Direct
m0012	05ffac9a403c350718aa44cf6838cb7c	WP_129786244.1	257	delta	1			403	Direct
m0013	0600d8fd8a62760bde8393fb0fde0e0d	WP_091283529.1	463	delta	1			308	Direct
m0014	060b4337df0e619a5112b882a04d576a	WP_203790592.1	381	delta	1			421	Direct
m0015	067e281972e92f24fb345ef6c8870caa	APJ12152.1	215	v1	0	26	3.40.50.1820		
m0016	06d89e9f595b7abc6f662a4ea5fc3f77	WBR49957	439	v1	0	10	3.90.1300.10		
m0017	06ea0302cc54279d54aebaa45774cfe7	A0A3D1YDR8	311	delta	1			356	Direct
m0018	073907a632be32c5b92c8381c4de0c90	LC073705	679	v1	0	15	NA		
m0019	085add734f10d1917f9638347ab618d2	Q939Q9	380	v1	0	34	3.40.50.1820		
m0020	09e58f5e57cb68fac6cff0d6562a2a47	WP_229068674.1	269	delta	1			391	Direct
m0021	0ac767e72406f2fc0cf50fd9008e6f16	A0A291HVH1	385	v1	0	21	3.40.50.1820		
m0022	0b490a6d93d67b0ebb2d6cd3d80f9d9a	WKW63607	434	delta	1			495	Direct
m0023	0c554c0dd255de614d248db3118d89da	AAK28498.1	517	v1	0	10	3.90.1300.10		
m0024	0c75d9f81ae52914a609ec24d4c68ea2	SAY37587.1	257	v1	0	1	3.40.50.1820		
m0025	0ccba4d53ac83e5437ecd1027cfe4ab8	TAL40028	305	delta	1			362	Direct
m0026	0ce515d8f0c2a6b72722a127e726b8d7	AB302138; A4UZ12	283	v1	0	5	3.40.50.1820		
m0027	0d18f30b4edcfc88452a16d17d548865	GIG90696.1	414	delta	1			463	Direct
m0028	0d1c7296209804664d2da95c23eea089	P08684	503	delta	1			252	Indirect
m0029	0d26a77d2ffda03e4582e295927066c6	AAY92471.1	617	v1	0	4	3.40.50.1820		
m0030	0d51bfebc665db66f2d9c28959b141d3	WP_130464304.1	472	delta	1			277	Direct
m0031	0e841a3c1f59a0cfd7b1ac47b6e7b1bd	-	221	v1	0	2	3.40.50.1820		
m0032	0f43f7fe3f0c0042197df2508ee850e3	WP_086784246.1	418	delta	1			306	Direct
m0033	1090fc7df5cb6e4866fd00779c1d8e28	ANG60415.1	472	v1	0	10	3.90.1300.10		
m0034	10d87dbad4c4c7bfd7d5c331cef5b9ce	ADM47605.1	262	v1	0	1	3.40.50.1820		
m0035	10e219e71a25db666947cbd3afc63123	A0A1Z2SIQ1_VIBGA	298	v1	0	1	3.40.50.1820		
m0036	10f99a34d701d302d6cd789182b6508e	A0A7V9NEU5	359	delta	1			371	Direct
m0037	1101bda63c95a021aad8d9924dfba646	ALS54749.1	528	delta	1			117	Direct
m0038	11448cbf80389c1a758d8dfcba90907c	A0A1E1FNX8	215	v1	0	26	3.40.50.1820		
m0039	1197ee1b96f74dd16a31dad1ba334c46	WP_062195544.1	292	v1	0	1	3.40.50.1820		
m0040	1212a03ba2f4b036a1c2343983dd3223	WP_161104454.1	261	delta	1			392	Direct
m0041	12efbdad63de5275909365067113db41	UNZ81747	455	v1	0	43	3.40.710.10		
m0042	1361228bf3f1c19ea8214555076414a7	SHM40309.1	299	v1	0	1	3.40.50.1820		
m0043	14a5c3e1584a0ee2518f18810a7fed98	RLT92980.1	269	v1	0	1	3.40.50.1820		
m0044	15317ec096461afae2a6111e17b27633	Q0KBZ6	293	v1	0	33	3.40.50.1820		
m0045	1545cf731ea10ee62b256807199e37d8	RLU00646.1	312	v1	0	1	3.40.50.1820		
m0046	15704378d8be72d24d1d7e0cb736fd66	WP_233427406.1	269	delta	1			390	Direct
m0047	15938ddd57d7448aa110a9139193c91b	OK558825	307	v1	0	1	3.40.50.1820		
m0048	161e4dc2c4ef1e36fe625c65439a815b	CCH19814.1	465	delta	1			280	Direct
m0049	167f1e4e4481dfb27bd087d9b3902929	Q75UA4	238	v1	0	11	2.40.10.10		
m0050	17206b8f6868d0e95922b05f702e8318	UAC02078.1	251	delta	1			430	Direct
m0051	174ba911d73b1edc801c52651ec17efd	ODU60407.1	305	v1	0	1	3.40.50.1820		
m0052	17e8c9d10a612ebfb245fc18e2eb15e5	KAH7127633	238	delta	1			231	Direct
m0053	18de7a550936804f8be57fdf26a8e0e3	ABY67151.1	176	delta	1			70	Direct
m0054	192cd267e49e59f27a34994dcf480cc7	WP_252811421.1	375	delta	1			431	Direct
m0055	198d14bb37149debc526a3f90e777956	H6N162	407	v1	0	16	NA		
m0056	1a87c35a30c8f1e7850ccdeda75b8c76	WP_019633337.1	272	delta	1			465	Direct
m0057	1a888c781e8146e2cb4de6e41ef1b0a0	WP_018657411.1	248	delta	1			263	Direct
m0058	1b0d2c147b96bad033703fb124a50764	G9BY57	293	v1	0	1	3.40.50.1820		
m0059	1c1408702649674aa1c5742fc65fcbfa	WP_151597653.1	280	delta	1			385	Direct
m0060	1ce1c2d639e6de8f45c381626dab5dd9	pazy:453	409	delta	1			453	Direct
m0061	1dd270b564b3d69c3f8b6079eb3090a2	MBX2857432.1	244	delta	1			267	Direct
m0062	1e1f498fae0e6d56fb87a52a1fef96ff	WP_083947829.1	284	v1	0	1	3.40.50.1820		
m0063	1fd045e8b65176376e182facc216b772	OWT56952	335	delta	1			349	Direct
m0064	2004149e10ec5a7333662fb9eecbbd21	WP_242613666.1	288	delta	1			319	Direct
m0065	20f7abda67d907b1e03456185b9a7df8	SPF04022.1	287	delta	1			327	Direct
m0066	213f66a13d29726369cc62acb0ec8c5b	WP_131292212.1	287	delta	1			361	Direct
m0067	2252c92be8d93085884a749b69ed9027	WP_239125827.1	251	delta	1			443	Direct
m0068	228bd6d0bd6e93a1b69422e21d51b913	pazy:232	231	delta	1			232	Direct
m0069	228edba5269227f472a446139a646369	WP_108898647.1	249	v1	0	39	3.40.50.1820		
m0070	230edd7c68d8edcec84d53eabdb02ac1	WP_035284691	266	delta	1			383	Direct
m0071	2359f92c25a1f864a4aaecd22ac2d261	MBX3625601.1	263	delta	1			259	Direct
m0072	23af3c0ada6021e4452780933588e6da	YNPsite06_CeleraDRAFT_263770	613	v1	0	23	3.40.50.1820		
m0073	2510ccd8faea4efb0652cab75394adfa	WP_144126986.1	275	delta	1			286	Direct
m0074	25535d4836a01c7d3cc4bbeba3c18437	XCO66867	286	v1	0	1	3.40.50.1820		
m0075	255e2b78ca9f54fe397d3917c1c6cae9	A0A7I8E2Z4	216	v1	0	2	3.40.50.1820		
m0076	26070dcbf81f49c4725ced54380d1b96	WP_250563816.1	261	delta	1			479	Direct
m0077	263a6865371a5e0924e53280192fa035	WP_034767800.1	240	v1	0	36	3.40.50.1820		
m0078	263b6d9cf1f73ddee6c8d0410fdaf229	Q0KCI0	419	v1	0	3	3.40.50.1820		
m0079	276e886a482414366ccac7a0d4f550eb	MBJ7347705.1	259	delta	1			399	Direct
m0080	2798470a64d0e292e604a4ad45e938c2	KZY99137.1	263	delta	1			269	Direct
m0081	27b40925ec9dab01a97010da9157f232	MSS57807	319	delta	1			373	Direct
m0082	28d5d8007b05548a33cb23ddc8297921	MBO9569276.1	255	delta	1			462	Direct
m0083	2907a9f9131390b753aa9953740df710	pazy:487	204	delta	1			487	Direct
m0084	2952634441666dbdb22a48ce9cde12c5	CEE00769.1	266	v1	0	22	3.40.50.1820		
m0085	2a9215b62ae074282dc7ffcda6232192	YCL34723	293	delta	1			483	Direct
m0086	2aefc1d9f667923f2f590677c9bd72d3	YNP6_02150	565	v1	0	23	3.40.50.1820		
m0087	2b913d598a604cd64df1b67d929b5d6f	MGYP000532440779	307	delta	1			13	Direct
m0088	2b9fd2b29499ad2d285db6505328e11d	BAI99230	296	v1	0	1	3.40.50.1820		
