identifier,component,component_size
1,1,281
2,1,281
3,1,281
4,1,281
5,1,281
6,1,281
7,1,281
8,1,281
9,1,281
10,1,281
11,1,281
13,1,281
15,1,281
16,1,281
17,1,281
18,1,281
19,1,281
20,1,281
21,1,281
22,1,281
23,1,281
24,1,281
25,1,281
26,1,281
27,1,281
28,1,281
30,1,281
31,1,281
32,1,281
33,1,281
62,1,281
105,1,281
106,1,281
107,1,281
108,1,281
109,1,281
110,1,281
111,1,281
112,1,281
113,1,281
114,1,281
115,1,281
116,1,281
117,1,281
118,1,281
119,1,281
120,1,281
131,1,281
132,1,281
133,1,281
134,1,281
135,1,281
136,1,281
138,1,281
139,1,281
140,1,281
143,1,281
144,1,281
150,1,281
151,1,281
152,1,281
154,1,281
155,1,281
156,1,281
164,1,281
166,1,281
174,1,281
176,1,281
177,1,281
178,1,281
179,1,281
186,1,281
187,1,281
188,1,281
190,1,281
191,1,281
192,1,281
193,1,281
204,1,281
205,1,281
206,1,281
207,1,281
208,1,281
209,1,281
210,1,281
211,1,281
212,1,281
213,1,281
214,1,281
215,1,281
216,1,281
217,1,281
218,1,281
219,1,281
220,1,281
221,1,281
222,1,281
223,1,281
224,1,281
225,1,281
226,1,281
227,1,281
228,1,281
229,1,281
230,1,281
231,1,281
232,1,281
233,1,281
234,1,281
235,1,281
236,1,281
237,1,281
238,1,281
239,1,281
240,1,281
241,1,281
242,1,281
243,1,281
244,1,281
245,1,281
246,1,281
247,1,281
248,1,281
249,1,281
250,1,281
251,1,281
252,1,281
253,1,281
254,1,281
255,1,281
256,1,281
257,1,281
258,1,281
259,1,281
260,1,281
261,1,281
262,1,281
263,1,281
264,1,281
265,1,281
266,1,281
267,1,281
268,1,281
269,1,281
270,1,281
271,1,281
272,1,281
273,1,281
274,1,281
275,1,281
276,1,281
277,1,281
278,1,281
279,1,281
280,1,281
281,1,281
282,1,281
283,1,281
284,1,281
285,1,281
286,1,281
287,1,281
288,1,281
289,1,281
329,1,281
330,1,281
331,1,281
332,1,281
333,1,281
334,1,281
335,1,281
336,1,281
337,1,281
338,1,281
339,1,281
340,1,281
341,1,281
342,1,281
343,1,281
344,1,281
345,1,281
346,1,281
347,1,281
348,1,281
349,1,281
350,1,281
351,1,281
352,1,281
353,1,281
354,1,281
355,1,281
356,1,281
357,1,281
358,1,281
359,1,281
