node_id	usearch_comp	usearch_comp_size	diamond_comp	diamond_comp_size
m0102	C001	233	9	5
m0180	C001	233	9	5
m0300	C001	233	41	1
m0340	C001	233	9	5
m0376	C001	233	9	5
m0199	C033	4	35	1
