cluster_id	origin	size	role	label	centroid	pct_id_to_centroid
R002	reference	21	centroid	PL24|CBY05530||25	PL24|CBY05530||25	*
R002	reference	21	member	PL26|AET05799.1||27	PL24|CBY05530||25	99.2
R002	reference	21	member	PL19|CAH17553.1||19	PL24|CBY05530||25	99.2
R002	reference	21	member	PL33|ADV92525.1||34	PL24|CBY05530||25	97.7
R002	reference	21	member	PL21|ADV92528.1||21	PL24|CBY05530||25	98.5
R002	reference	21	member	PL25|AET05798.1||26	PL24|CBY05530||25	93.1
R002	reference	21	member	PL22|WP_011291330.1||22	PL24|CBY05530||25	99.2
R002	reference	21	member	PL27|ADV92526.1||28	PL24|CBY05530||25	99.2
R002	reference	21	member	PL23|AAZ54920.1||23	PL24|CBY05530||25	93.1
R002	reference	21	member	PL28|ADV92527.1||29	PL24|CBY05530||25	93.1
R002	reference	21	member	PL20|CAH17554.1||20	PL24|CBY05530||25	93.1
R002	reference	21	member	PL101|5ZOA_A||118	PL24|CBY05530||25	99.2
R002	reference	21	member	PL134|WP_104613137.1||152	PL24|CBY05530||25	98.1
R002	reference	21	member	PL135|ADM47605.1||153	PL24|CBY05530||25	98.9
R002	reference	21	member	PL478|Q6A0I4.1||	PL24|CBY05530||25	99.2
R002	reference	21	member	PL604|E9LVH9||	PL24|CBY05530||25	93.1
R002	reference	21	member	PL603|E9LVH8||	PL24|CBY05530||25	99.2
R002	reference	21	member	PL601|E5BBQ2||	PL24|CBY05530||25	95.0
R002	reference	21	member	PL602|CBY05530.1||	PL24|CBY05530||25	100.0
R002	reference	21	member	PL610|Q47RJ7.1||	PL24|CBY05530||25	93.1
R002	reference	21	member	PL611|Q47RJ6.1||	PL24|CBY05530||25	99.2
D045	de_novo	6	centroid	PL263|WP_139584963.1||294	PL263|WP_139584963.1||294	*
D045	de_novo	6	member	PL392|TWG17167.1||423	PL263|WP_139584963.1||294	92.0
D045	de_novo	6	member	PL241|WP_124822775.1||272	PL263|WP_139584963.1||294	93.1
D045	de_novo	6	member	PL278|WP_112669767.1||309	PL263|WP_139584963.1||294	91.6
D045	de_novo	6	member	PL395|WP_181548579.1||426	PL263|WP_139584963.1||294	92.4
D045	de_novo	6	member	PL406|WP_247684544.1||437	PL263|WP_139584963.1||294	90.5
R009	reference	6	centroid	PL53|WP_012476895.1||61	PL53|WP_012476895.1||61	*
R009	reference	6	member	PL55|BAE95770.1||63	PL53|WP_012476895.1||61	95.8
R009	reference	6	member	PL54|BAE95769.2||62	PL53|WP_012476895.1||61	98.6
R009	reference	6	member	PL547|Q1EPR4.1||	PL53|WP_012476895.1||61	95.8
R009	reference	6	member	PL549|Q79F77.1||	PL53|WP_012476895.1||61	100.0
R009	reference	6	member	PL548|Q1EPR5.2||	PL53|WP_012476895.1||61	98.6
D030	de_novo	5	centroid	PL192|BAI44731||221	PL192|BAI44731||221	*
D030	de_novo	5	member	PL550|BAI44731.1||	PL192|BAI44731||221	100.0
D030	de_novo	5	member	PL57|WP_011209364.1||65	PL192|BAI44731||221	97.9
D030	de_novo	5	member	PL179|WZH92451.1||208	PL192|BAI44731||221	97.1
D030	de_novo	5	member	PL56|P80008.1||64	PL192|BAI44731||221	92.9
D219	de_novo	5	centroid	PL307|WP_125313231.1||338	PL307|WP_125313231.1||338	*
D219	de_novo	5	member	PL417|WP_091317053.1||448	PL307|WP_125313231.1||338	91.6
D219	de_novo	5	member	PL273|WP_086849962.1||304	PL307|WP_125313231.1||338	91.6
