component_id,size_rank,canonical_label,n_members,n_with_v1_overlay,v1_component_spread,cath_folds,member_identifiers
C001,1,PL1,232,52,1;35,3.40.50.1820,PL1;PL2;PL3;PL4;PL5;PL6;PL7;PL8;PL9;PL10;PL11;PL13;PL15;PL16;PL24;PL29;PL30;PL31;PL34;PL36;PL37;PL38;PL39;PL40;PL69;PL116;PL117;PL118;PL120;PL121;PL122;PL123;PL124;PL126;PL128;PL129;PL130;PL131;PL132;PL133;PL136;PL149;PL153;PL156;PL157;PL159;PL162;PL163;PL169;PL170;PL174;PL175;PL186;PL194;PL195;PL196;PL197;PL198;PL207;PL208;PL209;PL211;PL212;PL213;PL214;PL225;PL226;PL227;PL229;PL230;PL231;PL232;PL233;PL234;PL236;PL237;PL238;PL239;PL240;PL241;PL242;PL243;PL244;PL245;PL246;PL247;PL248;PL250;PL251;PL252;PL254;PL256;PL257;PL258;PL259;PL261;PL262;PL264;PL265;PL266;PL267;PL268;PL269;PL270;PL272;PL273;PL274;PL275;PL276;PL279;PL280;PL281;PL282;PL283;PL284;PL285;PL286;PL287;PL288;PL289;PL291;PL292;PL294;PL295;PL296;PL297;PL298;PL299;PL300;PL301;PL302;PL303;PL304;PL305;PL306;PL308;PL310;PL350;PL351;PL352;PL353;PL354;PL355;PL356;PL357;PL358;PL359;PL360;PL361;PL362;PL363;PL364;PL365;PL366;PL367;PL368;PL369;PL370;PL371;PL372;PL373;PL374;PL375;PL376;PL377;PL378;PL380;PL381;PL382;PL384;PL385;PL386;PL387;PL389;PL390;PL396;PL397;PL398;PL399;PL400;PL401;PL402;PL403;PL404;PL405;PL407;PL408;PL409;PL410;PL411;PL412;PL413;PL414;PL415;PL416;PL418;PL419;PL420;PL421;PL423;PL424;PL425;PL426;PL427;PL428;PL429;PL430;PL431;PL432;PL433;PL434;PL435;PL436;PL437;PL438;PL441;PL442;PL443;PL445;PL447;PL448;PL449;PL450;PL452;PL464;PL465;PL485;PL502;PL504;PL519;PL524;PL589
C010,2,PL53,45,4,9,3.60.70.12,PL53;PL189;PL190;PL215;PL216;PL218;PL312;PL313;PL314;PL315;PL316;PL317;PL318;PL319;PL320;PL321;PL322;PL323;PL324;PL325;PL326;PL327;PL328;PL329;PL330;PL331;PL332;PL333;PL334;PL335;PL336;PL337;PL338;PL339;PL340;PL341;PL342;PL343;PL344;PL345;PL346;PL347;PL348;PL349;PL605
C008,3,PL51,19,14,10,3.90.1300.10,PL51;PL137;PL138;PL139;PL140;PL141;PL142;PL143;PL144;PL147;PL188;PL191;PL192;PL224;PL460;PL461;PL462;PL588;PL590
C006,4,PL43,16,14,2,3.40.50.1820,PL43;PL79;PL81;PL82;PL83;PL84;PL99;PL155;PL160;PL161;PL173;PL200;PL201;PL202;PL203;PL204
C004,5,PL35,14,10,23,3.40.50.1820,PL35;PL44;PL74;PL100;PL114;PL115;PL164;PL166;PL178;PL183;PL187;PL210;PL453;PL531
C031,6,PL110,10,5,16,NA,PL110;PL111;PL112;PL113;PL167;PL168;PL469;PL470;PL471;PL526
C011,7,PL58,5,4,21,3.40.50.1820,PL58;PL66;PL68;PL78;PL597
C020,8,PL75,5,4,25,3.40.50.1820,PL75;PL102;PL103;PL104;PL457
C023,9,PL85,5,5,3,3.40.50.1820,PL85;PL86;PL87;PL88;PL89
C027,10,PL93,5,3,27;30,3.40.50.1820,PL93;PL95;PL98;PL473;PL572
C007,11,PL46,4,4,4,3.40.50.1820,PL46;PL47;PL48;PL49
C012,12,PL59,4,2,11,2.40.10.10,PL59;PL60;PL220;PL577
C033,13,PL146,4,3,22,3.40.50.1820,PL146;PL181;PL454;PL562
C013,14,PL62,3,2,26,3.40.50.1820,PL62;PL105;PL456
C030,15,PL107,3,3,15,NA,PL107;PL108;PL109
C002,16,PL12,2,1,17,TBDX,PL12;PL463
C009,17,PL52,2,1,42,3.40.710.10,PL52;PL451
C014,18,PL63,2,1,32,3.40.50.1820,PL63;PL455
C024,19,PL90,2,2,31,3.40.50.1820,PL90;PL472
C025,20,PL91,2,2,28,3.40.50.1820,PL91;PL97
C045,21,PL535,2,2,14,2.60.40.420,PL535;PL536
C003,22,PL14,1,1,38,3.40.50.1820,PL14
C005,23,PL41,1,1,7,3.40.50.1820,PL41
C015,24,PL64,1,1,6,3.40.50.1820,PL64
C016,25,PL70,1,1,41,3.40.710.10,PL70
C017,26,PL71,1,1,8,3.40.710.10,PL71
C018,27,PL72,1,1,18,TBDY,PL72
C019,28,PL73,1,1,24,3.40.50.1820,PL73
C021,29,PL76,1,1,5,3.40.50.1820,PL76
C022,30,PL77,1,1,40,3.40.50.1820,PL77
C026,31,PL92,1,1,33,3.40.50.1820,PL92
C028,32,PL94,1,1,34,3.40.50.1820,PL94
C029,33,PL96,1,1,29,3.40.50.1820,PL96
C032,34,PL145,1,1,19,TBDZ,PL145
C034,35,PL165,1,1,43,3.40.710.10,PL165
C035,36,PL177,1,0,,,PL177
C036,37,PL182,1,1,37,3.40.50.1820,PL182
C037,38,PL184,1,1,36,3.40.50.1820,PL184
C038,39,PL185,1,1,39,3.40.50.1820,PL185
C039,40,PL219,1,0,,,PL219
C040,41,PL221,1,0,,,PL221
C041,42,PL311,1,0,,,PL311
C042,43,PL458,1,0,,,PL458
C043,44,PL466,1,0,,,PL466
C044,45,PL467,1,0,,,PL467
C046,46,PL581,1,1,12,2.40.10.10,PL581
