node_id,accession,pazy_id,sequence_length,outcome,component_id,merged_from,activity,n_edges_to_v1,n_edges_to_delta
m0176,7NEI,37,267,merge,M1,1;20;35,Direct,70,197
m0253,A0A1Q3SHB0,346,328,join,9,,Direct,6,13
m0255,A0A1Y4BJH4,348,335,join,9,,Direct,6,39
m0125,A0A2E3XQJ6,350,328,join,9,,Direct,6,34
m0306,A0A315R6Z8,352,302,join,9,,Direct,1,37
m0222,A0A351YZM4,354,328,join,9,,Direct,1,38
m0439,A0A368EC02,355,304,join,9,,Direct,0,36
m0017,A0A3D1YDR8,356,311,join,9,,Direct,6,41
m0126,A0A3D4HM79,357,314,join,9,,Direct,6,39
m0458,A0A3M1X2K7,358,322,join,9,,Direct,6,39
m0459,A0A432H965,359,326,join,9,,Direct,4,39
m0152,A0A4P1LYH5,494,191,join,17,,Thomas,1,0
m0135,A0A661XAJ6,364,315,join,9,,Direct,5,38
m0206,A0A6A7M915,365,342,join,9,,Direct,0,37
m0463,A0A6I1QW75,366,325,join,9,,Direct,6,39
m0314,A0A7C3G8G6,367,288,join,9,,Direct,6,40
m0188,A0A7C6SQZ1,368,318,join,9,,Direct,6,39
m0380,A0A7C7DKE8,369,342,join,9,,Direct,6,40
m0111,A0A7V5VEC1,370,312,join,9,,Direct,6,41
m0036,A0A7V9NEU5,371,359,join,9,,Direct,6,37
m0436,A0A7W0NYQ1,372,292,join,9,,Direct,6,39
m0347,A0A7X7N2B0,374,364,join,9,,Direct,6,40
m0053,ABY67151.1,70,176,join,12,,Direct,1,0
m0164,ACV09511,381,259,merge,M1,1;20;35,Direct,68,197
m0009,ADM47605.1,153,263,merge,M1,1;20;35,Direct,71,196
m0181,ADV92526.1,28,265,merge,M1,1;20;35,Direct,71,196
m0294,ADV92527.1,29,265,merge,M1,1;20;35,Direct,70,196
m0037,ALS54749.1,117,528,join,23,,Direct,5,2
m0001,ATH80290,490,280,merge,M1,1;20;35,Direct,1,18
m0132,BAU20375,254,386,join,21,,Direct,5,0
m0172,BEG79545,249,716,novel,N1,,Direct,0,0
m0442,CAA26616,482,392,join,42,,Thomas,1,0
m0048,CCH19814.1,280,465,merge,M1,1;20;35,Direct,69,199
m0124,EGD44994.1,147,259,merge,M1,1;20;35,Direct,67,197
m0409,GFJ87714.1,412,380,merge,M1,1;20;35,Direct,68,198
m0315,GGO06455.1,459,256,merge,M1,1;20;35,Direct,71,197
m0159,GGR16917.1,440,397,merge,M1,1;20;35,Direct,67,197
m0401,GHJ08786.1,427,400,merge,M1,1;20;35,Direct,67,196
m0027,GIG90696.1,463,414,merge,M1,1;20;35,Direct,69,202
m0221,GIU85367.1,417,244,merge,M1,1;20;35,Direct,69,198
m0343,GIU85371.1,478,242,merge,M1,1;20;35,Direct,68,196
m0052,KAH7127633,231,238,join,2,,Direct,9,2
m0115,KNX38636.1,310,303,merge,M1,1;20;35,Direct,69,196
m0138,KPI12031.1,142,275,merge,M1,1;20;35,Direct,68,196
m0267,KXS08985,343,366,join,9,,Direct,6,33
m0080,KZY99137.1,269,263,merge,M1,1;20;35,Direct,2,2
m0302,MBA55398.1,341,303,merge,M1,1;20;35,Direct,68,196
m0307,MBE65357.1,268,276,merge,M1,1;20;35,Direct,63,154
m0435,MBF9135495.1,422,293,merge,M1,1;20;35,Direct,69,200
m0079,MBJ7347705.1,399,259,merge,M1,1;20;35,Direct,69,195
m0240,MBN1171866.1,461,291,merge,M1,1;20;35,Direct,67,197
m0379,MBN2622270.1,394,287,merge,M1,1;20;35,Direct,67,197
m0277,MBO4274871.1,410,432,merge,M1,1;20;35,Direct,69,199
m0136,MBO9532528.1,261,267,merge,M1,1;20;35,Direct,67,195
m0082,MBO9569276.1,462,255,merge,M1,1;20;35,Direct,70,197
m0173,MBT8227529.1,387,395,merge,M1,1;20;35,Direct,68,199
m0287,MBT9528079.1,449,266,merge,M1,1;20;35,Direct,71,200
m0137,MBW4703769.1,436,420,merge,M1,1;20;35,Direct,69,201
m0061,MBX2857432.1,267,244,merge,M1,1;20;35,Direct,4,57
m0008,MBX3621832.1,416,256,merge,M1,1;20;35,Direct,69,197
m0301,MBX3624429.1,388,266,merge,M1,1;20;35,Direct,69,198
m0071,MBX3625601.1,259,263,merge,M1,1;20;35,Direct,70,197
m0109,MCF0091346.1,439,416,merge,M1,1;20;35,Direct,68,200
m0338,MGYP000221121644,400,425,merge,M1,1;20;35,Direct,68,199
m0226,MGYP000271253724,397,420,merge,M1,1;20;35,Direct,67,199
m0004,MGYP000321434903,456,259,merge,M1,1;20;35,Direct,71,196
