component_id,size_rank,canonical_label,n_members,n_with_v1_overlay,v1_component_spread,cath_folds,member_identifiers
C001,1,1,283,74,1;20;35,3.40.50.1820,1;2;3;4;5;6;7;8;9;10;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;64;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;142;143;144;145;146;147;149;150;151;154;155;161;162;163;165;166;167;177;185;186;187;188;189;190;197;198;199;201;202;203;204;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;397;398;399;400;401;402;403;404;405;406;407;408;409;410;411;412;413;414;415;416;417;418;419;420;421;422;423;424;425;426;427;428;429;430;431;432;433;434;435;436;438;445;450;451;460;461;463;464;465;466;467;468;469;477;478;481
C010,2,47,48,6,9,3.60.70.12,47;48;49;180;181;205;206;207;208;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;484
C008,3,44,25,17,10,3.90.1300.10,44;45;50;51;132;133;134;135;136;137;140;141;170;179;182;183;184;214;446;447;448;459;462;479;482
C006,4,36,18,16,2,3.40.50.1820,36;37;76;77;78;79;80;81;148;152;153;164;191;192;193;194;195;456
C004,5,30,15,11,23,3.40.50.1820,30;38;69;109;110;156;158;169;174;178;200;439;454;455;457
C032,6,105,10,5,16,NA,105;106;107;108;159;160;458;470;473;480
C011,7,52,8,5,21,3.40.50.1820,52;59;60;61;62;63;75;213
C021,8,70,7,6,25,3.40.50.1820,70;71;98;99;100;171;443
C007,9,39,5,5,4,3.40.50.1820,39;40;41;42;43
C014,10,56,5,3,26,3.40.50.1820,56;101;196;212;442
C024,11,82,5,5,3,3.40.50.1820,82;83;84;85;86
C028,12,91,5,3,27;30,3.40.50.1820,91;92;94;97;472
C012,13,53,4,2,11,2.40.10.10,53;54;210;475
C034,14,139,4,3,22,3.40.50.1820,139;172;440;483
C031,15,102,3,3,15,NA,102;103;104
C002,16,13,2,1,17,TBDX,13;449
C009,17,46,2,1,42,3.40.710.10,46;437
C013,18,55,2,1,12,2.40.10.10,55;476
C015,19,57,2,1,32,3.40.50.1820,57;441
C022,20,72,2,2,5,3.40.50.1820,72;73
C025,21,87,2,2,31,3.40.50.1820,87;88
C026,22,89,2,2,28,3.40.50.1820,89;96
C046,23,471,2,2,14,2.60.40.420,471;474
C003,24,15,1,0,,,15
C005,25,35,1,1,7,3.40.50.1820,35
C016,26,58,1,1,6,3.40.50.1820,58
C017,27,65,1,1,41,3.40.710.10,65
C018,28,66,1,1,8,3.40.710.10,66
C019,29,67,1,1,18,TBDY,67
C020,30,68,1,1,24,3.40.50.1820,68
C023,31,74,1,1,40,3.40.50.1820,74
C027,32,90,1,1,33,3.40.50.1820,90
C029,33,93,1,1,34,3.40.50.1820,93
C030,34,95,1,1,29,3.40.50.1820,95
C033,35,138,1,1,19,TBDZ,138
C035,36,157,1,1,43,3.40.710.10,157
C036,37,168,1,0,,,168
C037,38,173,1,1,37,3.40.50.1820,173
C038,39,175,1,1,36,3.40.50.1820,175
C039,40,176,1,1,39,3.40.50.1820,176
C040,41,209,1,0,,,209
C041,42,211,1,0,,,211
C042,43,301,1,0,,,301
C043,44,444,1,0,,,444
C044,45,452,1,0,,,452
C045,46,453,1,0,,,453
