node_id,sequence_md5,identifier,identifier_all,accession,accession_all,pazy_id,component_id,size_rank,sequence_length,enzyme_name,organism,v1_component,cath
v002,553239996e512830a1db6b67fb4aa1c7,,,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,,C001,1,259,PHL-7; PES-H1; PES-H2,Thermoanaerobacter sp.,1,3.40.50.1820
v066,2cd5f487f5114193eaf1c99806f6ef63,,,A0A031MKR8,A0A031MKR8,,C001,1,302,PsCut,Pseudomonas saudimassiliensis,1,3.40.50.1820
v068,42aa40364f5684f1f255819ab69b7b92,,,A0A078MGG8,A0A078MGG8,,C001,1,302,PmC,Pseudomonas  mendocina ATCC 53552,1,3.40.50.1820
v018,9b361d2c16557499693210de2a8a01b4,,,A0A0G3BI90_9BURK,A0A0G3BI90_9BURK,,C001,1,298,PET6; BSQ33_03270,Vibrio gazogenes,1,3.40.50.1820
v001,df38ea060b5dad0dfc9a593e4dce333c,,,A0A0K8P6T7,A0A0K8P6T7,,C001,1,290,PETase,Ideonella sakaiensis 201-F6,1,3.40.50.1820
v042,604018ae8af9058028c669f8ed8de020,,,A0A1F4JXW8,A0A1F4JXW8,,C001,1,426,ApLip-Ec,Aquabacterium parvum,1,3.40.50.1820
v076,b96e3838fee9bee7a9d7d7d57eda9386,,,A0A1H6AD45,A0A1H6AD45,,C001,1,304,PpelaLip,Pseudomonas pelagia DSM 25163,1,3.40.50.1820
v020,10e219e71a25db666947cbd3afc63123,,,A0A1Z2SIQ1_VIBGA,A0A1Z2SIQ1_VIBGA,,C001,1,298,PET5; LipA,Oleispira antarctica RB-8,1,3.40.50.1820
v004,4307017d78508de526bb8422be94a4c4,,,A4W93_05950,A4W93_05950,,C001,1,292,EstB,Pseudomonas sp. strain 9.2,1,3.40.50.1820
v089,ee0092b4288da1c69a59e16f2b702cdf,,,ACC95208.1,ACC95208.1,,C001,1,308,PET2; lipIAF5-2,Metagenome,1,3.40.50.1820
v005,95b8c354124ce6fc0e73869c1285b609,,,ACY95991.1,ACY95991.1,,C001,1,292,Tcur0390,Thermobifida curvata DSM43183,1,3.40.50.1820
v007,c4c87c36c70a8f1b15d4f8d38155f609,,,ADK73612,ADK73612,,C001,1,302,PLE629,Marinobacter sp.,1,3.40.50.1820
v008,10d87dbad4c4c7bfd7d5c331cef5b9ce,,,ADM47605.1,ADM47605.1,,C001,1,262,Enzyme 702,Thermobifida fusca,1,3.40.50.1820
v011,e65e54bed8b506d0ddf1f5164bf29425,,,ADV92526.1,ADV92526.1,,C001,1,262,-,Thermobifida cellulosilytica DSM44535,1,3.40.50.1820
v012,46578a460f23e13d1ebe0b0ebf887282,,,ADV92571,ADV92571,,C001,1,262,Thc_Cut2,Thermobifida cellulosilytica DSM44535,1,3.40.50.1820
v017,d67ede223c06bbb9c7903735558b4123,,,AGT96415,AGT96415,,C001,1,314,MGS0109 (KC986401),Marine metagenome,1,3.40.50.1820
v025,cae1f0e206dd5d377dbfb013f72cd60c,,,AJ810119,AJ810119,,C001,1,301,BTA-2; TfH,Thermobifida fusca DSM43793,1,3.40.50.1820
v021,a9bad1df9172c94be6b225bd32b6bd1d,,,BAB86909,BAB86909,,C001,1,304,PbsA,Acidovorax delafieldii Strain BS-3,1,3.40.50.1820
v022,2b9fd2b29499ad2d285db6505328e11d,,,BAI99230,BAI99230,,C001,1,296,Est1; Enzyme 708,Thermobifida alba AHK119,1,3.40.50.1820
v006,be8748feeb335dbb23ea57c0ca66828f,,,D1A9G5,D1A9G5,,C001,1,289,Tcur_1278,Thermobifida curvata DSM43183,1,3.40.50.1820
v027,2b9fd2b29499ad2d285db6505328e11d,,,D4Q9N1,D4Q9N1,,C001,1,296,Est1,Thermobifida alba AHK119,1,3.40.50.1820
v028,e5571e8fd143e90bd5db0ca52ce67226,,,DAC80635,DAC80635,,C001,1,284,SM14; SM14est,Streptomyces sp.,1,3.40.50.1820
v029,4d6c690dd47d3941954de2c9d2abaf2f,,,E5BBQ2,E5BBQ2,,C001,1,319,TfCut_1; Cut-1.kw3,Thermobifida fusca,1,3.40.50.1820
v026,cf88b3e711edffd341ba052fb3365c25,,,E5BBQ3_THEFU,E5BBQ3_THEFU,,C001,1,261,TfCut_2; Cut-2.kw3,Thermobifida fusca,1,3.40.50.1820
v009,c3b10fec34299e75939e57d3458275fe,,,E8U721,E8U721,,C001,1,315,PET1; DmPETase,Deinococcus maricopensis DSM 21211,1,3.40.50.1820
v010,5e3a225d0c4dad34e74078ea45904b70,,,E9LVH7,E9LVH7,,C001,1,262,Tha_Cut1; cut1,Thermobifida alba DSM43185,1,3.40.50.1820
v030,e65e54bed8b506d0ddf1f5164bf29425,,,E9LVH8,E9LVH8,,C001,1,262,Thc_cut1,Thermobifida cellulosilytica,1,3.40.50.1820
v031,46578a460f23e13d1ebe0b0ebf887282,,,E9LVH9,E9LVH9,,C001,1,262,Thc_cut2,Thermobifida cellulosilytica,1,3.40.50.1820
v013,7290711b3d888830a61b777dcd01df5d,,,E9LVI0_THEFU,E9LVI0_THEFU,,C001,1,262,TfH42_Cut1,Thermobifida fusca DSM44342,1,3.40.50.1820
