n213	n163	25.9	9.93	21
n212	n114	25.4	0.307	27
n212	n4	40.0	2.6	23
n212	n70	34.8	5.8	22
n212	n118	24.1	5.8	22
n212	n87	38.6	7.57	22
n211	n34	30.4	0.115	27
n211	n33	30.4	0.115	27
n211	n91	28.0	0.15	27
n211	n107	37.0	4.84	22
n211	n162	33.3	6.32	21
n211	n36	32.1	8.25	21
n210	n208	68.6	2.15e-172	595
n210	n206	52.9	3.71e-124	435
n210	n207	52.9	1.24e-119	420
n210	n209	45.7	3.73e-108	382
n210	n107	32.7	4.4	23
n210	n186	41.0	9.8	22
n209	n208	46.3	5.8e-109	384
n209	n206	42.8	1.3e-92	330
n209	n207	40.2	2.7e-90	322
n209	n202	28.9	0.0362	30
n209	n186	28.3	0.105	28
n209	n165	33.9	0.523	26
n209	n196	25.2	0.523	26
n209	n125	38.1	1.17	25
n209	n63	43.2	1.17	25
n209	n181	34.2	1.17	25
n209	n124	51.9	1.52	24
n209	n162	64.3	3.39	23
n209	n164	29.5	4.43	23
n209	n161	29.5	4.43	23
n209	n22	28.7	5.78	22
n209	n27	28.7	5.78	22
n209	n144	30.0	9.87	22
n208	n206	51.8	1.19e-122	430
n208	n207	50.1	1.16e-109	387
n208	n202	30.5	0.519	26
n207	n206	63.5	8.65e-147	510
n207	n119	26.0	0.222	27
n207	n109	24.1	0.29	27
n206	n202	25.2	0.00425	33
n206	n170	31.1	1.97	24
n206	n97	61.5	9.8	22
n205	n203	34.8	5.45e-96	342
n205	n204	33.2	5.28e-91	325
n205	n197	34.2	3.29	24
n205	n189	28.1	7.32	23
n204	n203	82.6	0	1208
n204	n160	29.1	0.663	26
n204	n132	25.0	4.3	23
n203	n98	30.3	3.3	24
n202	n201	30.4	3.38e-17	79
n202	n201	32.9	2.97e-05	40
n202	n123	31.9	0.989	25
n202	n198	35.1	1.69	24
n202	n75	32.8	2.88	23
n202	n108	31.4	6.41	22
n202	n48	32.8	8.38	22
n202	n102	30.9	8.38	22
n201	n128	25.4	2.5	24
n201	n191	34.1	7.28	22
n200	n199	27.4	0.000118	38
n200	n66	20.1	0.0936	28
n200	n68	20.5	0.356	26
n200	n5	22.5	0.465	26
n200	n185	29.8	0.465	26
n200	n195	25.3	0.792	25
n200	n127	27.9	1.77	24
n200	n177	48.1	5.14	22
n200	n198	28.6	6.71	22
n200	n123	29.9	6.71	22
n200	n61	23.9	8.76	22
n199	n198	34.0	8.48e-28	114
n199	n4	23.9	0.00324	32
n199	n144	20.3	0.0799	28
n199	n134	37.9	4.39	22
n199	n196	48.1	4.39	22
n199	n33	30.2	5.73	22
n199	n183	46.4	7.48	21
n199	n34	30.2	7.48	21
n198	n81	25.7	0.000865	34
n198	n127	23.3	0.18	27
n198	n148	33.8	0.308	26
n198	n51	43.2	0.685	25
n198	n126	23.6	1.99	23
n198	n191	52.9	2.6	23
n198	n133	24.8	4.44	22
n198	n141	29.3	5.8	22
n198	n189	30.8	9.89	21
n197	n189	32.7	2.28e-84	303
n197	n183	25.9	9.74e-27	112
n197	n191	26.7	1.72e-23	101
n197	n190	30.5	7.23e-22	96
n197	n195	26.6	2.75e-21	94
n197	n192	29.4	1.78e-20	91
n197	n184	25.5	2.18e-18	84
n197	n196	28.0	4.54e-16	76
n197	n185	24.0	5.92e-16	76
n197	n181	32.0	1.72e-15	74
n197	n194	27.5	5.55e-14	69
n197	n182	28.8	3.04e-12	64
n197	n188	24.8	1.51e-11	61
n197	n187	24.5	4.39e-11	60
n197	n193	23.8	1.08e-09	55
n197	n186	23.6	1.85e-09	54
n197	n108	34.0	0.918	25
n197	n61	30.6	0.918	25
n197	n170	32.6	0.918	25
n197	n155	22.9	5.95	23
n196	n188	35.5	1.56e-65	240
n196	n187	34.9	2.25e-64	236
n196	n184	32.6	5.18e-61	225
n196	n185	30.9	4.1e-58	216
n196	n183	31.8	5.55e-55	205
n196	n193	30.9	8.01e-54	201
n196	n194	34.8	1.37e-53	201
n196	n186	31.0	1.97e-52	197
n196	n191	31.0	8.29e-51	191
n196	n192	31.5	1.85e-50	190
n196	n190	32.4	1.16e-44	171
n196	n191	36.9	4.87e-43	166
n196	n195	37.3	4.12e-42	163
n196	n181	34.9	3.86e-40	156
n196	n186	34.4	2.86e-35	140
n196	n182	33.5	1.42e-34	138
n196	n189	30.8	1.86e-26	111
n196	n181	27.6	1.75e-08	51
n196	n195	30.7	1.75e-08	51
n196	n182	27.0	2.28e-08	50
n196	n100	24.2	1.75	24
n196	n108	25.0	2.99	23
n196	n173	35.0	5.1	23
n196	n165	26.2	5.1	23
n195	n190	38.6	3.01e-72	263
n195	n192	35.5	2.55e-71	260
n195	n191	34.4	4.8e-70	255
n195	n184	28.4	9.42e-50	188
n195	n185	28.7	1.04e-48	184
n195	n188	27.7	4.68e-41	159
n195	n187	27.7	1.04e-40	158
n195	n183	27.4	1.51e-39	154
n195	n194	28.6	2.84e-38	150
n195	n186	26.4	8.01e-33	132
n195	n193	26.0	3.97e-32	129
n195	n189	29.5	7.02e-29	119
n195	n181	32.3	2.5e-26	110
n195	n182	30.0	6.15e-25	106
n195	n181	43.2	4.14e-05	40
n195	n189	26.1	0.000268	37
n195	n182	39.5	0.00661	32
n194	n186	48.6	5.26e-114	401
n194	n193	48.2	5.82e-113	398
n194	n188	39.1	1.95e-84	303
n194	n187	39.2	1.4e-82	297
n194	n184	29.1	1.67e-43	167
n194	n183	29.6	3.26e-39	153
n194	n185	27.6	3.26e-39	153
n194	n190	30.3	6.36e-35	139
n194	n181	28.4	5.95e-33	132
n194	n192	29.2	2.96e-32	130
n194	n191	29.0	1.62e-30	124
n194	n182	34.1	1.52e-20	91
n194	n189	24.8	1.57e-17	81
n194	n182	31.0	3.52e-09	53
n194	n81	24.5	0.785	25
n194	n70	32.8	1.03	25
n194	n125	38.3	2.98	23
n194	n123	42.3	3.9	23
n194	n95	23.7	3.9	23
n194	n94	24.7	6.65	22
n194	n41	35.9	8.68	22
n194	n91	27.3	8.68	22
n193	n186	97.9	3.66e-272	927
n193	n188	38.5	8.07e-78	281
n193	n187	37.9	3.39e-76	276
n193	n184	30.1	5.11e-40	156
n193	n183	29.6	1.65e-38	151
n193	n185	29.3	2.81e-38	150
n193	n181	28.8	1.18e-28	118
n193	n190	32.5	4.2e-26	109
n193	n192	27.4	2.72e-25	107
n193	n181	34.4	1.5e-23	101
n193	n191	25.9	1.5e-23	101
n193	n182	31.1	2.82e-22	97
n193	n189	27.5	2.31e-16	77
n193	n182	31.2	3.95e-08	50
n193	n169	28.1	0.123	28
n193	n58	23.8	0.358	27
n193	n25	26.1	0.611	26
n193	n45	25.5	2.32	24
n193	n14	25.5	2.32	24
n193	n170	30.8	3.96	23
n193	n29	32.3	5.17	23
n193	n134	39.3	5.17	23
n193	n23	26.4	6.76	22
n193	n138	24.1	8.83	22
n193	n13	32.3	8.83	22
n193	n107	40.0	8.83	22
n193	n26	32.3	8.83	22
n193	n80	32.3	8.83	22
n192	n191	83.1	2.7e-213	731
n192	n190	52.7	5.41e-121	424
n192	n188	29.8	4.1e-44	169
n192	n187	29.4	1.01e-42	164
n192	n184	27.0	7.48e-38	148
n192	n183	30.3	9.77e-38	148
n192	n185	33.6	3.6e-32	129
n192	n189	31.7	5.94e-27	112
n192	n186	28.1	1.91e-25	107
n192	n181	38.5	7.27e-25	105
n192	n182	30.2	8.03e-24	102
n192	n181	24.0	3.28e-09	53
n192	n189	24.1	0.328	27
n192	n151	28.0	0.732	25
n192	n143	25.8	0.732	25
n192	n79	38.1	4.74	23
n192	n170	35.0	8.09	22
n191	n190	52.4	2.97e-119	419
n191	n188	28.0	5.54e-41	159
n191	n187	27.8	1.04e-39	154
n191	n183	28.2	9.15e-36	141
n191	n185	34.2	5.2e-31	126
n191	n184	33.5	9.17e-28	115
n191	n181	32.9	1.32e-26	111
n191	n189	29.4	2.26e-26	110
n191	n182	31.7	8.03e-24	102
n191	n186	26.6	8.03e-24	102
n191	n181	23.9	1.38e-07	48
n191	n184	23.8	1.29e-05	41
