component_id,model_source,n_members,n_v1,n_new,merged_from,hmm_length,n_detected,mean_member_coverage,mean_hmm_coverage,min_member_coverage,flags
M1,merge-rebuilt,302,85,217,1;20;35,367,302,0.9584,0.7399,0.5768,
9,inherited,48,6,42,,323,48,0.963,0.9647,0.8692,
10,inherited,23,17,6,,476,23,0.9903,0.9849,0.9637,
2,inherited,19,16,3,,207,19,0.9926,0.9718,0.9783,
23,inherited,17,13,4,,482,17,0.9747,0.8261,0.9119,
25,inherited,7,6,1,,416,7,0.99,0.9722,0.9469,
21,inherited,6,5,1,,377,6,0.9991,0.9005,0.9974,
16,inherited,5,5,0,,404,5,0.9985,0.9916,0.9951,
26,inherited,5,3,2,,206,5,1.0,0.9786,1.0,
3,inherited,5,5,0,,404,5,0.9795,0.9074,0.9143,
4,inherited,5,5,0,,616,5,0.95,0.886,0.8492,
22,inherited,4,3,1,,284,4,0.9735,0.9842,0.8941,
11,inherited,3,2,1,,237,3,0.9986,0.9705,0.9957,
15,inherited,3,3,0,,680,3,1.0,1.0,1.0,
12,inherited,2,1,1,,364,2,1.0,0.7418,1.0,
14,inherited,2,2,0,,563,2,0.898,0.7842,0.796,
17,inherited,2,1,1,,207,2,1.0,0.9638,1.0,
28,inherited,2,2,0,,747,2,1.0,0.9946,1.0,
30,inherited,2,2,0,,680,2,1.0,0.8169,1.0,
31,inherited,2,2,0,,380,2,1.0,1.0,1.0,
32,inherited,2,1,1,,307,2,1.0,0.9984,1.0,
42,inherited,2,1,1,,392,2,1.0,1.0,1.0,
5,inherited,2,2,0,,283,2,1.0,1.0,1.0,
18,inherited,1,1,0,,411,1,1.0,1.0,1.0,singleton_model
19,inherited,1,1,0,,316,1,1.0,1.0,1.0,singleton_model
24,inherited,1,1,0,,421,1,1.0,1.0,1.0,singleton_model
27,inherited,1,1,0,,339,1,1.0,1.0,1.0,singleton_model
29,inherited,1,1,0,,576,1,1.0,1.0,1.0,singleton_model
33,inherited,1,1,0,,293,1,1.0,1.0,1.0,singleton_model
34,inherited,1,1,0,,380,1,1.0,1.0,1.0,singleton_model
36,inherited,1,1,0,,240,1,1.0,1.0,1.0,singleton_model
37,inherited,1,1,0,,256,1,1.0,1.0,1.0,singleton_model
38,inherited,1,1,0,,218,1,1.0,1.0,1.0,singleton_model
39,inherited,1,1,0,,249,1,1.0,1.0,1.0,singleton_model
40,inherited,1,1,0,,338,1,1.0,1.0,1.0,singleton_model
41,inherited,1,1,0,,414,1,1.0,1.0,1.0,singleton_model
43,inherited,1,1,0,,455,1,1.0,1.0,1.0,singleton_model
6,inherited,1,1,0,,295,1,1.0,1.0,1.0,singleton_model
7,inherited,1,1,0,,342,1,1.0,1.0,1.0,singleton_model
8,inherited,1,1,0,,390,1,1.0,1.0,1.0,singleton_model
N1,novel-built,1,0,1,,716,1,1.0,1.0,1.0,singleton_model
N2,novel-built,1,0,1,,286,1,1.0,1.0,1.0,singleton_model
N3,novel-built,1,0,1,,438,1,1.0,1.0,1.0,singleton_model
N4,novel-built,1,0,1,,503,1,1.0,1.0,1.0,singleton_model
N5,novel-built,1,0,1,,299,1,1.0,1.0,1.0,singleton_model
