node_id	rowid	pazy_accession	component	cath	seqlen	md5
n1	1	A0A0K8P6T7	1	3.40.50.1820	290	df38ea060b5dad0dfc9a593e4dce333c
n2	2	7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1	1	3.40.50.1820	259	553239996e512830a1db6b67fb4aa1c7
n3	3	YNPsite05_CeleraDRAFT_401410	1	3.40.50.1820	380	9610434481ec16c88506a703693f96ab
n4	4	A4W93_05950	1	3.40.50.1820	292	4307017d78508de526bb8422be94a4c4
n5	5	ACY95991.1	1	3.40.50.1820	292	95b8c354124ce6fc0e73869c1285b609
n6	6	D1A9G5	1	3.40.50.1820	289	be8748feeb335dbb23ea57c0ca66828f
n7	7	ADK73612	1	3.40.50.1820	302	c4c87c36c70a8f1b15d4f8d38155f609
n8	8	ADM47605.1	1	3.40.50.1820	262	10d87dbad4c4c7bfd7d5c331cef5b9ce
n9	9	E8U721	1	3.40.50.1820	315	c3b10fec34299e75939e57d3458275fe
n10	10	E9LVH7	1	3.40.50.1820	262	5e3a225d0c4dad34e74078ea45904b70
n11	11	ADV92526.1	1	3.40.50.1820	262	e65e54bed8b506d0ddf1f5164bf29425
n12	12	ADV92571	1	3.40.50.1820	262	46578a460f23e13d1ebe0b0ebf887282
n13	13	E9LVI0_THEFU	1	3.40.50.1820	262	7290711b3d888830a61b777dcd01df5d
n14	14	JN129499.1	1	3.40.50.1820	319	d357a79e14b6376e4d3557864252bfe8
n15	15	JN129500.1	1	3.40.50.1820	301	a0445e5a5b156ccfedc088c49acfd84a
n16	16	H6WX58	1	3.40.50.1820	262	761f31759bb5d73ea55282d40c050c2e
n17	17	AGT96415	1	3.40.50.1820	314	d67ede223c06bbb9c7903735558b4123
n18	18	A0A0G3BI90_9BURK	1	3.40.50.1820	298	9b361d2c16557499693210de2a8a01b4
n19	19	KU695573	1	3.40.50.1820	307	710f4592bfa0115da9f3500092b3518f
n20	20	A0A1Z2SIQ1_VIBGA	1	3.40.50.1820	298	10e219e71a25db666947cbd3afc63123
n21	21	BAB86909	1	3.40.50.1820	304	a9bad1df9172c94be6b225bd32b6bd1d
n22	22	BAI99230	1	3.40.50.1820	296	2b9fd2b29499ad2d285db6505328e11d
n23	23	F7IX06	1	3.40.50.1820	300	c627badfbdd42acfa7664595a681b789
n24	24	W0TJ64	1	3.40.50.1820	304	a5e57aa9699b655bb23f42f50c4debb3
n25	25	AJ810119	1	3.40.50.1820	301	cae1f0e206dd5d377dbfb013f72cd60c
n26	26	E5BBQ3_THEFU	1	3.40.50.1820	261	cf88b3e711edffd341ba052fb3365c25
n27	27	D4Q9N1	1	3.40.50.1820	296	2b9fd2b29499ad2d285db6505328e11d
n28	28	DAC80635	1	3.40.50.1820	284	e5571e8fd143e90bd5db0ca52ce67226
n29	29	E5BBQ2	1	3.40.50.1820	319	4d6c690dd47d3941954de2c9d2abaf2f
n30	30	E9LVH8	1	3.40.50.1820	262	e65e54bed8b506d0ddf1f5164bf29425
n31	31	E9LVH9	1	3.40.50.1820	262	46578a460f23e13d1ebe0b0ebf887282
n32	32	EGD44994.1	1	3.40.50.1820	294	6435b353e1e02d2f720bc95ef5cb13af
n33	33	G9BY57	1	3.40.50.1820	293	1b0d2c147b96bad033703fb124a50764
n34	34	GBD22443	1	3.40.50.1820	293	4dfca93c424da8986ee3fb484d868de2
n35	35	YNPsite06_CeleraDRAFT_160970	1	3.40.50.1820	456	fe31253f406d9725da382e4a9e67d782
n36	36	R4YKL9_OLEAN	1	3.40.50.1820	310	e0db2a4f62c16fd0850cb05f28dbe103
n37	37	JzSedJan11_10004914	1	3.40.50.1820	263	c48ea13e3b7c4343a47482e71c9b2abe
n38	38	YNPsite06_CeleraDRAFT_367810	1	3.40.50.1820	495	6f5b887d3833e9449f06aac8cfc2e5d6
n39	39	JGI20132J14458_10325381	1	3.40.50.1820	257	37caf8c38d262f6d271a5e7c422d4423
n40	40	MEC8523093.1	1	3.40.50.1820	292	bc7a038f9383a1c9351ad53e8f89a243
n41	41	ODU60407.1	1	3.40.50.1820	305	174ba911d73b1edc801c52651ec17efd
n42	42	A0A1F4JXW8	1	3.40.50.1820	426	604018ae8af9058028c669f8ed8de020
n43	43	P19833	1	3.40.50.1820	319	6c92a78329d5a05cad38caf62075d747
n44	44	Q47RJ6_THEFY	1	3.40.50.1820	301	a0445e5a5b156ccfedc088c49acfd84a
n45	45	Q47RJ7_THEFY	1	3.40.50.1820	319	d357a79e14b6376e4d3557864252bfe8
n46	46	Q6A0I4	1	3.40.50.1820	301	a0445e5a5b156ccfedc088c49acfd84a
n47	47	Q8RR62	1	3.40.50.1820	304	a9bad1df9172c94be6b225bd32b6bd1d
