accession,enzyme_id,table_label,ncbi_len,reported_len,classification,pct_identity,notes
RMD69273.1,305,Enzyme 305 like,335,240,HOMOLOG,72.8,"61 mismatch, 2 gap over aligned core"
MDT7859148.1,307,Enzyme 307 like,257,186,HIGH-SIMILARITY,95.4,"8 mismatch, 0 gap over aligned core"
RLT92980.1,403,,269,292,DIVERGENT,28.7,"170 mismatch, 29 gap over aligned core"
WP_082414832.1,405,,302,283,IDENTICAL,100.0,signal/N-term trim 28 aa; +start-Met
WP_062195544.1,406,,292,313,HOMOLOG,44.5,"155 mismatch, 7 gap over aligned core"
WP_117215036.1,407,,434,401,IDENTICAL,100.0,signal/N-term trim 42 aa; +start-Met
WP_101893509.1,409,,283,277,HOMOLOG,85.4,"39 mismatch, 0 gap over aligned core"
ODU60407.1,412,,305,291,DIVERGENT,33.9,"149 mismatch, 9 gap over aligned core"
EGD44994.1,503,Enzyme 503 like,294,267,IDENTICAL,100.0,signal/N-term trim 36 aa; +start-Met
WP_107095481.1,607,,310,271,IDENTICAL,100.0,signal/N-term trim 48 aa; +start-Met
WP_093412886.1,611,,293,269,IDENTICAL,100.0,signal/N-term trim 33 aa; +start-Met
WP_104613137.1,701,,301,270,IDENTICAL,100.0,signal/N-term trim 40 aa; +start-Met
ADM47605.1,702,,262,271,IDENTICAL,100.0,signal/N-term trim 0 aa; +start-Met
WP_083947829.1,711,,284,269,IDENTICAL,100.0,signal/N-term trim 24 aa; +start-Met
