node_id,sequence_md5,identifier,identifier_all,accession,accession_all,pazy_id,component_id,size_rank,sequence_length,enzyme_name,organism,v1_component,cath
m0201,6def7fc8a6f81bb797445e688dbb615f,PL1,PL1,OPG10926.1,OPG10926.1,322,C001,1,308,169,Microbispora sp. GKU 823,,
m0228,7a0b4f5fc6faf46b8f8e8de955097dbe,PL2,PL2,WP_129849678.1,WP_129849678.1,336,C001,1,316,191,Streptomyces sp. SCA2-2,,
m0452,ece8f45d57141ab0f29280d76fc2a9b7,PL3,PL3,WP_116813002.1,WP_116813002.1,313,C001,1,288,247,Steroidobacter cummioxidans,,
m0291,9bc4714d8e79f6fcfcad8aca634001ab,PL4,PL4,WP_092528534.1,WP_092528534.1,331,C001,1,299,282,Amycolatopsis arida,,
m0149,4eb20c9016001fd934311ea5fc36f89f,PL5,PL5,WP_143590710.1,WP_143590710.1,293,C001,1,272,385,Thermoactinospora rubra,,
m0122,43855fcf31b8ee18bc3c65f3b00f10cb,PL6,PL6,WP_104115406.1,WP_104115406.1,326,C001,1,296,401,Micromonospora chalcea,,
m0045,1545cf731ea10ee62b256807199e37d8,PL7,PL7,RLU00646.1,RLU00646.1,141,C001,1,312,403,Ketobacter sp.,1,3.40.50.1820
m0189,677a11fa0e32fbd01338ba6d30fc718b,PL8,PL8,"KPI12031.1, WP_082414832.1","KPI12031.1, WP_082414832.1",142,C001,1,302,405,Actinobacteria bacterium OK074,1,3.40.50.1820
m0049,174ba911d73b1edc801c52651ec17efd,PL9,PL9,ODU60407.1,ODU60407.1,143,C001,1,305,406,Comamonadaceae bacterium,1,3.40.50.1820
m0207,70461e4ccc8f072afc5757915d4ab26f,PL10,PL10,WP_162908185.1,WP_162908185.1,144,C001,1,436,407,Allorhizocola rhizosphaerae,,
m0042,14a5c3e1584a0ee2518f18810a7fed98,PL11,PL11,RLT92980.1,RLT92980.1,145,C001,1,269,409,Ketobacter sp.,1,3.40.50.1820
m0167,5b3f01f3bbd1d34e9bcd72527c959781,PL12,PL12,WP_158643351.1,WP_158643351.1,146,C001,1,311,412,Ketobacter alkanivorans,,
m0475,f85c8564f510148807a599ea6a5cf433,PL13,PL13,WP_123685830.1,WP_123685830.1,316,C001,1,289,414,Amycolatopsis bacterium,,
m0390,d0cd1d061b574c3e97321300be9b3c6e,PL14,PL14,WP_120326365.1,WP_120326365.1,328,C001,1,300,486,Micromonospora globbae,,
m0182,6435b353e1e02d2f720bc95ef5cb13af,PL15,PL15,EGD44994.1,EGD44994.1,147,C001,1,294,503,Nocardioidaceae bacterium,1,3.40.50.1820
m0276,9584eb11232d43e7df101608e2829102,PL16,PL16,WP_086849962.1,WP_086849962.1,304,C001,1,309,554,Amycolatopsis kentuckyensis,,
m0458,ef08656ab980fbd8c17fe79b6060a681,PL17,PL17,"SJZ42839.1, WP_078759821.1","SJZ42839.1, WP_078759821.1",149,C001,1,311,606,Marinactinospora thermotolerans,1,3.40.50.1820
m0150,4f68c367317a6c09df48faffc017ad9e,PL18,PL18,WP_093412886.1,WP_093412886.1,151,C001,1,293,611,Saccharopolyspora flava,1,3.40.50.1820
m0423,e125fba23d29946317aa25973b8c03cb,PL19,PL19,WP_104613137.1,WP_104613137.1,152,C001,1,301,701,Thermobifida fusca,1,3.40.50.1820
m0033,10d87dbad4c4c7bfd7d5c331cef5b9ce,PL20,PL20,ADM47605.1,ADM47605.1,153,C001,1,262,702,Thermobifida fusca,1,3.40.50.1820
m0058,1e1f498fae0e6d56fb87a52a1fef96ff,PL21,PL21,"WP_083947829, WP_083947829.1","WP_083947829, WP_083947829.1",154,C001,1,284,711,Thermobifida cellulosilytica,1,3.40.50.1820
m0277,95981aed79b153af6c6d1c44c404d164,PL22,PL22,WP_083950838.1,WP_083950838.1,295,C001,1,297,917,Actinomadura bacterium,,
m0346,bd809f78218b2481c1bf1b3a46c74053,PL23,PL23,WP_065917710.1,WP_065917710.1,300,C001,1,276,1169,Lentzea guizhouensis,,
m0085,2da35d44369fc57fbab077687acd8caf,PL24,PL24,WP_091450391.1,WP_091450391.1,333,C001,1,281,1228,Actinokineospora iranica,,
m0108,3cdb04dfc6e8e2e6816fbe523d088f25,PL25,PL25,KNX38636.1,KNX38636.1,310,C001,1,303,1240,Luteipulveratus halotolerans,,
m0296,9ffafefd549320c21cd92af62f19d6eb,PL26,PL26,TQL66274.1,TQL66274.1,315,C001,1,286,1309,Nocardioides albertanoniae,,
m0406,d887c31f2cd02dc21c2c52c61d02bd31,PL27,PL27,WP_103564314.1,WP_103564314.1,335,C001,1,298,1340,Actinomadura rubteroloni,,
m0061,20f7abda67d907b1e03456185b9a7df8,PL28,PL28,SPF04022.1,SPF04022.1,327,C001,1,287,1392,Streptomyces sp. MA5143a,,
m0287,9a39f26de8397ad8e82c7ddd5ffb0a75,PL29,PL29,RZL02950.1,RZL02950.1,319,C001,1,295,1395,Herbihabitans rhizosphaerae,,
m0088,31564b91ecf89c422e16abc249221256,PL30,PL30,WP_110080872.1,WP_110080872.1,329,C001,1,316,1424,Actinokineospora spheciospongiae,,
m0106,3b8571a2d62a99f31d344cab5662e8e5,PL31,PL31,WP_093954453.1,WP_093954453.1,312,C001,1,302,1457,Amycolatopsis vastitatis,,
m0165,5a6ca9ba6be2179ba6074343233d0a9b,PL32,PL32,WP_081971423.1,WP_081971423.1,302,C001,1,265,1463,Dactylosporangium aurantiacum,,
m0389,d09446e7bab13e062244cd0babc73a84,PL33,PL33,WP_073887759.1,WP_073887759.1,278,C001,1,415,1465,Saccharothrix sp. CB00851,,
m0188,66ecc46b29b845a7a916ce1874720817,PL34,PL34,WP_132413760.1,WP_132413760.1,285,C001,1,444,1468,Kribbella albertanoniae,,
