enzyme_name,organism,sequence_md5,node_id,sequence_length,matches_v1_node
HP,Ectopseudomonas mendocina,004af9e9b29cb7a99eee6d96edfaabcd,m0001,280,0
PHL-1,compost metagenome,00855c73c087597a6c69fa2b114d731e,m0002,260,1
ScPETase,Streptomyces calvus,009e600d3a7df316a22764026a76e2bc,m0003,300,0
TEP037,,010991495537828f0796c93512058d2e,m0004,259,0
DmC,Dactylonectria macrodidyma,02048bc3dc3b8c853e51fcc55038f6ac,m0005,237,1
1821,Streptomyces violaceusniger,04eb6f62384740641a457083240d65be,m0007,378,0
1591,Micromonospora haikouensis,0600d8fd8a62760bde8393fb0fde0e0d,m0008,463,0
LipMRD9,Bacillus safensis,067e281972e92f24fb345ef6c8870caa,m0009,215,1
UMG-SP-2,Environmental sample,06d89e9f595b7abc6f662a4ea5fc3f77,m0010,439,1
Nyl37,Dehalococcoidia bacterium,06ea0302cc54279d54aebaa45774cfe7,m0011,311,0
LatA,Piscinibacter gummiphilus,073907a632be32c5b92c8381c4de0c90,m0012,679,1
TEP091,Cellulomonas iranensis,073f8bc76f09e2183891c86f93e05b7d,m0013,284,0
TEP105,Saccharopolyspora hirsuta,07624194bbcd6bf29fe626de86e9ca46,m0014,295,0
PhaZ7,Paucimonas lemoignei,085add734f10d1917f9638347ab618d2,m0015,380,1
ESM101,Micromonospora sp. RL09-050-HVF-A,0a552022c4776bbf93ebe23164db0cd0,m0016,474,0
LP175,Laceyella sacchari,0ac767e72406f2fc0cf50fd9008e6f16,m0017,385,1
PET93,Maribacter dokdonensis,0b490a6d93d67b0ebb2d6cd3d80f9d9a,m0018,434,0
ESM160,Asanoa hainanensis,0bed3021f541af53d7f9285ae8d85094,m0019,296,0
AmdA,Agrobacterium tumefaciens,0c554c0dd255de614d248db3118d89da,m0020,517,1
PHL-5,Compost metagenome,0c75d9f81ae52914a609ec24d4c68ea2,m0021,257,1
Nyl50,Alphaproteobacteria bacterium,0ccba4d53ac83e5437ecd1027cfe4ab8,m0022,305,0
PlaM7,PLA disk compost metagenome,0ce515d8f0c2a6b72722a127e726b8d7,m0023,283,1
CYP450,Homo sapiens,0d1c7296209804664d2da95c23eea089,m0024,503,0
PueA,Pseudomonas protegens,0d26a77d2ffda03e4582e295927066c6,m0025,617,1
1538,Plantactinospora sp. B6F1,0d51bfebc665db66f2d9c28959b141d3,m0026,472,0
Arylacylamidase,Nocardia globerula,0dd151000d71720a7a8996bf7fb3acbf,m0027,28,0
CpCut1,Cladosporium sp.,0e841a3c1f59a0cfd7b1ac47b6e7b1bd,m0028,221,1
1654,Crossiella equi,0f43f7fe3f0c0042197df2508ee850e3,m0029,418,0
PhaZAfa,Alcaligenes faecalis,0ff17ebdb173018728d2219bcd5f4e38,m0030,488,0
Urethanase,Lysinibacillus fusiformis,1090fc7df5cb6e4866fd00779c1d8e28,m0031,472,1
GatA,Lysinibacillus fusiformis,1090fc7df5cb6e4866fd00779c1d8e28,m0031,472,1
702,Thermobifida fusca,10d87dbad4c4c7bfd7d5c331cef5b9ce,m0032,262,1
PET6,Vibrio gazogenes,10e219e71a25db666947cbd3afc63123,m0033,298,1
Nyl71,Acidobacteriota bacterium,10f99a34d701d302d6cd789182b6508e,m0034,359,0
Chath_Est1,Hungatella hathewayi,1101bda63c95a021aad8d9924dfba646,m0035,528,0
PBATHBp,Bacillus pumilus,11448cbf80389c1a758d8dfcba90907c,m0036,215,1
CtPl,Caldimonas taiwanensis,1197ee1b96f74dd16a31dad1ba334c46,m0037,292,1
IS11,Dehalococcoidia bacterium,12efbdad63de5275909365067113db41,m0038,455,1
CaPETase,Cryptosporangium aurantiacum,1361228bf3f1c19ea8214555076414a7,m0039,299,1
409,Ketobacter sp.,14a5c3e1584a0ee2518f18810a7fed98,m0040,269,1
lcp2,,14c85d0adef7eb6df5a6ed35c4a73ba8,m0041,402,0
PhaY2,Cupriavidus necator,15317ec096461afae2a6111e17b27633,m0042,293,1
403,Ketobacter sp.,1545cf731ea10ee62b256807199e37d8,m0043,312,1
PLE628,Marinobacter sp.,15938ddd57d7448aa110a9139193c91b,m0044,307,1
1617,Micromonospora lupini,161e4dc2c4ef1e36fe625c65439a815b,m0045,465,0
406,Comamonadaceae bacterium,174ba911d73b1edc801c52651ec17efd,m0047,305,1
TEP054,Dactylosporangium aurantiacum,17cf0142a842915adf56bd16d1f70336,m0048,437,0
ESM093,Dactylosporangium siamense,1801d10ed570ce70933bdbe9f25a34b6,m0049,279,0
TfH,Thermobifida fusca,1825599eda3fb3a78763126d00597799,m0050,261,0
PLAase III,Amycolatopsis orientalis,18de7a550936804f8be57fdf26a8e0e3,m0051,176,0
APET-25,Actinophytocola sp.,18f1178aa194bcd44f9de9bf8b6ef166,m0052,285,0
Lcp1VH2,Gordonia polyisoprenivorans,198d14bb37149debc526a3f90e777956,m0053,407,1
LCC,,1b0d2c147b96bad033703fb124a50764,m0054,293,1
BsMPPE,Bacillus subtilis,1dac4ce79e11274c7297487b461232e1,m0055,259,0
711,Thermobifida cellulosilytica,1e1f498fae0e6d56fb87a52a1fef96ff,m0056,284,1
Nyl16,Candidimonas nitroreducens,1fd045e8b65176376e182facc216b772,m0057,335,0
ESM059,Micromonospora craterilacus,2053c1f056678cc0df8796d8990fb355,m0058,462,0
1392,Streptomyces sp. MA5143a,20f7abda67d907b1e03456185b9a7df8,m0059,287,0
Nyl47,Kribbella sindirgiensis,213f66a13d29726369cc62acb0ec8c5b,m0060,287,0
TEP092,Plantactinospora endophytica,21529d199ac34be22c7967f66af4194b,m0061,472,0
ESM144,Catellatospora bangladeshensis,21b9ee3c2d064bd97bf205292edd4e77,m0062,288,0
Ces39_5,Caldibacillus thermoamylovorans,228edba5269227f472a446139a646369,m0063,249,1
1507,Catellatospora sichuanensis,2510ccd8faea4efb0652cab75394adfa,m0065,275,0
PBATHRF,Rhodococcoides fascians,255e2b78ca9f54fe397d3917c1c6cae9,m0067,216,1
RCut,Rhodococcus sp. (in: high G+C Gram-positive bacteria),255e2b78ca9f54fe397d3917c1c6cae9,m0067,216,1
Ces19_14,Caldibacillus thermoamylovorans,263a6865371a5e0924e53280192fa035,m0068,240,1
PhaZ1,Cupriavidus necator,263b6d9cf1f73ddee6c8d0410fdaf229,m0069,419,1
Nyl73,Stecheria intestinalis,27b40925ec9dab01a97010da9157f232,m0070,319,0
Est8_89,Caldibacillus thermoamylovorans,2952634441666dbdb22a48ce9cde12c5,m0071,266,1
DP090,Streptomyces sp. ST2-7A,2a3c4f5280e7c5835b8e1428f7044fe3,m0072,314,0
DIEGO,uncultured bacterium,2a9215b62ae074282dc7ffcda6232192,m0073,293,0
APET-28,Cellvibrionaceae bacterium,2af6d737171357f18fd9f3cddedf6015,m0075,275,0
MG8,Oral metagenome,2b913d598a604cd64df1b67d929b5d6f,m0076,307,0
Est1,Thermobifida alba,2b9fd2b29499ad2d285db6505328e11d,m0077,296,1
APET-19,Thermomonospora umbrina,2c71453465b0acb39d172983ac4a7387,m0078,279,0
PbauzCut,Halopseudomonas bauzanensis,2cd5f487f5114193eaf1c99806f6ef63,m0079,302,1
ESM043,Streptomyces sp. NRRL F-5123,2cdb0469feb77ba7e2d63ca3b108b137,m0080,426,0
TEP067,Actinomadura sp. K4S16,2d321d769e7c7464a135d954c2a9a866,m0081,309,0
1228,Actinokineospora iranica,2da35d44369fc57fbab077687acd8caf,m0082,281,0
Sis,uncultured bacterium,2ddc62c97241531aed04530538ae54d8,m0083,282,1
PCLE,Paraphoma sp. B47-9,2faa60f73ded9c502787ece47fca13f7,m0084,227,1
