source,target,pct_id,evalue,bits
n1,n10,52.4,3.860e-65,252.0
n1,n11,51.1,1.200e-66,257.0
n1,n12,49.6,6.590e-65,251.0
n1,n13,50.4,1.730e-65,253.0
n1,n14,49.3,9.210e-68,261.0
n1,n15,50.3,3.740e-69,265.0
n1,n16,48.9,2.120e-63,246.0
n1,n18,64.6,6.100e-104,381.0
n1,n19,46.4,2.050e-67,260.0
n1,n2,47.7,5.160e-62,242.0
n1,n20,48.4,1.570e-67,260.0
n1,n21,78.6,4.340e-126,455.0
n1,n22,49.0,5.580e-65,252.0
n1,n23,49.1,7.290e-65,251.0
n1,n24,44.5,3.750e-61,239.0
n1,n25,49.7,4.130e-68,262.0
n1,n26,51.3,2.040e-66,256.0
n1,n27,49.0,5.580e-65,252.0
n1,n28,41.9,1.140e-54,217.0
n1,n29,49.7,9.210e-68,261.0
n1,n30,51.1,1.200e-66,257.0
n1,n31,49.6,6.590e-65,251.0
n1,n32,44.5,4.290e-57,225.0
n1,n33,47.3,1.050e-63,247.0
n1,n34,44.7,4.580e-59,232.0
n1,n36,54.8,1.120e-73,280.0
n1,n4,74.9,4.070e-116,421.0
n1,n40,30.1,8.440e-21,105.0
n1,n41,49.6,3.160e-68,262.0
n1,n42,62.1,3.360e-94,349.0
n1,n43,44.2,9.880e-54,214.0
n1,n44,50.3,3.740e-69,265.0
n1,n45,49.3,9.210e-68,261.0
n1,n46,50.3,3.740e-69,265.0
n1,n47,78.6,4.340e-126,455.0
n1,n5,49.0,2.770e-64,249.0
n1,n50,35.6,3.620e-34,149.0
n1,n51,53.0,3.060e-71,272.0
n1,n52,47.5,2.330e-62,243.0
n1,n53,48.7,6.540e-65,251.0
n1,n54,48.9,7.960e-63,244.0
n1,n55,47.9,8.740e-62,241.0
n1,n56,49.0,1.590e-63,247.0
n1,n57,47.9,5.120e-62,242.0
n1,n58,42.9,7.060e-60,235.0
n1,n59,49.7,1.050e-71,274.0
n1,n6,48.4,3.380e-62,242.0
n1,n60,53.2,3.610e-72,275.0
n1,n61,50.6,4.880e-69,265.0
n1,n62,50.2,6.610e-65,251.0
n1,n64,48.5,5.660e-61,238.0
n1,n66,49.5,5.040e-74,282.0
n1,n67,38.8,4.310e-41,172.0
n1,n68,50.0,8.310e-77,291.0
n1,n69,48.4,2.670e-64,249.0
n1,n7,51.2,2.670e-75,286.0
n1,n70,51.0,3.860e-74,282.0
n1,n71,51.4,1.420e-76,290.0
n1,n72,44.5,1.570e-59,233.0
n1,n73,42.4,1.570e-59,233.0
n1,n74,52.0,4.050e-68,262.0
n1,n75,61.5,3.450e-96,355.0
n1,n76,48.2,5.210e-71,272.0
n1,n77,49.7,1.470e-73,280.0
n1,n78,44.9,1.290e-61,240.0
n1,n79,34.5,4.210e-33,146.0
n1,n8,50.6,2.960e-65,252.0
n1,n80,49.7,5.400e-68,262.0
n1,n81,50.5,7.050e-68,261.0
n1,n82,36.9,1.870e-36,157.0
n1,n83,40.6,4.300e-49,199.0
n1,n86,50.7,1.990e-72,276.0
n1,n87,42.8,5.330e-60,235.0
n1,n88,45.3,2.070e-56,223.0
n1,n89,53.2,1.370e-71,273.0
n1,n9,51.9,2.270e-66,256.0
n10,n11,98.5,9.930e-146,520.0
n10,n12,91.6,4.180e-136,488.0
n10,n13,96.2,1.030e-142,510.0
n10,n14,91.6,1.590e-135,486.0
n10,n15,98.5,3.770e-145,518.0
n10,n16,73.7,6.080e-111,404.0
n10,n18,51.3,1.050e-70,270.0
n10,n19,46.1,2.340e-62,243.0
n10,n2,63.6,2.380e-91,339.0
n10,n20,48.7,5.770e-61,238.0
n10,n21,52.0,9.520e-64,247.0
n10,n22,81.6,9.050e-123,443.0
n10,n23,80.8,6.480e-121,437.0
n10,n24,63.7,4.380e-93,345.0
n10,n25,91.2,4.620e-135,484.0
n10,n26,97.7,4.160e-144,514.0
n10,n27,81.6,9.050e-123,443.0
n10,n28,55.1,1.420e-75,287.0
n10,n29,93.1,5.840e-138,494.0
n10,n30,98.5,9.930e-146,520.0
n10,n31,91.6,4.180e-136,488.0
n10,n32,49.8,2.190e-68,263.0
n10,n33,59.7,1.910e-80,303.0
n10,n34,59.7,7.250e-80,301.0
n10,n36,48.5,3.620e-63,245.0
n10,n4,49.1,5.050e-65,252.0
n10,n40,30.0,6.040e-18,95.0
n10,n41,48.0,7.540e-61,238.0
n10,n42,51.1,1.620e-71,273.0
n10,n43,43.8,8.650e-49,198.0
