node_id,sequence_md5,accession,accession_all,component_id,size_rank,sequence_length,enzyme_name,organism,v1_component,cath
m0050,1825599eda3fb3a78763126d00597799,5ZOA_A,5ZOA_A,C001,1,261,TfH,Thermobifida fusca,,
m0153,553239996e512830a1db6b67fb4aa1c7,7CUV_A,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,C001,1,259,PHL-7; PES-H1; PES-H2,Thermoanaerobacter sp.,1,3.40.50.1820
m0168,5e9df7f0c5b6442f1239982caf867978,7NEI,7NEI,C001,1,267,PHL-7,Compost metagenome,,
m0079,2cd5f487f5114193eaf1c99806f6ef63,A0A031MKR8,A0A031MKR8;WP_036989706.1,C001,1,302,PsCut,Pseudomonas saudimassiliensis,1,3.40.50.1820
m0117,42aa40364f5684f1f255819ab69b7b92,A0A078MGG8,A0A078MGG8;WP_044499735.1,C001,1,302,PmC,Pseudomonas  mendocina ATCC 53552,1,3.40.50.1820
m0281,9b361d2c16557499693210de2a8a01b4,A0A0G3BI90_9BURK,A0A0G3BI90_9BURK;WP_047194864.1,C001,1,298,PET6; BSQ33_03270,Vibrio gazogenes,1,3.40.50.1820
m0407,df38ea060b5dad0dfc9a593e4dce333c,A0A0K8P6T7,A0A0K8P6T7;WP_054022242.1,C001,1,290,PETase,Ideonella sakaiensis 201-F6,1,3.40.50.1820
m0171,604018ae8af9058028c669f8ed8de020,A0A1F4JXW8,A0A1F4JXW8;OGB27210,C001,1,426,ApLip-Ec,Aquabacterium parvum,1,3.40.50.1820
m0331,b96e3838fee9bee7a9d7d7d57eda9386,A0A1H6AD45,A0A1H6AD45;WP_088276085.1,C001,1,304,PpelaLip,Pseudomonas pelagia DSM 25163,1,3.40.50.1820
m0033,10e219e71a25db666947cbd3afc63123,A0A1Z2SIQ1_VIBGA,A0A1Z2SIQ1_VIBGA;ASA57064.1,C001,1,298,PET5; LipA,Oleispira antarctica RB-8,1,3.40.50.1820
m0118,4307017d78508de526bb8422be94a4c4,A4W93_05950,A4W93_05950;WP_085749752.1,C001,1,292,EstB,Pseudomonas sp. strain 9.2,1,3.40.50.1820
m0382,d357a79e14b6376e4d3557864252bfe8,AAZ54920.1,AAZ54920.1;AET05798.1;JN129499.1;Q47RJ7_THEFY,C001,1,319,Cut1,Thermobifida fusca NRRL B-8184,1,3.40.50.1820
