node_id,pazy_accession,v1_component,cath,comp_allpairs_u11_ruleA,comp_local_u11_ruleC,comp_local_u12_ruleC,seqlen,is_redundant,md5_group
n1,A0A0K8P6T7,1,3.40.50.1820,1,1,1,290,0,176
n2,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,1,3.40.50.1820,1,1,1,259,0,67
n3,YNPsite05_CeleraDRAFT_401410,1,3.40.50.1820,1,1,2,380,0,110
n4,A4W93_05950,1,3.40.50.1820,1,1,1,292,0,54
n5,ACY95991.1,1,3.40.50.1820,1,1,1,292,0,108
n6,D1A9G5,1,3.40.50.1820,1,1,1,289,0,139
n7,ADK73612,1,3.40.50.1820,1,1,1,302,0,151
n8,ADM47605.1,1,3.40.50.1820,1,1,1,262,0,15
n9,E8U721,1,3.40.50.1820,1,1,1,315,0,149
n10,E9LVH7,1,3.40.50.1820,1,1,1,262,0,72
n11,ADV92526.1,1,3.40.50.1820,1,1,1,262,1,185
n12,ADV92571,1,3.40.50.1820,1,1,1,262,1,55
n13,E9LVI0_THEFU,1,3.40.50.1820,1,1,1,262,0,90
n14,JN129499.1,1,3.40.50.1820,1,1,1,319,1,164
n15,JN129500.1,1,3.40.50.1820,1,1,1,301,1,116
n16,H6WX58,1,3.40.50.1820,1,1,1,262,0,92
n17,AGT96415,1,3.40.50.1820,1,1,3,314,0,167
n18,A0A0G3BI90_9BURK,1,3.40.50.1820,1,1,1,298,0,113
n19,KU695573,1,3.40.50.1820,1,1,1,307,0,88
n20,A0A1Z2SIQ1_VIBGA,1,3.40.50.1820,1,1,1,298,0,16
n21,BAB86909,1,3.40.50.1820,1,1,1,304,1,125
n22,BAI99230,1,3.40.50.1820,1,1,1,296,1,38
n23,F7IX06,1,3.40.50.1820,1,1,1,300,0,154
n24,W0TJ64,1,3.40.50.1820,1,1,1,304,0,123
n25,AJ810119,1,3.40.50.1820,1,1,1,301,0,156
n26,E5BBQ3_THEFU,1,3.40.50.1820,1,1,1,261,0,161
n27,D4Q9N1,1,3.40.50.1820,1,1,1,296,1,38
n28,DAC80635,1,3.40.50.1820,1,1,1,284,0,183
n29,E5BBQ2,1,3.40.50.1820,1,1,1,319,0,62
n30,E9LVH8,1,3.40.50.1820,1,1,1,262,1,185
n31,E9LVH9,1,3.40.50.1820,1,1,1,262,1,55
n32,EGD44994.1,1,3.40.50.1820,1,1,1,294,0,79
n33,G9BY57,1,3.40.50.1820,1,1,1,293,0,28
n34,GBD22443,1,3.40.50.1820,1,1,1,293,0,63
n35,YNPsite06_CeleraDRAFT_160970,1,3.40.50.1820,1,1,2,456,0,205
n36,R4YKL9_OLEAN,1,3.40.50.1820,1,1,1,310,0,178
n37,JzSedJan11_10004914,1,3.40.50.1820,1,1,2,263,0,150
n38,YNPsite06_CeleraDRAFT_367810,1,3.40.50.1820,1,1,1,495,0,87
n39,JGI20132J14458_10325381,1,3.40.50.1820,1,1,2,257,0,48
n40,MEC8523093.1,1,3.40.50.1820,1,1,1,292,0,137
n41,ODU60407.1,1,3.40.50.1820,1,1,1,305,0,26
n42,A0A1F4JXW8,1,3.40.50.1820,1,1,1,426,0,75
n43,P19833,1,3.40.50.1820,1,1,1,319,0,85
n44,Q47RJ6_THEFY,1,3.40.50.1820,1,1,1,301,1,116
n45,Q47RJ7_THEFY,1,3.40.50.1820,1,1,1,319,1,164
n46,Q6A0I4,1,3.40.50.1820,1,1,1,301,1,116
n47,Q8RR62,1,3.40.50.1820,1,1,1,304,1,125
n48,RGD93181,1,3.40.50.1820,1,1,2,270,0,141
n49,RLI42440.1,1,3.40.50.1820,1,1,2,262,0,89
n50,RLT92980.1,1,3.40.50.1820,1,1,1,269,0,21
n51,RLU00646.1,1,3.40.50.1820,1,1,1,312,0,23
n52,SAY37579.1,1,3.40.50.1820,1,1,1,260,0,1
n53,SAY37582.1,1,3.40.50.1820,1,1,1,260,0,107
n54,SAY37583.1,1,3.40.50.1820,1,1,1,259,0,186
n55,SAY37584.1,1,3.40.50.1820,1,1,1,257,0,127
n56,SAY37587.1,1,3.40.50.1820,1,1,1,257,0,10
n57,SAY37589.1,1,3.40.50.1820,1,1,1,257,0,197
n58,SHM40309.1,1,3.40.50.1820,1,1,1,299,0,20
n59,SUD16364.1,1,3.40.50.1820,1,1,1,298,0,86
n60,OK558824,1,3.40.50.1820,1,1,1,316,0,203
n61,OK558825,1,3.40.50.1820,1,1,1,307,0,24
n62,WAU86704.1,1,3.40.50.1820,1,1,1,263,0,163
n63,-,1,3.40.50.1820,1,1,1,282,0,99
n64,WOR09923,1,3.40.50.1820,1,1,1,257,0,126
n65,WP_013858543.1,1,3.40.50.1820,1,1,4,254,0,118
n66,A0A031MKR8,1,3.40.50.1820,1,1,1,302,0,39
n67,WP_039353427,1,3.40.50.1820,1,1,1,366,0,187
n68,A0A078MGG8,1,3.40.50.1820,1,1,1,302,0,53
n69,WP_058088494.1,1,3.40.50.1820,1,1,1,279,0,168
n70,WP_062195544.1,1,3.40.50.1820,1,1,1,292,0,18
n71,WP_068824797.1,1,3.40.50.1820,1,1,1,297,0,44
n72,WP_078759821.1,1,3.40.50.1820,1,1,1,311,0,192
n73,WP_082414832.1,1,3.40.50.1820,1,1,1,302,0,83
n74,WP_083947829.1,1,3.40.50.1820,1,1,1,284,0,29
n75,WP_085749238.1,1,3.40.50.1820,1,1,1,279,0,42
n76,A0A1H6AD45,1,3.40.50.1820,1,1,1,304,0,136
n77,WP_090538641.1,1,3.40.50.1820,1,1,1,304,0,174
n78,WP_093412886.1,1,3.40.50.1820,1,1,1,293,0,65
n79,WP_101893509.1,1,3.40.50.1820,1,1,1,283,0,193
n80,WP_104613137.1,1,3.40.50.1820,1,1,1,301,0,179
n81,WP_107095481.1,1,3.40.50.1820,1,1,1,310,0,51
n82,WP_111881932,1,3.40.50.1820,1,1,1,364,0,130
n83,WP_117215036.1,1,3.40.50.1820,1,1,1,434,0,201
n84,WP_118011433,1,3.40.50.1820,1,1,2,259,0,162
n85,YNP18_240440,1,3.40.50.1820,1,1,2,258,0,95
n86,-,1,3.40.50.1820,1,1,1,273,0,152
n87,XCO66867,1,3.40.50.1820,1,1,1,286,0,32
n88,XDS72785.1,1,3.40.50.1820,1,1,1,282,0,40
n89,ACC95208.1,1,3.40.50.1820,1,1,1,308,0,191
n90,N20M5AZM016,20,3.40.50.1820,2,1,5,258,0,202
n91,A0A291HVH1,21,3.40.50.1820,3,2,6,385,0,8
n92,P00780,21,3.40.50.1820,3,2,6,379,0,145
n93,P06873,21,3.40.50.1820,3,2,6,384,0,49
n94,P29599,21,3.40.50.1820,3,2,6,269,0,148
n95,P29600,21,3.40.50.1820,3,2,6,269,0,66
n96,GU116480,22,3.40.50.1820,4,3,7,283,0,81
n97,CEE00769.1,22,3.40.50.1820,4,3,7,266,0,36
n98,"Chen, 2024",22,3.40.50.1820,4,3,7,276,0,103
n99,ADH43200.1,23,3.40.50.1820,5,4,8,489,0,134
n100,AKJ87216,23,3.40.50.1820,5,4,8,322,0,175
n101,ALS54749.1,23,3.40.50.1820,5,4,8,520,0,173
n102,BAA76305.1,23,3.40.50.1820,5,4,8,548,0,181
n103,YNPsite06_CeleraDRAFT_263770,23,3.40.50.1820,5,4,8,613,0,31
n104,P20261,23,3.40.50.1820,5,4,8,549,0,194
n105,A0A2I2K6T5,23,3.40.50.1820,5,4,9,295,0,135
n106,UNZ81746,23,3.40.50.1820,5,4,8,314,0,68
n107,UNZ81748,23,3.40.50.1820,5,4,8,318,0,78
n108,WID88783.1,23,3.40.50.1820,5,4,8,462,0,198
n109,YNP6_02150,23,3.40.50.1820,5,4,8,565,0,37
n110,L0EF70,23,3.40.50.1820,5,4,8,508,0,204
n111,WP_041847557.1,23,3.40.50.1820,5,4,8,491,0,106
n112,AKJ87264,24,3.40.50.1820,6,5,10,421,0,98
n113,AKZ20828.1,25,3.40.50.1820,7,6,11,452,0,195
n114,AKZ20829.1,25,3.40.50.1820,7,6,11,400,0,122
n115,AB302136; A4UZ10,25,3.40.50.1820,7,6,11,431,0,111
n116,A4UZ11,25,3.40.50.1820,7,6,11,419,0,140
n117,EIW29778.1,25,3.40.50.1820,7,6,11,402,0,121
n118,WP_108898452.1,25,3.40.50.1820,7,6,11,417,0,96
n119,APJ12152.1,26,3.40.50.1820,8,7,12,215,0,4
n120,Q83VDO,26,3.40.50.1820,8,7,12,201,0,158
n121,A0A1E1FNX8,26,3.40.50.1820,8,7,12,215,0,17
n122,B2NHN2,27,3.40.50.1820,9,8,13,339,0,165
n123,A0A080NJE8,28,3.40.50.1820,10,9,14,734,0,56
n124,Q0K9H3,28,3.40.50.1820,10,9,14,718,0,200
n125,O82950,29,3.40.50.1820,11,10,15,576,0,112
n126,P94146,30,3.40.50.1820,12,11,16,635,0,77
n127,Q51871,30,3.40.50.1820,12,11,16,433,0,74
n128,Q0JYJ1,31,3.40.50.1820,13,12,17,365,0,155
n129,Q0JZG9,31,3.40.50.1820,13,12,17,362,0,58
n130,Q0VLQ1,32,3.40.50.1820,14,13,18,305,0,129
n131,Q0KBZ6,33,3.40.50.1820,15,14,19,293,0,22
n132,Q939Q9,34,3.40.50.1820,16,15,20,380,0,7
n133,GxsBSedJan11_10251181,35,3.40.50.1820,1,1,21,335,0,115
n134,WP_010659881.1,35,3.40.50.1820,1,1,21,352,0,70
n135,WP_034767800.1,36,3.40.50.1820,17,16,22,240,0,34
n136,WP_041846030.1,37,3.40.50.1820,18,17,23,256,0,184
n137,WP_085690612,38,3.40.50.1820,19,18,24,218,0,61
n138,WP_108898647.1,39,3.40.50.1820,20,19,25,249,0,30
n139,A0A075B5G4,2,3.40.50.1820,21,20,26,194,0,177
n140,A0A060N399,2,3.40.50.1820,21,20,26,227,0,41
n141,A0A060N5H2,2,3.40.50.1820,21,20,26,226,0,188
n142,A0A0P0ZE81,2,3.40.50.1820,21,20,26,239,0,64
n143,AAA33335.1,2,3.40.50.1820,21,20,26,230,0,166
n144,AB102945.1; Q874E,2,3.40.50.1820,21,20,26,239,0,160
n145,AB739034,2,3.40.50.1820,21,20,26,224,0,46
n146,A0A7I8E2Z4,2,3.40.50.1820,21,20,26,216,1,33
n147,ESK97883,2,3.40.50.1820,21,20,26,203,0,131
n148,X0BTD8,2,3.40.50.1820,21,20,26,230,0,117
n149,KAH7127633,2,3.40.50.1820,21,20,26,237,0,2
n150,P52956,2,3.40.50.1820,21,20,26,213,0,199
n151,Q99174,2,3.40.50.1820,21,20,26,230,0,172
n152,QEX94755.1,2,3.40.50.1820,21,20,26,186,0,120
n153,UNZ22463.1,2,3.40.50.1820,21,20,26,216,1,33
n154,-,2,3.40.50.1820,21,20,26,221,0,13
n155,-,2,3.40.50.1820,21,20,26,222,0,101
n156,Q0K2G9,3,3.40.50.1820,22,21,27,407,0,43
n157,Q0K4D5,3,3.40.50.1820,22,21,27,412,0,196
n158,Q0K7T2,3,3.40.50.1820,22,21,27,404,0,105
n159,Q0KCI0,3,3.40.50.1820,22,21,27,419,0,35
n160,Q7WXF6,3,3.40.50.1820,23,21,27,245,0,52
n161,AAD22743.1,4,3.40.50.1820,24,22,28,617,0,171
n162,AAF01331.1,4,3.40.50.1820,24,22,28,567,0,142
n163,AAF66684.1,4,3.40.50.1820,24,22,28,451,0,73
n164,AAY92471.1,4,3.40.50.1820,24,22,28,617,0,12
n165,AAY92474.2,4,3.40.50.1820,24,22,28,561,0,157
