node_id	sequence_md5	identifier	identifier_all	accession	accession_all	enzyme_name	enzyme_name_all	organism	pazy_id	pazy_id_all	sequence_length	n_source_rows	v1_component	cath
m0001	004af9e9b29cb7a99eee6d96edfaabcd	445	445	ATH80290	ATH80290	HP	HP	Ectopseudomonas mendocina	490	490	280	1		
m0002	00855c73c087597a6c69fa2b114d731e	143	143	SAY37579.1	SAY37579.1	PHL-1	PHL-1	compost metagenome	172	172	260	1	1	3.40.50.1820
m0003	009e600d3a7df316a22764026a76e2bc	202	202	WP_142197250.1	WP_142197250.1	ScPETase	ScPETase	Streptomyces calvus	242	242	300	1		
m0004	010991495537828f0796c93512058d2e	413	413	MGYP000321434903	MGYP000321434903	TEP037	TEP037	Actinomycetota	456	456	259	1		
m0005	01d9529bef2a8dc5220ebb00fe475a02	443	443			JW45_1534	JW45_1534		488	488	417	1		
m0006	02048bc3dc3b8c853e51fcc55038f6ac	193	193	KAH7127633;KAH7127633.1	KAH7127633;KAH7127633.1	DmC	DmC	Dactylonectria macrodidyma	231	231	237	1	2	3.40.50.1820
m0007	024678fb7e5f5a204647fd2d1e393aab	458	458	Q3L8N0.2;AAR25849.1	Q3L8N0.2;AAR25849.1	LCP_STRK3	LCP_STRK3	Streptomyces sp. K30	123.0	123.0	407	1	16	NA
m0008	04eb6f62384740641a457083240d65be	247	247	WP_137976057.1	WP_137976057.1	1821	1821	Streptomyces violaceusniger	288	288	378	1		
m0009	0600d8fd8a62760bde8393fb0fde0e0d	267	267	WP_091283529.1	WP_091283529.1	1591	1591	Micromonospora haikouensis	308	308	463	1		
m0010	067e281972e92f24fb345ef6c8870caa	196	196	APJ12152;APJ12152.1	APJ12152;APJ12152.1	LipMRD9	LipMRD9	Bacillus safensis	235	235	215	1	26	3.40.50.1820
m0011	06838ea54893acb0dae64a94f5fe912a	184	184			ReU	ReU		222	222	471	1		
m0012	06d89e9f595b7abc6f662a4ea5fc3f77	133	133	OP972510;WBR49957.1	OP972510;WBR49957.1	UMG-SP-2	UMG-SP-2	Environmental sample;Metagenome	156	156	439	1	10	3.90.1300.10
m0013	06ea0302cc54279d54aebaa45774cfe7	315	315	A0A3D1YDR8	A0A3D1YDR8	Nyl37	Nyl37	Dehalococcoidia bacterium	356	356	311	1		
m0014	073907a632be32c5b92c8381c4de0c90	104	104	WP_085748997.1;BAS44780.1	WP_085748997.1;BAS44780.1	LatA	LatA	Piscinibacter gummiphilus	126	126	679	1	15	NA
m0015	073f8bc76f09e2183891c86f93e05b7d	419	419	MBO9569276.1	MBO9569276.1	TEP091	TEP091	Cellulomonas iranensis	462	462	284	1		
m0016	07624194bbcd6bf29fe626de86e9ca46	425	425	WP_150070118.1	WP_150070118.1	TEP105	TEP105	Saccharopolyspora hirsuta	468	468	295	1		
m0017	085add734f10d1917f9638347ab618d2	93	93	WP_132259156.1;Q939Q9	WP_132259156.1;Q939Q9	PhaZ7	PhaZ7	Paucimonas lemoignei	110	110	380	1	34	3.40.50.1820
m0018	0a552022c4776bbf93ebe23164db0cd0	394	394	MBW4703769.1	MBW4703769.1	ESM101	ESM101	Micromonospora sp. RL09-050-HVF-A	436	436	474	1		
m0019	0ac767e72406f2fc0cf50fd9008e6f16	63	63	ATG80622.1;A0A291HVH1	ATG80622.1;A0A291HVH1	LP175	LP175	Laceyella sacchari	81	81	385	1	21	3.40.50.1820
m0020	0b490a6d93d67b0ebb2d6cd3d80f9d9a	450	450	WKW63607.1	WKW63607.1	PET93	PET93	Maribacter dokdonensis	495	495	434	1		
m0021	0bed3021f541af53d7f9285ae8d85094	404	404	WP_144022925.1	WP_144022925.1	ESM160	ESM160	Asanoa hainanensis	447	447	296	1		
m0022	0c554c0dd255de614d248db3118d89da	137	137	AAK28498.1	AAK28498.1	AmdA	AmdA	Agrobacterium tumefaciens	162	162	517	1	10	3.90.1300.10
m0023	0c75d9f81ae52914a609ec24d4c68ea2	146	146	SAY37587;SAY37587.1	SAY37587;SAY37587.1	PHL-5	PHL-5	Compost metagenome	175	175	257	1	1	3.40.50.1820
m0024	0ccba4d53ac83e5437ecd1027cfe4ab8	321	321	TAL40028	TAL40028	Nyl50	Nyl50	Alphaproteobacteria bacterium	362	362	305	1		
m0025	0ce515d8f0c2a6b72722a127e726b8d7	72	72	BAF57212.1	BAF57212.1	PlaM7	PlaM7	PLA disk compost metagenome	90	90	283	1	5	3.40.50.1820
m0026	0d1c7296209804664d2da95c23eea089	211	211	P08684.4	P08684.4	CYP450	CYP450	Homo sapiens	252	252	503	1		
m0027	0d26a77d2ffda03e4582e295927066c6	42	42	WP_011061486.1;AAY92471.1	WP_011061486.1;AAY92471.1	PueA	PueA	Pseudomonas protegens	50	50	617	1	4	3.40.50.1820
m0028	0d51bfebc665db66f2d9c28959b141d3	236	236	WP_130464304.1	WP_130464304.1	1538	1538	Plantactinospora sp. B6F1	277	277	472	1		
m0029	0dd151000d71720a7a8996bf7fb3acbf	50	50	P80008.1	P80008.1	Arylacylamidase	Arylacylamidase	Nocardia globerula	64	64	28	1		
m0030	0e841a3c1f59a0cfd7b1ac47b6e7b1bd	191	191	WKA69984.1	WKA69984.1	CpCut1	CpCut1	Cladosporium sp.	229	229	221	1	2	3.40.50.1820
m0031	0f43f7fe3f0c0042197df2508ee850e3	265	265	WP_086784246.1	WP_086784246.1	1654	1654	Crossiella equi	306	306	418	1		
m0032	0ff17ebdb173018728d2219bcd5f4e38	92	92	AAA21974.1	AAA21974.1	PhaZAfa	PhaZAfa	Alcaligenes faecalis	109	109	488	1		
m0033	1090fc7df5cb6e4866fd00779c1d8e28	462	462	ANG60415;ANG60415.1	ANG60415;ANG60415.1	GatA;Urethanase	GatA;Urethanase	Lysinibacillus fusiformis	234;158	234;158	472	1	10	3.90.1300.10
m0034	10d87dbad4c4c7bfd7d5c331cef5b9ce	130	130	ADM47605.1	ADM47605.1	702	702	Thermobifida fusca	153	153	262	1	1	3.40.50.1820
m0035	10e219e71a25db666947cbd3afc63123	3	3	ASA57064.1	ASA57064.1	PET6	PET6	Vibrio gazogenes	3	3	298	1	1	3.40.50.1820
m0036	10f99a34d701d302d6cd789182b6508e	330	330	A0A7V9NEU5	A0A7V9NEU5	Nyl71	Nyl71	Acidobacteriota bacterium	371	371	359	1		
m0037	11448cbf80389c1a758d8dfcba90907c	101	101	BAV72205.1	BAV72205.1	PBATHBp	PBATHBp	Bacillus pumilus	122	122	215	1	26	3.40.50.1820
m0038	1197ee1b96f74dd16a31dad1ba334c46	125	125	WP_062195544.1	WP_062195544.1	CtPl	CtPl	Caldimonas taiwanensis	148	148	292	1	1	3.40.50.1820
m0039	12efbdad63de5275909365067113db41	157	157	UNZ81747.1	UNZ81747.1	IS11	IS11	Dehalococcoidia bacterium	187	187	455	1	43	3.40.710.10
m0040	1361228bf3f1c19ea8214555076414a7	177	177	SHM40309;SHM40309.1	SHM40309;SHM40309.1	CaPETase	CaPETase	Cryptosporangium aurantiacum	215	215	299	1	1	3.40.50.1820
m0041	149e83bf7e1c0307af6bc10d0662ef3b	167	167			GlacPETase	GlacPETase		202	202	282	1		
m0042	14a5c3e1584a0ee2518f18810a7fed98	122	122	RLT92980.1	RLT92980.1	409	409	Ketobacter sp.	145	145	269	1	1	3.40.50.1820
m0043	14c85d0adef7eb6df5a6ed35c4a73ba8	473	473	UFE15763.1	UFE15763.1	lcp2	lcp2				402	1		
m0044	15317ec096461afae2a6111e17b27633	90	90	WP_011615004.1;Q4W8C9	WP_011615004.1;Q4W8C9	PhaY2	PhaY2	Cupriavidus necator	108	108	293	1	33	3.40.50.1820
m0045	1545cf731ea10ee62b256807199e37d8	118	118	RLU00646.1	RLU00646.1	403	403	Ketobacter sp.	141	141	312	1	1	3.40.50.1820
m0046	15938ddd57d7448aa110a9139193c91b	5	5	UUT36764;UUT36764.1	UUT36764;UUT36764.1	PLE628	PLE628	Marinobacter sp.	5	5	307	1	1	3.40.50.1820
m0047	161e4dc2c4ef1e36fe625c65439a815b	239	239	CCH19814.1	CCH19814.1	1617	1617	Micromonospora lupini	280	280	465	1		
m0048	167f1e4e4481dfb27bd087d9b3902929	475	475	Q75UA4	Q75UA4	PLAase	PLAase	Amycolatopsis (Nocardia) sp. strain K104-1			238	1	11	2.40.10.10
m0049	174ba911d73b1edc801c52651ec17efd	120	120	ODU60407.1	ODU60407.1	406	406	Comamonadaceae bacterium	143	143	305	1	1	3.40.50.1820
m0050	17cf0142a842915adf56bd16d1f70336	415	415	WP_260709492.1	WP_260709492.1	TEP054	TEP054	Dactylosporangium aurantiacum	458	458	437	1		
m0051	1801d10ed570ce70933bdbe9f25a34b6	391	391	WP_239135698.1	WP_239135698.1	ESM093	ESM093	Dactylosporangium siamense	433	433	279	1		
m0052	18de7a550936804f8be57fdf26a8e0e3	55	55	ABY67151.1	ABY67151.1	PLAase III	PLAase III	Amycolatopsis orientalis	70	70	176	1		
m0053	18f1178aa194bcd44f9de9bf8b6ef166	223	223	MPZ00478.1	MPZ00478.1	APET-25	APET-25	Actinophytocola sp.	264	264	285	1		
m0054	198d14bb37149debc526a3f90e777956	159	159	WP_006368739.1;H6N162	WP_006368739.1;H6N162	Lcp1VH2	Lcp1VH2	Gordonia polyisoprenivorans	191	191	407	1	16	NA
m0055	1b0d2c147b96bad033703fb124a50764	17	17	AEV21261.1;G9BY57.1	AEV21261.1;G9BY57.1	LCC	LCC		16	16	293	1	1	3.40.50.1820
m0056	1dac4ce79e11274c7297487b461232e1	452	452	NP_390179.1	NP_390179.1	BsMPPE	BsMPPE	Bacillus subtilis	497	497	259	1		
m0057	1e1f498fae0e6d56fb87a52a1fef96ff	131	131	WP_083947829;WP_083947829.1	WP_083947829;WP_083947829.1	711	711	Thermobifida cellulosilytica	154	154	284	1	1	3.40.50.1820
m0058	1fd045e8b65176376e182facc216b772	308	308	OWT56952	OWT56952	Nyl16	Nyl16	Candidimonas nitroreducens	349	349	335	1		
m0059	2053c1f056678cc0df8796d8990fb355	379	379	WP_111214096.1	WP_111214096.1	ESM059	ESM059	Micromonospora craterilacus	420	420	462	1		
m0060	20f7abda67d907b1e03456185b9a7df8	286	286	SPF04022.1	SPF04022.1	1392	1392	Streptomyces sp. MA5143a	327	327	287	1		
m0061	213f66a13d29726369cc62acb0ec8c5b	320	320	WP_131292212.1	WP_131292212.1	Nyl47	Nyl47	Kribbella sindirgiensis	361	361	287	1		
m0062	21529d199ac34be22c7967f66af4194b	420	420	GIG90696.1	GIG90696.1	TEP092	TEP092	Plantactinospora endophytica	463	463	472	1		
m0063	21b9ee3c2d064bd97bf205292edd4e77	400	400	WP_239125827.1	WP_239125827.1	ESM144	ESM144	Catellatospora bangladeshensis	443	443	288	1		
m0064	228bd6d0bd6e93a1b69422e21d51b913	194	194			RtC	RtC		232	232	231	1		
m0065	228edba5269227f472a446139a646369	176	176	WP_108898647;WP_108898647.1	WP_108898647;WP_108898647.1	Ces39_5	Ces39_5	Caldibacillus thermoamylovorans	214	214	249	1	39	3.40.50.1820
m0066	2510ccd8faea4efb0652cab75394adfa	245	245	WP_144126986.1	WP_144126986.1	1507	1507	Catellatospora sichuanensis	286	286	275	1		
m0067	25535d4836a01c7d3cc4bbeba3c18437	477	477	XCO66867.1	XCO66867.1	PurH	PurH	Aeromicrobium sp.			286	1	1	3.40.50.1820
m0068	255e2b78ca9f54fe397d3917c1c6cae9	456	456	BCL64964.1;UNZ22463.1;UNZ22463.1;BCL64964.1	BCL64964.1;UNZ22463.1;UNZ22463.1;BCL64964.1	PBATHRF;RCut	PBATHRF;RCut	Rhodococcoides fascians;Rhodococcus sp. (in: high G+C Gram-positive bacteria)	116;170	116;170	216	1	2	3.40.50.1820
m0069	263a6865371a5e0924e53280192fa035	175	175	WP_034767800;WP_034767800.1	WP_034767800;WP_034767800.1	Ces19_14	Ces19_14	Caldibacillus thermoamylovorans	213	213	240	1	36	3.40.50.1820
m0070	263b6d9cf1f73ddee6c8d0410fdaf229	82	82	WP_011614907.1;Q0KCI0	WP_011614907.1;Q0KCI0	PhaZ1	PhaZ1	Cupriavidus necator	100	100	419	1	3	3.40.50.1820
m0071	27b40925ec9dab01a97010da9157f232	332	332	MSS57807	MSS57807	Nyl73	Nyl73	Stecheria intestinalis	373	373	319	1		
m0072	287dd238ca5f47fa0362cba5d21edbc6	214	214			GatA250	GatA250		255	255	491	1		
m0073	2907a9f9131390b753aa9953740df710	442	442			JW44_1708	JW44_1708		487	487	204	1		
