enzyme_name,accession (green = manually added),direct_or_indirect_activity,activity_comments,pazy_id,doi,patent,organism,blast_results,aa_sequence_comments,"aa_sequence (green = take from accession, red = no sequence, yellow = fragment sequence) "
BaCut1,XAQ58225,Dennis,,233,10.1016/j.jhazmat.2024.134493,,,,,
ScPETase,WP_142197250.1,Dennis,,242,10.1016/j.jhazmat.2024.134532,,,,,
PpPETase,WP_220815207,Dennis,,241,10.1016/j.jhazmat.2024.134532,,,,,
BsMPPE,NP_390179.1,Dennis,,497,10.1016/j.jhazmat.2025.138330,,,,,
RCut,UNZ22463.1,Dennis,,170,10.1016/j.pep.2022.106077,,,,,
FSC,Q99174,Dennis,,199,10.1016/j.polymdegradstab.2015.01.025; 10.1016/j.polymdegradstab.2016.10.012,,,,,
PBATHBp,BAV72205.1,Dennis,,122,10.1016/j.polymdegradstab.2017.01.006,,,,,
PBATHRF,BCL64964.1,Dennis,,116,10.1016/j.polymdegradstab.2021.109481,,,,,
PA4-degrading enzyme,BEG79545,Dennis,,249,10.1016/j.polymdegradstab.2023.110446,,,,,
PhaZAfa,AAB40611.1,Dennis,,109,10.1016/S0141-8130(99)00046-X,,,,,
PhaZst,BAA32541.1,Dennis,,112,10.1016/S0141-8130(99)00046-X; 10.1128/aem.65.1.189-197.1999,,,,,
EsterasePulA,AAF66684.1,Dennis,,49,10.1016/S0964-8305(98)00051-1; 10.1016/S0964-8305(98)00068-7,,,,,
LipasePueA,AAD22743.1,Dennis,,47,10.1016/S0964-8305(98)00057-2; 10.1016/S0964-8305(98)00067-5; 10.1111/j.1574-6968.2000.tb09056.x; 10.1016/S0964-8305(01)00042-7; 10.1111/j.1365-2672.2007.03447.x,,,,,
LipasePueB,AAF01331.1,Dennis,,48,10.1016/S0964-8305(98)00057-2; 10.1016/S0964-8305(98)00067-5; 10.1111/j.1574-6968.2000.tb09056.x; 10.1016/S0964-8305(01)00042-7; 10.1111/j.1365-2672.2007.03447.x,,,,,
PbsA,BAB86909,Dennis,,197,10.1016/S1389-1723(02)80022-6,,,,,
Trypsin,P00761,Dennis,,251,10.1021/acs.est.4c02132,,,,,
CYP450,P08684,Dennis,,252,10.1021/acs.est.4c02132,,,,,
Chath_Est1,ALS54749.1,Dennis,,117,10.1021/acs.est.5b04346,,,,,
PpelaLip,WP_022964382.1,Dennis,,8,10.1021/acs.est.7b00062,,,,,
GEN0105,AKJ87216,Dennis,,87,10.1021/acs.est.8b04252,,,,,
MGS0084,AKJ87250,Dennis,,85,10.1021/acs.est.8b04252,,,,,
MGS0156,AKJ87264,Dennis,,86,10.1021/acs.est.8b04252,,,,,
PHL-7,7NEI,Dennis,,37,10.1021/acscatal.2c02275; 10.1002/cssc.202101062; 10.1002/cssc.202500944; 10.1039/D4SU00722K,,,,,
