node_id,accession,pazy_id,sequence_length,outcome,component_id,merged_from,activity,n_edges_to_v1,n_edges_to_delta
m0334,1169,,276,merge,M1,1;20;35,,68,186
m0082,1228,,281,merge,M1,1;20;35,,69,183
m0106,1240,,303,merge,M1,1;20;35,,69,186
m0289,1309,,286,merge,M1,1;20;35,,69,187
m0394,1340,,298,merge,M1,1;20;35,,67,183
m0059,1392,,287,merge,M1,1;20;35,,68,183
m0279,1395,,295,merge,M1,1;20;35,,67,184
m0085,1424,,316,merge,M1,1;20;35,,68,185
m0104,1457,,302,merge,M1,1;20;35,,67,186
m0160,1463,,265,merge,M1,1;20;35,,68,184
m0378,1465,,415,merge,M1,1;20;35,,69,185
m0183,1468,,444,merge,M1,1;20;35,,69,186
m0466,1475,,375,merge,M1,1;20;35,,69,185
m0385,1477,,315,merge,M1,1;20;35,,67,185
m0375,1478,,331,merge,M1,1;20;35,,67,184
m0197,1482,,413,merge,M1,1;20;35,,68,184
m0191,1489,,447,merge,M1,1;20;35,,70,184
m0163,1491,,455,merge,M1,1;20;35,,68,184
m0401,1493,,454,merge,M1,1;20;35,,68,185
m0427,1496,,304,merge,M1,1;20;35,,68,183
m0335,1506,,436,merge,M1,1;20;35,,69,185
m0065,1507,,275,merge,M1,1;20;35,,67,184
m0249,1519,,426,merge,M1,1;20;35,,69,190
m0216,1521,,443,merge,M1,1;20;35,,70,186
m0219,1522,,276,merge,M1,1;20;35,,66,184
m0353,1525,,444,merge,M1,1;20;35,,68,187
m0381,1534,,469,merge,M1,1;20;35,,68,188
m0320,1537,,425,merge,M1,1;20;35,,69,184
m0026,1538,,472,merge,M1,1;20;35,,69,188
m0109,1545,,467,merge,M1,1;20;35,,69,187
m0369,1546,,448,merge,M1,1;20;35,,67,186
m0272,1555,,348,merge,M1,1;20;35,,67,184
m0467,1571,,329,merge,M1,1;20;35,,69,187
m0280,1573,,422,merge,M1,1;20;35,,69,183
m0008,1591,,463,merge,M1,1;20;35,,69,186
m0400,1594,,463,merge,M1,1;20;35,,69,186
m0360,1603,,465,merge,M1,1;20;35,,69,187
m0389,1611,,465,merge,M1,1;20;35,,69,189
m0045,1617,,465,merge,M1,1;20;35,,69,187
m0451,1620,,461,merge,M1,1;20;35,,69,187
m0433,1621,,465,merge,M1,1;20;35,,68,188
m0250,1625,,468,merge,M1,1;20;35,,70,187
m0292,1628,,463,merge,M1,1;20;35,,69,188
m0189,1635,,487,merge,M1,1;20;35,,69,186
m0112,1637,,462,merge,M1,1;20;35,,69,189
m0245,1638,,277,merge,M1,1;20;35,,67,184
m0186,1641,,460,merge,M1,1;20;35,,69,185
m0396,1642,,465,merge,M1,1;20;35,,67,185
m0029,1654,,418,merge,M1,1;20;35,,68,184
m0325,1663,,289,merge,M1,1;20;35,,67,184
m0200,1678,,424,merge,M1,1;20;35,,69,185
m0196,169,,308,merge,M1,1;20;35,,70,185
m0239,1718,,337,merge,M1,1;20;35,,66,184
m0007,1821,,378,merge,M1,1;20;35,,66,184
m0140,1868,,436,merge,M1,1;20;35,,70,189
m0428,1876,,423,merge,M1,1;20;35,,68,182
m0223,191,,316,merge,M1,1;20;35,,72,187
m0437,247,,288,merge,M1,1;20;35,,69,185
m0283,282,,299,merge,M1,1;20;35,,67,184
m0144,385,,272,merge,M1,1;20;35,,70,187
m0120,401,,296,merge,M1,1;20;35,,69,186
m0203,407,,436,merge,M1,1;20;35,,69,185
m0162,412,,311,merge,M1,1;20;35,,57,85
m0461,414,,289,merge,M1,1;20;35,,69,185
m0379,486,,300,merge,M1,1;20;35,,70,184
m0268,554,,309,merge,M1,1;20;35,,71,184
m0348,607-Nsp,,306,merge,M1,1;20;35,,70,185
m0269,917,,297,merge,M1,1;20;35,,68,184
m0420,APET-15,,285,merge,M1,1;20;35,,66,183
m0097,APET-17,,290,merge,M1,1;20;35,,69,185
m0078,APET-19,,279,merge,M1,1;20;35,,68,185
m0188,APET-20,,293,merge,M1,1;20;35,,67,182
m0349,APET-23,,326,novel,N1,,,0,0
m0316,APET-24,,287,merge,M1,1;20;35,,3,71
m0052,APET-25,,285,merge,M1,1;20;35,,5,23
m0455,APET-26,,268,merge,M1,1;20;35,,1,39
m0411,APET-27,,288,merge,M1,1;20;35,,2,15
m0075,APET-28,,275,merge,M1,1;20;35,,4,45
m0328,APET-29,,305,merge,M1,1;20;35,,55,113
m0414,APET-32,,292,merge,M1,1;20;35,,2,2
m0263,APET-5,,298,merge,M1,1;20;35,,3,49
m0027,Arylacylamidase,,28,join,10,,,2,1
m0055,BsMPPE,,259,novel,N2,,,0,0
m0311,CRL,,538,join,23,,,6,0
m0024,CYP450,,503,novel,N3,,,0,0
m0035,Chath_Est1,,528,join,23,,,5,0
m0073,DIEGO,,293,merge,M1,1;20;35,,69,186
m0136,DP003,,319,merge,M1,1;20;35,,67,185
m0098,DP006,,294,merge,M1,1;20;35,,68,185
m0222,DP007,,297,merge,M1,1;20;35,,69,187
m0266,DP008,,297,merge,M1,1;20;35,,67,184
m0230,DP016,,310,merge,M1,1;20;35,,67,184
m0102,DP017,,283,merge,M1,1;20;35,,68,184
m0211,DP021,,451,merge,M1,1;20;35,,68,187
m0138,DP038,,288,merge,M1,1;20;35,,69,185
m0086,DP039,,289,merge,M1,1;20;35,,70,185
m0114,DP040,,299,merge,M1,1;20;35,,69,184
m0157,DP043,,312,merge,M1,1;20;35,,70,187
m0425,DP054,,295,merge,M1,1;20;35,,67,183
m0158,DP056,,303,merge,M1,1;20;35,,69,186
m0267,DP057,,322,merge,M1,1;20;35,,67,184
m0130,DP059,,445,merge,M1,1;20;35,,69,189
m0240,DP061,,457,merge,M1,1;20;35,,69,186
m0212,DP068,,420,merge,M1,1;20;35,,67,188
m0225,DP078,,298,merge,M1,1;20;35,,69,184
