component_id,size_rank,canonical_label,accession,member_identifiers,n_with_v1_overlay,v1_component_spread,cath_folds
C003,22,PL14,WP_085690612,PL14,1,38,3.40.50.1820
C005,23,PL41,CAA83122.1,PL41,1,7,3.40.50.1820
C015,24,PL64,WP_011157072.1,PL64,1,6,3.40.50.1820
C016,25,PL70,AHG30919.1,PL70,1,41,3.40.710.10
C017,26,PL71,AGT96414.1,PL71,1,8,3.40.710.10
C018,27,PL72,AKJ87250,PL72,1,18,TBDY
C019,28,PL73,AKJ87264,PL73,1,24,3.40.50.1820
C021,29,PL76,BAF57212.1,PL76,1,5,3.40.50.1820
C022,30,PL77,BAF57214.1,PL77,1,40,3.40.50.1820
C026,31,PL92,WP_011615004.1,PL92,1,33,3.40.50.1820
C028,32,PL94,WP_132259156.1,PL94,1,34,3.40.50.1820
C029,33,PL96,BAA32541.1,PL96,1,29,3.40.50.1820
C032,34,PL145,WP_012433325.1,PL145,1,19,TBDZ
C034,35,PL165,UNZ81747.1,PL165,1,43,3.40.710.10
C035,36,PL177,AAA33742.1,PL177,0,,
C036,37,PL182,WP_041846030,PL182,1,37,3.40.50.1820
C037,38,PL184,WP_034767800,PL184,1,36,3.40.50.1820
C038,39,PL185,WP_108898647,PL185,1,39,3.40.50.1820
C039,40,PL219,BEG79545,PL219,0,,
C040,41,PL221,P08684.4,PL221,0,,
C041,42,PL311,BAD07474.1,PL311,0,,
C042,43,PL458,,PL458,0,,
C043,44,PL466,NP_390179.1,PL466,0,,
C044,45,PL467,NP_999368.1,PL467,0,,
C046,46,PL581,WP_044849715.1,PL581,1,12,2.40.10.10
