node_id	sequence_md5	accession	accession_all	enzyme_name	organism	sequence_length	v1_component	cath
v001	df38ea060b5dad0dfc9a593e4dce333c	A0A0K8P6T7	A0A0K8P6T7	PETase	Ideonella sakaiensis 201-F6	290	1	3.40.50.1820
v002	553239996e512830a1db6b67fb4aa1c7	7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1	7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1	PHL-7; PES-H1; PES-H2	Thermoanaerobacter sp.	259	1	3.40.50.1820
v003	9610434481ec16c88506a703693f96ab	YNPsite05_CeleraDRAFT_401410	YNPsite05_CeleraDRAFT_401410	Enzyme 202	Chloroflexus sp. MS-G	380	1	3.40.50.1820
v004	4307017d78508de526bb8422be94a4c4	A4W93_05950	A4W93_05950	EstB	Pseudomonas sp. strain 9.2	292	1	3.40.50.1820
v005	95b8c354124ce6fc0e73869c1285b609	ACY95991.1	ACY95991.1	Tcur0390	Thermobifida curvata DSM43183	292	1	3.40.50.1820
v006	be8748feeb335dbb23ea57c0ca66828f	D1A9G5	D1A9G5	Tcur_1278	Thermobifida curvata DSM43183	289	1	3.40.50.1820
v007	c4c87c36c70a8f1b15d4f8d38155f609	ADK73612	ADK73612	PLE629	Marinobacter sp.	302	1	3.40.50.1820
v008	10d87dbad4c4c7bfd7d5c331cef5b9ce	ADM47605.1	ADM47605.1	Enzyme 702	Thermobifida fusca	262	1	3.40.50.1820
v009	c3b10fec34299e75939e57d3458275fe	E8U721	E8U721	PET1; DmPETase	Deinococcus maricopensis DSM 21211	315	1	3.40.50.1820
v010	5e3a225d0c4dad34e74078ea45904b70	E9LVH7	E9LVH7	Tha_Cut1; cut1	Thermobifida alba DSM43185	262	1	3.40.50.1820
v011	e65e54bed8b506d0ddf1f5164bf29425	ADV92526.1	ADV92526.1	-	Thermobifida cellulosilytica DSM44535	262	1	3.40.50.1820
v012	46578a460f23e13d1ebe0b0ebf887282	ADV92571	ADV92571	Thc_Cut2	Thermobifida cellulosilytica DSM44535	262	1	3.40.50.1820
v013	7290711b3d888830a61b777dcd01df5d	E9LVI0_THEFU	E9LVI0_THEFU	TfH42_Cut1	Thermobifida fusca DSM44342	262	1	3.40.50.1820
v014	d357a79e14b6376e4d3557864252bfe8	JN129499.1	JN129499.1	Cut1	Thermobifida fusca NRRL B-8184	319	1	3.40.50.1820
v015	a0445e5a5b156ccfedc088c49acfd84a	JN129500.1	JN129500.1	Cut2	Thermobifida fusca NRRL B-8184	301	1	3.40.50.1820
v016	761f31759bb5d73ea55282d40c050c2e	H6WX58	H6WX58	Thh_Est	Thermobifida halotolerans	262	1	3.40.50.1820
v017	d67ede223c06bbb9c7903735558b4123	AGT96415	AGT96415	MGS0109 (KC986401)	Marine metagenome	314	1	3.40.50.1820
v018	9b361d2c16557499693210de2a8a01b4	A0A0G3BI90_9BURK	A0A0G3BI90_9BURK	PET6; BSQ33_03270	Vibrio gazogenes	298	1	3.40.50.1820
v019	710f4592bfa0115da9f3500092b3518f	KU695573	KU695573	PpCutA; PoCut	Pseudomonas oleovorans DSM 50188	307	1	3.40.50.1820
v020	10e219e71a25db666947cbd3afc63123	A0A1Z2SIQ1_VIBGA	A0A1Z2SIQ1_VIBGA	PET5; LipA	Oleispira antarctica RB-8	298	1	3.40.50.1820
v021	a9bad1df9172c94be6b225bd32b6bd1d	BAB86909	BAB86909	PbsA	Acidovorax delafieldii Strain BS-3	304	1	3.40.50.1820
v022	2b9fd2b29499ad2d285db6505328e11d	BAI99230	BAI99230	Est1; Enzyme 708	Thermobifida alba AHK119	296	1	3.40.50.1820
v023	c627badfbdd42acfa7664595a681b789	F7IX06	F7IX06	Est119; Est2	Thermobifida alba AHK119	300	1	3.40.50.1820
v024	a5e57aa9699b655bb23f42f50c4debb3	W0TJ64	W0TJ64	Cut190	Saccharomonospora viridis AHK190	304	1	3.40.50.1820
v025	cae1f0e206dd5d377dbfb013f72cd60c	AJ810119	AJ810119	BTA-2; TfH	Thermobifida fusca DSM43793	301	1	3.40.50.1820
v026	cf88b3e711edffd341ba052fb3365c25	E5BBQ3_THEFU	E5BBQ3_THEFU	TfCut_2; Cut-2.kw3	Thermobifida fusca	261	1	3.40.50.1820
v027	2b9fd2b29499ad2d285db6505328e11d	D4Q9N1	D4Q9N1	Est1	Thermobifida alba AHK119	296	1	3.40.50.1820
v028	e5571e8fd143e90bd5db0ca52ce67226	DAC80635	DAC80635	SM14; SM14est	Streptomyces sp.	284	1	3.40.50.1820
v029	4d6c690dd47d3941954de2c9d2abaf2f	E5BBQ2	E5BBQ2	TfCut_1; Cut-1.kw3	Thermobifida fusca	319	1	3.40.50.1820
v030	e65e54bed8b506d0ddf1f5164bf29425	E9LVH8	E9LVH8	Thc_cut1	Thermobifida cellulosilytica	262	1	3.40.50.1820
v031	46578a460f23e13d1ebe0b0ebf887282	E9LVH9	E9LVH9	Thc_cut2	Thermobifida cellulosilytica	262	1	3.40.50.1820
v032	6435b353e1e02d2f720bc95ef5cb13af	EGD44994.1	EGD44994.1	Enzyme 503 like	Nocardioidaceae bacterium	294	1	3.40.50.1820
v033	1b0d2c147b96bad033703fb124a50764	G9BY57	G9BY57	HRB29-GBD22443 like	LCC leaf compost metagenome	293	1	3.40.50.1820
v034	4dfca93c424da8986ee3fb484d868de2	GBD22443	GBD22443	LCC-like	HR29	293	1	3.40.50.1820
v035	fe31253f406d9725da382e4a9e67d782	YNPsite06_CeleraDRAFT_160970	YNPsite06_CeleraDRAFT_160970	Enzyme 214 like	Metagenome	456	1	3.40.50.1820
v036	e0db2a4f62c16fd0850cb05f28dbe103	R4YKL9_OLEAN	R4YKL9_OLEAN	PETase	Oleispira antarctica	310	1	3.40.50.1820
v037	c48ea13e3b7c4343a47482e71c9b2abe	JzSedJan11_10004914	JzSedJan11_10004914	Enzyme 211 like	Metagenome	263	1	3.40.50.1820
v038	6f5b887d3833e9449f06aac8cfc2e5d6	YNPsite06_CeleraDRAFT_367810	YNPsite06_CeleraDRAFT_367810	Enzyme 301 like	Metagenome	495	1	3.40.50.1820
v039	37caf8c38d262f6d271a5e7c422d4423	JGI20132J14458_10325381	JGI20132J14458_10325381	Enzyme 307 like	Metagenome	257	1	3.40.50.1820
v040	bc7a038f9383a1c9351ad53e8f89a243	MEC8523093.1	MEC8523093.1	dsPETase05	Pseudomonadota bacterium	292	1	3.40.50.1820
v041	174ba911d73b1edc801c52651ec17efd	ODU60407.1	ODU60407.1	Enzyme 412	Ketobacter alkanivorans	305	1	3.40.50.1820
v042	604018ae8af9058028c669f8ed8de020	A0A1F4JXW8	A0A1F4JXW8	ApLip-Ec	Aquabacterium parvum	426	1	3.40.50.1820
v043	6c92a78329d5a05cad38caf62075d747	P19833	P19833	PaCut	Pseudomonas alcaligenes	319	1	3.40.50.1820
v044	a0445e5a5b156ccfedc088c49acfd84a	Q47RJ6_THEFY	Q47RJ6_THEFY	WSH03-11; Tfu_0883	Thermobifida fusca YX	301	1	3.40.50.1820
v045	d357a79e14b6376e4d3557864252bfe8	Q47RJ7_THEFY	Q47RJ7_THEFY	WSH03-11; Tfu_0882	Thermobifida fusca YX	319	1	3.40.50.1820
v046	a0445e5a5b156ccfedc088c49acfd84a	Q6A0I4	Q6A0I4	BTA-1; TfH	Thermobifida fusca DSM43793	301	1	3.40.50.1820
v047	a9bad1df9172c94be6b225bd32b6bd1d	Q8RR62	Q8RR62	CtPL; Enzyme 504	Caldimonas taiwanensis+D57	304	1	3.40.50.1820
