node_id	sequence_md5	identifier	identifier_all	accession	accession_all	enzyme_name	enzyme_name_all	organism	pazy_id	pazy_id_all	sequence_length	n_source_rows	v1_component	cath
m0001	004af9e9b29cb7a99eee6d96edfaabcd	435	435	ATH80290	ATH80290	HP	HP	Ectopseudomonas mendocina	490	490	280	1		
m0002	00855c73c087597a6c69fa2b114d731e	132	132	SAY37579.1	SAY37579.1	PHL-11;PHL-1	PHL-11;PHL-1	compost metagenome;Compost metagenome	172	172	260	1	1	3.40.50.1820
m0003	009e600d3a7df316a22764026a76e2bc	191	191	WP_142197250.1	WP_142197250.1	ScPETase	ScPETase	Streptomyces calvus	242	242	300	1		
m0004	010991495537828f0796c93512058d2e	402	402	MGYP000321434903	MGYP000321434903	TEP037	TEP037		456	456	259	1		
m0005	01d9529bef2a8dc5220ebb00fe475a02	433	433			JW45_1534	JW45_1534		488	488	417	1		
m0006	02048bc3dc3b8c853e51fcc55038f6ac	182	182	KAH7127633;A0A9P9DYB3	KAH7127633;A0A9P9DYB3	DmC	DmC	Dactylonectria macrodidyma	231	231	237	1	2	3.40.50.1820
m0007	024678fb7e5f5a204647fd2d1e393aab	455	455	Q3L8N0;501l;AAR25849.1	Q3L8N0;501l;AAR25849.1	LCP_STRK3	LCP_STRK3	Streptomyces sp. K30	123	123	407	1	16	NA
m0008	04eb6f62384740641a457083240d65be	236	236	WP_137976057.1	WP_137976057.1	1821	1821	Streptomyces violaceusniger	288	288	378	1		
m0009	0600d8fd8a62760bde8393fb0fde0e0d	256	256	WP_091283529.1	WP_091283529.1	1591	1591	Micromonospora haikouensis	308	308	463	1		
m0010	067e281972e92f24fb345ef6c8870caa	185	185	APJ12152;APJ12152.1	APJ12152;APJ12152.1	LipMRD9	LipMRD9	Bacillus safensis	235	235	215	1	26	3.40.50.1820
m0011	06838ea54893acb0dae64a94f5fe912a	173	173			ReU	ReU		222	222	471	1		
m0012	06d89e9f595b7abc6f662a4ea5fc3f77	122	122	OP972510;WBR49957	OP972510;WBR49957	UMG-SP-2	UMG-SP-2	Environmental sample;Metagenome	156	156	439	1	10	3.90.1300.10
m0013	06ea0302cc54279d54aebaa45774cfe7	304	304	A0A3D1YDR8	A0A3D1YDR8	Nyl37	Nyl37	Dehalococcoidia bacterium	356	356	311	1		
m0014	073907a632be32c5b92c8381c4de0c90	98	98	WP_085748997.1;LC073705;A0A0M4UPQ3	WP_085748997.1;LC073705;A0A0M4UPQ3	LatA	LatA	Piscinibacter gummiphilus;R. gummiphilus NS21	126	126	679	1	15	NA
m0015	073f8bc76f09e2183891c86f93e05b7d	408	408	MBO9569276.1	MBO9569276.1	TEP091	TEP091	Cellulomonas iranensis	462	462	284	1		
m0016	07624194bbcd6bf29fe626de86e9ca46	414	414	WP_150070118.1	WP_150070118.1	TEP105	TEP105	Saccharopolyspora hirsuta	468	468	295	1		
m0017	085add734f10d1917f9638347ab618d2	87	87	WP_132259156.1;Q939Q9;4BTV	WP_132259156.1;Q939Q9;4BTV	PhaZ7	PhaZ7	Paucimonas lemoignei	110	110	380	1	34	3.40.50.1820
m0018	0a552022c4776bbf93ebe23164db0cd0	383	383	MBW4703769.1	MBW4703769.1	ESM101	ESM101	Micromonospora sp. RL09-050-HVF-A	436	436	474	1		
m0019	0ac767e72406f2fc0cf50fd9008e6f16	61	61	ATG80622.1;A0A291HVH1	ATG80622.1;A0A291HVH1	LP175	LP175	Laceyella sacchari	81	81	385	1	21	3.40.50.1820
m0020	0b490a6d93d67b0ebb2d6cd3d80f9d9a	440	440	WKW63607.1	WKW63607.1	PET93	PET93	Maribacter dokdonensis	495	495	434	1		
m0021	0bed3021f541af53d7f9285ae8d85094	393	393	WP_144022925.1	WP_144022925.1	ESM160	ESM160	Asanoa hainanensis	447	447	296	1		
m0022	0c554c0dd255de614d248db3118d89da	127	127	AAK28498.1;Q9AHE8	AAK28498.1;Q9AHE8	AmdA	AmdA	Agrobacterium tumefaciens;Agrobacterium tumefaciens d3	162	162	517	1	10	3.90.1300.10
m0023	0c75d9f81ae52914a609ec24d4c68ea2	135	135	SAY37587;SAY37587.1	SAY37587;SAY37587.1	PHL-51;PHL-5	PHL-51;PHL-5	Compost metagenome	175	175	257	1	1	3.40.50.1820
m0024	0ccba4d53ac83e5437ecd1027cfe4ab8	310	310	TAL40028	TAL40028	Nyl50	Nyl50	Alphaproteobacteria bacterium	362	362	305	1		
m0025	0ce515d8f0c2a6b72722a127e726b8d7	69	69	BAF57212.1;AB302138;A4UZ12	BAF57212.1;AB302138;A4UZ12	PlaM7 depolymerase;PlaM7	PlaM7 depolymerase;PlaM7	PLA disk compost metagenome;Metagenome	90	90	283	1	5	3.40.50.1820
m0026	0d1c7296209804664d2da95c23eea089	200	200	P08684.4	P08684.4	CYP450	CYP450	Homo sapiens	252	252	503	1		
m0027	0d26a77d2ffda03e4582e295927066c6	41	41	WP_011061486.1;AAY92471.1;Q4KBS6	WP_011061486.1;AAY92471.1;Q4KBS6	PueA	PueA	Pseudomonas protegens;Pseudomonas protegens strain Pf-5	50	50	617	1	4	3.40.50.1820
m0028	0d51bfebc665db66f2d9c28959b141d3	225	225	WP_130464304.1	WP_130464304.1	1538	1538	Plantactinospora sp. B6F1	277	277	472	1		
m0029	0dd151000d71720a7a8996bf7fb3acbf	49	49	P80008.1	P80008.1	Arylacylamidase	Arylacylamidase	Nocardia globerula	64	64	28	1		
m0030	0e841a3c1f59a0cfd7b1ac47b6e7b1bd	180	180	WKA69984.1	WKA69984.1	CpCut1-like;CpCut1	CpCut1-like;CpCut1	Cladosporium sp.;Cladosporium sp. P7	229	229	221	1	2	3.40.50.1820
m0031	0f43f7fe3f0c0042197df2508ee850e3	254	254	WP_086784246.1	WP_086784246.1	1654	1654	Crossiella equi	306	306	418	1		
m0032	0ff17ebdb173018728d2219bcd5f4e38	86	86	AAA21974.1	AAA21974.1	PhaZAfa	PhaZAfa	Alcaligenes faecalis	109	109	488	1		
m0033	1090fc7df5cb6e4866fd00779c1d8e28	450	450	ANG60415;ANG60415.1;A0A173DW34	ANG60415;ANG60415.1;A0A173DW34	GatA;Urethanase	GatA;Urethanase	Lysinibacillus fusiformis;Lysinibacillus fusiformis SCO2	234;158	234;158	472	1	10	3.90.1300.10
m0034	10d87dbad4c4c7bfd7d5c331cef5b9ce	119	119	ADM47605.1;Q6A0I4;7QJQ	ADM47605.1;Q6A0I4;7QJQ	Enzyme 702;702	Enzyme 702;702	Thermobifida fusca	153	153	262	1	1	3.40.50.1820
m0035	10e219e71a25db666947cbd3afc63123	3	3	ASA57064.1;A0A1Z2SIQ1_VIBGA;7Z6B	ASA57064.1;A0A1Z2SIQ1_VIBGA;7Z6B	PET5;LipA;PET6	PET5;LipA;PET6	Vibrio gazogenes;Oleispira antarctica RB-8	3	3	298	1	1	3.40.50.1820
m0036	10f99a34d701d302d6cd789182b6508e	319	319	A0A7V9NEU5	A0A7V9NEU5	Nyl71	Nyl71	Acidobacteriota bacterium	371	371	359	1		
m0037	11448cbf80389c1a758d8dfcba90907c	95	95	BAV72205.1;A0A1E1FNX8	BAV72205.1;A0A1E1FNX8	PBATHBp	PBATHBp	Bacillus pumilus	122	122	215	1	26	3.40.50.1820
m0038	1197ee1b96f74dd16a31dad1ba334c46	115	115	WP_062195544.1	WP_062195544.1	Enzyme 406;CtPl	Enzyme 406;CtPl	Caldimonas taiwanensis;Comamonadaceae bacterium	148	148	292	1	1	3.40.50.1820
m0039	12efbdad63de5275909365067113db41	146	146	UNZ81747.1;UNZ81747	UNZ81747.1;UNZ81747	IS113;C033	IS113;C033	Dehalococcoidia bacterium	187	187	455	1	43	3.40.710.10
m0040	1361228bf3f1c19ea8214555076414a7	166	166	SHM40309;SHM40309.1;A0A1M7II12;7YM9	SHM40309;SHM40309.1;A0A1M7II12;7YM9	CaPETase	CaPETase	Cryptosporangium aurantiacum	215	215	299	1	1	3.40.50.1820
m0041	149e83bf7e1c0307af6bc10d0662ef3b	156	156			GlacPETase	GlacPETase		202	202	282	1		
m0042	14c85d0adef7eb6df5a6ed35c4a73ba8	478	478	UFE15763.1	UFE15763.1	lcp2	lcp2				402	1		
m0043	15317ec096461afae2a6111e17b27633	85	85	WP_011615004.1;Q0KBZ6	WP_011615004.1;Q0KBZ6	PhaY2	PhaY2	Cupriavidus necator;Cuprivadus necator ATC17699	108	108	293	1	33	3.40.50.1820
m0044	1545cf731ea10ee62b256807199e37d8	446	446	RLU00646.1;A0A3L8BW54;RLT92980.1;A0A3L8BDT3	RLU00646.1;A0A3L8BW54;RLT92980.1;A0A3L8BDT3	RgCut-II;403;Enzyme 403;409	RgCut-II;403;Enzyme 403;409	Ketobacter sp.;Rhizobacter gummiphilus	141;145	141;145	312	1	1	3.40.50.1820
m0045	15938ddd57d7448aa110a9139193c91b	5	5	UUT36764;OK558825;7VMD	UUT36764;OK558825;7VMD	PET12;PbCut;SbCut;AAW51_2473;PLE628	PET12;PbCut;SbCut;AAW51_2473;PLE628	Marinobacter sp.;Caldimonas brevitalea	5	5	307	1	1	3.40.50.1820
m0046	161e4dc2c4ef1e36fe625c65439a815b	228	228	CCH19814.1	CCH19814.1	1617	1617	Micromonospora lupini	280	280	465	1		
m0047	167f1e4e4481dfb27bd087d9b3902929	469	469	Q75UA4	Q75UA4	PLAase	PLAase	Amycolatopsis (Nocardia) sp. strain K104-1			238	1	11	2.40.10.10
m0048	17cf0142a842915adf56bd16d1f70336	404	404	WP_260709492.1	WP_260709492.1	TEP054	TEP054	Dactylosporangium aurantiacum	458	458	437	1		
m0049	1801d10ed570ce70933bdbe9f25a34b6	380	380	WP_239135698.1	WP_239135698.1	ESM093	ESM093	Dactylosporangium siamense	433	433	279	1		
m0050	18de7a550936804f8be57fdf26a8e0e3	54	54	ABY67151.1	ABY67151.1	PLAase III	PLAase III	Amycolatopsis orientalis	70	70	176	1		
m0051	18f1178aa194bcd44f9de9bf8b6ef166	212	212	MPZ00478.1	MPZ00478.1	APET-25	APET-25	Actinophytocola sp.	264	264	285	1		
m0052	198d14bb37149debc526a3f90e777956	148	148	WP_006368739.1;H6N162	WP_006368739.1;H6N162	Lcp1VH2	Lcp1VH2	Gordonia polyisoprenivorans	191	191	407	1	16	NA
m0053	1b0d2c147b96bad033703fb124a50764	16	16	AEV21261.1;G9BY57;4EBO	AEV21261.1;G9BY57;4EBO	HRB29-GBD22443 like;LCC	HRB29-GBD22443 like;LCC	LCC leaf compost metagenome	16	16	293	1	1	3.40.50.1820
m0054	1dac4ce79e11274c7297487b461232e1	442	442	NP_390179.1	NP_390179.1	BsMPPE	BsMPPE	Bacillus subtilis	497	497	259	1		
m0055	1e1f498fae0e6d56fb87a52a1fef96ff	120	120	WP_083947829;WP_083947829.1;7QJT	WP_083947829;WP_083947829.1;7QJT	Enzyme 711;711	Enzyme 711;711	Thermobifida cellulosilytica	154	154	284	1	1	3.40.50.1820
m0056	1fd045e8b65176376e182facc216b772	297	297	OWT56952	OWT56952	Nyl16	Nyl16	Candidimonas nitroreducens	349	349	335	1		
m0057	2053c1f056678cc0df8796d8990fb355	368	368	WP_111214096.1	WP_111214096.1	ESM059	ESM059	Micromonospora craterilacus	420	420	462	1		
m0058	20f7abda67d907b1e03456185b9a7df8	275	275	SPF04022.1	SPF04022.1	1392	1392	Streptomyces sp. MA5143a	327	327	287	1		
m0059	213f66a13d29726369cc62acb0ec8c5b	309	309	WP_131292212.1	WP_131292212.1	Nyl47	Nyl47	Kribbella sindirgiensis	361	361	287	1		
m0060	21529d199ac34be22c7967f66af4194b	409	409	GIG90696.1	GIG90696.1	TEP092	TEP092	Plantactinospora endophytica	463	463	472	1		
m0061	21b9ee3c2d064bd97bf205292edd4e77	389	389	WP_239125827.1	WP_239125827.1	ESM144	ESM144	Catellatospora bangladeshensis	443	443	288	1		
m0062	228bd6d0bd6e93a1b69422e21d51b913	183	183			RtC	RtC		232	232	231	1		
m0063	228edba5269227f472a446139a646369	165	165	WP_108898647;WP_108898647.1	WP_108898647;WP_108898647.1	Ces39_5	Ces39_5	Caldibacillus thermoamylovorans	214	214	249	1	39	3.40.50.1820
m0064	2510ccd8faea4efb0652cab75394adfa	234	234	WP_144126986.1	WP_144126986.1	1507	1507	Catellatospora sichuanensis	286	286	275	1		
m0065	25535d4836a01c7d3cc4bbeba3c18437	471	471	XCO66867	XCO66867	PurH	PurH	Aeromicrobium sp.			286	1	1	3.40.50.1820
m0066	255e2b78ca9f54fe397d3917c1c6cae9	445	445	BCL64964.1;UNZ22463.1;A0A7I8E2Z4	BCL64964.1;UNZ22463.1;A0A7I8E2Z4	PBATHRF;pbath;Rcut;PBATh;OL660765;RCut	PBATHRF;pbath;Rcut;PBATh;OL660765;RCut	Rhodococcoides fascians;Rhodococcus sp. (in: high G+C Gram-positive bacteria);Rhodococcus fascians NKCM2511;Rhodococcus sp.	116;170	116;170	216	1	2	3.40.50.1820
m0067	263a6865371a5e0924e53280192fa035	164	164	WP_034767800;WP_034767800.1;A0A090IVG8	WP_034767800;WP_034767800.1;A0A090IVG8	Ces19_14	Ces19_14	Caldibacillus thermoamylovorans	213	213	240	1	36	3.40.50.1820
m0068	263b6d9cf1f73ddee6c8d0410fdaf229	78	78	WP_011614907.1;Q0KCI0	WP_011614907.1;Q0KCI0	PhaZ1	PhaZ1	Cupriavidus necator;Cuprivadus necator ATC17699	100	100	419	1	3	3.40.50.1820
m0069	27b40925ec9dab01a97010da9157f232	321	321	MSS57807	MSS57807	Nyl73	Nyl73	Stecheria intestinalis	373	373	319	1		
m0070	287dd238ca5f47fa0362cba5d21edbc6	203	203			GatA250	GatA250		255	255	491	1		
m0071	2907a9f9131390b753aa9953740df710	432	432			JW44_1708	JW44_1708		487	487	204	1		
m0072	2952634441666dbdb22a48ce9cde12c5	161	161	WP_034768559.1;CEE00769.1;A0A090KQ36	WP_034768559.1;CEE00769.1;A0A090KQ36	Est8_89	Est8_89	Caldibacillus thermoamylovorans	210	210	266	1	22	3.40.50.1820
m0073	2a3c4f5280e7c5835b8e1428f7044fe3	352	352	WP_233872418.1	WP_233872418.1	DP090	DP090	Streptomyces sp. ST2-7A	404	404	314	1		
m0074	2a9215b62ae074282dc7ffcda6232192	428	428	YCL34723	YCL34723	DIEGO	DIEGO	uncultured bacterium	483	483	293	1		
m0075	2af6d737171357f18fd9f3cddedf6015	215	215	MBX2857432.1	MBX2857432.1	APET-28	APET-28	Cellvibrionaceae bacterium	267	267	275	1		
m0076	2b913d598a604cd64df1b67d929b5d6f	13	13	MGYP000532440779	MGYP000532440779	MG8	MG8	Oral metagenome	13	13	307	1		
m0077	2b9fd2b29499ad2d285db6505328e11d	26	26	BAI99230.2;BAI99230;D4Q9N1	BAI99230.2;BAI99230;D4Q9N1	Est1;Enzyme 708	Est1;Enzyme 708	Thermobifida alba;Thermobifida alba AHK119	33	33	296	1	1	3.40.50.1820
m0078	2c71453465b0acb39d172983ac4a7387	208	208	WP_116023875.1	WP_116023875.1	APET-19	APET-19	Thermomonospora umbrina	260	260	279	1		
m0079	2cd5f487f5114193eaf1c99806f6ef63	140	140	WP_036989706.1;A0A031MKR8;8AIT	WP_036989706.1;A0A031MKR8;8AIT	PsCut;PbauzCut	PsCut;PbauzCut	Halopseudomonas bauzanensis;Pseudomonas saudimassiliensis	180	180	302	1	1	3.40.50.1820
m0080	2cdb0469feb77ba7e2d63ca3b108b137	363	363	WP_031525917.1	WP_031525917.1	ESM043	ESM043	Streptomyces sp. NRRL F-5123	415	415	426	1		
m0081	2d321d769e7c7464a135d954c2a9a866	406	406	WP_149259982.1	WP_149259982.1	TEP067	TEP067	Actinomadura sp. K4S16	460	460	309	1		
m0082	2da35d44369fc57fbab077687acd8caf	281	281	WP_091450391.1	WP_091450391.1	1228	1228	Actinokineospora iranica	333	333	281	1		
m0083	2ddc62c97241531aed04530538ae54d8	426	426	XDS72785.1	XDS72785.1	Sis	Sis	uncultured bacterium;Geothermal metagenome	481	481	282	1	1	3.40.50.1820
m0084	2faa60f73ded9c502787ece47fca13f7	76	76	BAN51852.1;A0A060N399	BAN51852.1;A0A060N399	PLAse;PCLE	PLAse;PCLE	Paraphoma sp. B47-9	98	98	227	1	2	3.40.50.1820
m0085	31564b91ecf89c422e16abc249221256	277	277	WP_110080872.1	WP_110080872.1	1424	1424	Actinokineospora spheciospongiae	329	329	316	1		
m0086	3159d0f519fd0565b7134f18713e8324	337	337	WP_085750434.1	WP_085750434.1	DP039	DP039	Piscinibacter gummiphilus	389	389	289	1		
m0087	316e87e4b339708fb285d715f460c8d2	477	477	UFE15762.1	UFE15762.1	lcp1	lcp1				406	1		
m0088	3195c72d9a6cc23e6a918505eb460744	403	403	WP_256510026.1	WP_256510026.1	TEP041	TEP041	Crossiella sp. SN42	457	457	266	1		
m0089	31e8cee08e99636ef7d35f9f5457bb57	138	138	WP_085749238;WP_085749238.1;8AIR	WP_085749238;WP_085749238.1;8AIR	RgPETase;RgCut-I;RgCut-2	RgPETase;RgCut-I;RgCut-2	Piscinibacter gummiphilus;Rhizobacter gummiphilus NS21	178	178	279	1	1	3.40.50.1820
m0090	32320ea9636947aaaa29de601c9a9fa4	82	82	WP_011616952.1;Q0K2G9	WP_011616952.1;Q0K2G9	PhaZ5	PhaZ5	Cupriavidus necator;Cuprivadus necator ATC17699	104	104	407	1	3	3.40.50.1820
m0091	325634c8b48334249f0532c897258e2e	466	466	WP_068824797.1	WP_068824797.1	jmPE14	jmPE14	Pseudomonas sp. JM16B3			297	1	1	3.40.50.1820
m0092	336f0649eca9651f90fe2d208cd29559	462	462			GatA-like	GatA-like	Parvibaculum sp.			485	1	10	3.90.1300.10
