v213	v163	25.9	9.93	21
v212	v114	25.4	0.307	27
v212	v004	40.0	2.6	23
v212	v070	34.8	5.8	22
v212	v118	24.1	5.8	22
v212	v087	38.6	7.57	22
v211	v034	30.4	0.115	27
v211	v033	30.4	0.115	27
v211	v091	28.0	0.15	27
v211	v107	37.0	4.84	22
v211	v162	33.3	6.32	21
v211	v036	32.1	8.25	21
v210	v208	68.6	2.15e-172	595
v210	v206	52.9	3.71e-124	435
v210	v207	52.9	1.24e-119	420
v210	v209	45.7	3.73e-108	382
v210	v107	32.7	4.4	23
v210	v186	41.0	9.8	22
v209	v208	46.3	5.8e-109	384
v209	v206	42.8	1.3e-92	330
v209	v207	40.2	2.7e-90	322
v209	v202	28.9	0.0362	30
v209	v186	28.3	0.105	28
v209	v165	33.9	0.523	26
v209	v196	25.2	0.523	26
v209	v125	38.1	1.17	25
v209	v063	43.2	1.17	25
v209	v181	34.2	1.17	25
v209	v124	51.9	1.52	24
v209	v162	64.3	3.39	23
v209	v164	29.5	4.43	23
v209	v161	29.5	4.43	23
v209	v022	28.7	5.78	22
v209	v027	28.7	5.78	22
v209	v144	30.0	9.87	22
v208	v206	51.8	1.19e-122	430
v208	v207	50.1	1.16e-109	387
v208	v202	30.5	0.519	26
v207	v206	63.5	8.65e-147	510
v207	v119	26.0	0.222	27
v207	v109	24.1	0.29	27
v206	v202	25.2	0.00425	33
v206	v170	31.1	1.97	24
v206	v097	61.5	9.8	22
v205	v203	34.8	5.45e-96	342
v205	v204	33.2	5.28e-91	325
v205	v197	34.2	3.29	24
v205	v189	28.1	7.32	23
v204	v203	82.6	0	1208
v204	v160	29.1	0.663	26
v204	v132	25.0	4.3	23
v203	v098	30.3	3.3	24
v202	v201	30.4	3.38e-17	79
v202	v201	32.9	2.97e-05	40
v202	v123	31.9	0.989	25
v202	v198	35.1	1.69	24
v202	v075	32.8	2.88	23
v202	v108	31.4	6.41	22
v202	v048	32.8	8.38	22
v202	v102	30.9	8.38	22
v201	v128	25.4	2.5	24
v201	v191	34.1	7.28	22
v200	v199	27.4	0.000118	38
v200	v066	20.1	0.0936	28
v200	v068	20.5	0.356	26
v200	v005	22.5	0.465	26
v200	v185	29.8	0.465	26
v200	v195	25.3	0.792	25
v200	v127	27.9	1.77	24
v200	v177	48.1	5.14	22
v200	v198	28.6	6.71	22
v200	v123	29.9	6.71	22
v200	v061	23.9	8.76	22
v199	v198	34.0	8.48e-28	114
v199	v004	23.9	0.00324	32
v199	v144	20.3	0.0799	28
v199	v134	37.9	4.39	22
v199	v196	48.1	4.39	22
v199	v033	30.2	5.73	22
v199	v183	46.4	7.48	21
v199	v034	30.2	7.48	21
v198	v081	25.7	0.000865	34
v198	v127	23.3	0.18	27
v198	v148	33.8	0.308	26
v198	v051	43.2	0.685	25
v198	v126	23.6	1.99	23
v198	v191	52.9	2.6	23
v198	v133	24.8	4.44	22
v198	v141	29.3	5.8	22
v198	v189	30.8	9.89	21
v197	v189	32.7	2.28e-84	303
v197	v183	25.9	9.74e-27	112
v197	v191	26.7	1.72e-23	101
v197	v190	30.5	7.23e-22	96
v197	v195	26.6	2.75e-21	94
v197	v192	29.4	1.78e-20	91
v197	v184	25.5	2.18e-18	84
v197	v196	28.0	4.54e-16	76
v197	v185	24.0	5.92e-16	76
v197	v181	32.0	1.72e-15	74
v197	v194	27.5	5.55e-14	69
v197	v182	28.8	3.04e-12	64
v197	v188	24.8	1.51e-11	61
v197	v187	24.5	4.39e-11	60
v197	v193	23.8	1.08e-09	55
v197	v186	23.6	1.85e-09	54
v197	v108	34.0	0.918	25
v197	v061	30.6	0.918	25
v197	v170	32.6	0.918	25
v197	v155	22.9	5.95	23
v196	v188	35.5	1.56e-65	240
v196	v187	34.9	2.25e-64	236
v196	v184	32.6	5.18e-61	225
v196	v185	30.9	4.1e-58	216
