node_id,sequence_md5,identifier,identifier_all,accession,accession_all,pazy_id,component_id,size_rank,sequence_length,enzyme_name,organism,v1_component,cath
m0416,df38ea060b5dad0dfc9a593e4dce333c,1,1,WP_054022242.1,WP_054022242.1,1,C001,1,290,ISPETase,Piscinibacter sakaiensis,1,3.40.50.1820
m0418,e0db2a4f62c16fd0850cb05f28dbe103,2,2,CCK74972.1;MBQ0729274.1,CCK74972.1;MBQ0729274.1,2,C001,1,310,PET5,Oleispira antarctica,1,3.40.50.1820
m0035,10e219e71a25db666947cbd3afc63123,3,3,ASA57064.1,ASA57064.1,3,C001,1,298,PET6,Vibrio gazogenes,1,3.40.50.1820
m0286,9b361d2c16557499693210de2a8a01b4,4,4,WP_047194864.1;AKJ29164.1,WP_047194864.1;AKJ29164.1,4,C001,1,298,PET12,Caldimonas brevitalea,1,3.40.50.1820
m0046,15938ddd57d7448aa110a9139193c91b,5,5,UUT36764;UUT36764.1,UUT36764;UUT36764.1,5,C001,1,307,PLE628,Marinobacter sp.,1,3.40.50.1820
m0481,fe08eef9c8f87d7d57af2914ff906b14,6,6,UUT36763;UUT36763.1,UUT36763;UUT36763.1,6,C001,1,316,PLE629,Marinobacter sp.,1,3.40.50.1820
m0364,c4c87c36c70a8f1b15d4f8d38155f609,7,7,ADK73612.1,ADK73612.1,7,C001,1,302,PpCutA,Ectopseudomonas oleovorans,1,3.40.50.1820
m0206,710f4592bfa0115da9f3500092b3518f,8,8,WP_022964382.1;ANP21910.1,WP_022964382.1;ANP21910.1,8,C001,1,307,PpelaLip,Halopseudomonas pelagia,1,3.40.50.1820
m0339,b96e3838fee9bee7a9d7d7d57eda9386,9,9,WP_088276085.1,WP_088276085.1,9,C001,1,304,PE-H,Halopseudomonas aestusnigri,1,3.40.50.1820
m0477,fcafc8f695c58e71718b19c1a7c315ba,10,10,2FX5,2FX5,10,C001,1,258,PE-H; B7O88_11480,Halopseudomonas aestusnigri VGXO14,20,3.40.50.1820
m0340,bb60668c33aefeacbb320f1a972407e4,11,11,ABP86951,ABP86951,10,C001,1,280,PmC,Ectopseudomonas mendocina,,
m0195,6c92a78329d5a05cad38caf62075d747,12,12,P19833.1,P19833.1,11,C001,1,319,Mors1,Moraxella sp. TA144,1,3.40.50.1820
m0078,2b913d598a604cd64df1b67d929b5d6f,14,14,MGYP000532440779,MGYP000532440779,13,C001,1,307,MG8,Oral metagenome,,
m0119,4307017d78508de526bb8422be94a4c4,16,16,WP_085749752.1;A0A1W6L588,WP_085749752.1;A0A1W6L588,15,C001,1,292,RgPETase,Piscinibacter gummiphilus,1,3.40.50.1820
m0055,1b0d2c147b96bad033703fb124a50764,17,17,AEV21261.1;G9BY57.1,AEV21261.1;G9BY57.1,16,C001,1,293,LCC,,1,3.40.50.1820
m0145,4dfca93c424da8986ee3fb484d868de2,18,18,GBD22443.1,GBD22443.1,17,C001,1,293,BhrPETase,bacterium HR29,1,3.40.50.1820
m0304,a5e57aa9699b655bb23f42f50c4debb3,19,19,WP_015787089.1;BAO42836.1,WP_015787089.1;BAO42836.1,18,C001,1,304,Cut190,Saccharomonospora viridis,1,3.40.50.1820
m0375,cae1f0e206dd5d377dbfb013f72cd60c,20,20,CAH17554.1,CAH17554.1,20,C001,1,301,BTA-2,Thermobifida fusca,1,3.40.50.1820
m0209,7290711b3d888830a61b777dcd01df5d,21,21,ADV92528.1,ADV92528.1,21,C001,1,262,TfH42_Cut1,Thermobifida fusca,1,3.40.50.1820
m0144,4d6c690dd47d3941954de2c9d2abaf2f,22,22,E5BBQ2,E5BBQ2,24,C001,1,319,TfCut_1; Cut-1.kw3,Thermobifida fusca,1,3.40.50.1820
m0383,cf88b3e711edffd341ba052fb3365c25,23,23,CBY05530;CBY05530.1,CBY05530;CBY05530.1,25,C001,1,261,TfCut_2,Thermobifida fusca,1,3.40.50.1820
m0126,46578a460f23e13d1ebe0b0ebf887282,24,24,ADV92527.1;E9LVH9,ADV92527.1;E9LVH9,29,C001,1,262,Thc_Cut2,Thermobifida cellulosilytica,1,3.40.50.1820
m0347,be8748feeb335dbb23ea57c0ca66828f,25,25,WP_012851645.1;ACY96861.1,WP_012851645.1;ACY96861.1,30,C001,1,289,Tcur_1278,Thermomonospora curvata,1,3.40.50.1820
m0275,95b8c354124ce6fc0e73869c1285b609,26,26,WP_012850775.1;ACY95991.1,WP_012850775.1;ACY95991.1,31,C001,1,292,Tcur0390,Thermomonospora curvata,1,3.40.50.1820
m0218,761f31759bb5d73ea55282d40c050c2e,27,27,AFA45122.1,AFA45122.1,32,C001,1,262,Thh_Est,Thermobifida halotolerans,1,3.40.50.1820
m0170,5e3a225d0c4dad34e74078ea45904b70,28,28,ADV92525.1,ADV92525.1,34,C001,1,262,Tha_Cut1,Thermobifida alba,1,3.40.50.1820
m0368,c627badfbdd42acfa7664595a681b789,29,29,BAK48590.1,BAK48590.1,35,C001,1,300,Est119,Thermobifida alba,1,3.40.50.1820
m0320,afb025038508228d84d2fe8c130d5d14,31,31,WP_111881932.1,WP_111881932.1,38,C001,1,364,PET27,Aequorivita sp. CIP111184,1,3.40.50.1820
m0434,e6cfd2897ec399a6f1d3ec1c6a98cdb7,32,32,WP_039353427.1,WP_039353427.1,39,C001,1,366,PET30,Kaistella jeonii,1,3.40.50.1820
m0448,ee0092b4288da1c69a59e16f2b702cdf,33,33,ACC95208.1,ACC95208.1,40,C001,1,308,PET2,Metagenome-derived with  no obvious affiliation,1,3.40.50.1820
m0207,71d88f44c8ddca8715a62d0d30305df5,34,34,RLI42440.1,RLI42440.1,41,C001,1,262,PET46,Candidatus Bathyarchaeota archaeon,1,3.40.50.1820
m0398,d67ede223c06bbb9c7903735558b4123,64,64,AGT96415.1,AGT96415.1,82,C001,1,314,MGS0109,Marine metagenome,1,3.40.50.1820
m0480,fe0739cd12d95ca737e594fe187ece7d,111,111,,,134,C001,1,388,202,,,
m0399,d6bebd05cc2bbecb20e2248f69ec70d0,112,112,,,135,C001,1,250,204,,,
m0441,eb083b03c764314dd374fe8c25f98488,113,113,,,136,C001,1,272,211,,,
m0312,aaa184289d853bcf736eda85066f3e23,114,114,,,137,C001,1,248,214,,,
m0310,aa2bdf8b95c633e11b920c991aa91e25,115,115,,,138,C001,1,219,301,,,
