source,target,presence,pct_id_u11,evalue_u11,pct_id_u12,evalue_u12
n1,n10,both,52.4,2.87e-69,52.4,3.86e-65
n1,n11,both,51.1,8.92e-71,51.1,1.20e-66
n1,n12,both,49.6,4.89e-69,49.6,6.59e-65
n1,n13,both,50.4,1.29e-69,50.4,1.73e-65
n1,n14,both,49.3,6.84e-72,49.3,9.21e-68
n1,n15,both,50.3,2.88e-73,50.3,3.74e-69
n1,n16,both,48.9,1.57e-67,48.9,2.12e-63
n1,n18,both,64.6,4.53e-108,64.6,6.10e-104
n1,n19,both,46.4,1.52e-71,46.4,2.05e-67
n1,n2,both,47.7,3.83e-66,47.7,5.16e-62
n1,n20,both,48.4,1.17e-71,48.4,1.57e-67
n1,n21,both,78.6,3.23e-130,78.6,4.34e-126
n1,n22,both,48.1,5.42e-69,49.0,5.58e-65
n1,n23,both,47.3,3.88e-67,49.1,7.29e-65
n1,n24,both,44.5,2.78e-65,44.5,3.75e-61
n1,n25,both,49.7,3.07e-72,49.7,4.13e-68
n1,n26,both,51.3,1.52e-70,51.3,2.04e-66
n1,n27,both,48.1,5.42e-69,49.0,5.58e-65
n1,n28,both,41.9,8.49e-59,41.9,1.14e-54
n1,n29,both,42.2,1.93e-58,49.7,9.21e-68
n1,n30,both,51.1,8.92e-71,51.1,1.20e-66
n1,n31,both,49.6,4.89e-69,49.6,6.59e-65
n1,n32,both,44.5,3.23e-61,44.5,4.29e-57
n1,n33,both,47.3,7.82e-68,47.3,1.05e-63
n1,n34,both,44.7,3.40e-63,44.7,4.58e-59
n1,n36,both,54.8,8.34e-78,54.8,1.12e-73
n1,n4,both,74.9,3.03e-120,74.9,4.07e-116
n1,n40,both,30.1,6.27e-25,30.1,8.44e-21
n1,n41,both,49.6,2.35e-72,49.6,3.16e-68
n1,n42,both,62.1,2.49e-98,62.1,3.36e-94
n1,n43,both,44.2,7.34e-58,44.2,9.88e-54
n1,n44,both,50.3,2.88e-73,50.3,3.74e-69
n1,n45,both,49.3,6.84e-72,49.3,9.21e-68
n1,n46,both,50.3,2.88e-73,50.3,3.74e-69
n1,n47,both,78.6,3.23e-130,78.6,4.34e-126
n1,n5,both,46.6,2.78e-65,49.0,2.77e-64
n1,n50,both,35.6,2.69e-38,35.6,3.62e-34
n1,n51,both,53.0,2.27e-75,53.0,3.06e-71
n1,n52,both,47.5,1.73e-66,47.5,2.33e-62
n1,n53,both,48.7,4.86e-69,48.7,6.54e-65
