node_id,component_id_corrected,v1_component,cath,md5
n1,3,1,3.40.50.1820,df38ea060b5dad0dfc9a593e4dce333c
n2,3,1,3.40.50.1820,553239996e512830a1db6b67fb4aa1c7
n3,3,1,3.40.50.1820,9610434481ec16c88506a703693f96ab
n4,3,1,3.40.50.1820,4307017d78508de526bb8422be94a4c4
n5,3,1,3.40.50.1820,95b8c354124ce6fc0e73869c1285b609
n6,3,1,3.40.50.1820,be8748feeb335dbb23ea57c0ca66828f
n7,3,1,3.40.50.1820,c4c87c36c70a8f1b15d4f8d38155f609
n8,3,1,3.40.50.1820,10d87dbad4c4c7bfd7d5c331cef5b9ce
n9,3,1,3.40.50.1820,c3b10fec34299e75939e57d3458275fe
n10,3,1,3.40.50.1820,5e3a225d0c4dad34e74078ea45904b70
n11,3,1,3.40.50.1820,e65e54bed8b506d0ddf1f5164bf29425
n12,3,1,3.40.50.1820,46578a460f23e13d1ebe0b0ebf887282
n13,3,1,3.40.50.1820,7290711b3d888830a61b777dcd01df5d
n14,3,1,3.40.50.1820,d357a79e14b6376e4d3557864252bfe8
n15,3,1,3.40.50.1820,a0445e5a5b156ccfedc088c49acfd84a
n16,3,1,3.40.50.1820,761f31759bb5d73ea55282d40c050c2e
n17,3,1,3.40.50.1820,d67ede223c06bbb9c7903735558b4123
n18,3,1,3.40.50.1820,9b361d2c16557499693210de2a8a01b4
n19,3,1,3.40.50.1820,710f4592bfa0115da9f3500092b3518f
n20,3,1,3.40.50.1820,10e219e71a25db666947cbd3afc63123
n21,3,1,3.40.50.1820,a9bad1df9172c94be6b225bd32b6bd1d
n22,3,1,3.40.50.1820,2b9fd2b29499ad2d285db6505328e11d
n23,3,1,3.40.50.1820,c627badfbdd42acfa7664595a681b789
n24,3,1,3.40.50.1820,a5e57aa9699b655bb23f42f50c4debb3
n25,3,1,3.40.50.1820,cae1f0e206dd5d377dbfb013f72cd60c
n26,3,1,3.40.50.1820,cf88b3e711edffd341ba052fb3365c25
n27,3,1,3.40.50.1820,2b9fd2b29499ad2d285db6505328e11d
n28,3,1,3.40.50.1820,e5571e8fd143e90bd5db0ca52ce67226
n29,3,1,3.40.50.1820,4d6c690dd47d3941954de2c9d2abaf2f
n30,3,1,3.40.50.1820,e65e54bed8b506d0ddf1f5164bf29425
