node_id,component,component_size
m0001,1,229
m0002,1,229
m0003,1,229
m0007,1,229
m0012,1,229
m0013,1,229
m0015,1,229
m0017,1,229
m0018,1,229
m0024,1,229
m0026,1,229
m0029,1,229
m0032,1,229
m0034,1,229
m0035,1,229
m0038,1,229
m0039,1,229
m0041,1,229
m0042,1,229
m0043,1,229
m0045,1,229
m0047,1,229
m0049,1,229
m0050,1,229
m0052,1,229
m0053,1,229
m0056,1,229
m0064,1,229
m0065,1,229
m0066,1,229
m0067,1,229
m0068,1,229
m0069,1,229
m0070,1,229
m0071,1,229
m0072,1,229
m0074,1,229
m0075,1,229
m0077,1,229
m0078,1,229
m0080,1,229
m0084,1,229
m0086,1,229
m0088,1,229
m0090,1,229
m0093,1,229
m0094,1,229
m0095,1,229
m0096,1,229
m0097,1,229
m0098,1,229
m0101,1,229
m0102,1,229
m0103,1,229
m0104,1,229
m0105,1,229
m0110,1,229
m0112,1,229
m0114,1,229
m0119,1,229
m0121,1,229
m0123,1,229
m0124,1,229
m0125,1,229
m0126,1,229
m0129,1,229
m0131,1,229
m0132,1,229
m0134,1,229
m0135,1,229
m0137,1,229
m0138,1,229
m0139,1,229
m0142,1,229
m0145,1,229
m0150,1,229
m0155,1,229
m0156,1,229
m0158,1,229
m0159,1,229
m0160,1,229
m0161,1,229
m0162,1,229
m0163,1,229
m0164,1,229
m0166,1,229
m0167,1,229
m0168,1,229
m0169,1,229
m0170,1,229
m0171,1,229
m0173,1,229
m0174,1,229
m0175,1,229
m0176,1,229
m0177,1,229
m0179,1,229
m0182,1,229
m0183,1,229
m0184,1,229
m0185,1,229
m0187,1,229
m0188,1,229
m0191,1,229
m0192,1,229
m0193,1,229
m0194,1,229
m0197,1,229
m0198,1,229
m0204,1,229
m0205,1,229
m0209,1,229
m0212,1,229
m0213,1,229
m0214,1,229
m0215,1,229
m0216,1,229
m0217,1,229
m0225,1,229
m0226,1,229
m0227,1,229
m0228,1,229
m0229,1,229
m0230,1,229
m0231,1,229
m0232,1,229
m0233,1,229
m0235,1,229
m0236,1,229
m0241,1,229
m0242,1,229
m0243,1,229
m0244,1,229
m0246,1,229
m0247,1,229
m0248,1,229
m0251,1,229
m0253,1,229
m0254,1,229
m0258,1,229
m0261,1,229
m0263,1,229
m0264,1,229
m0265,1,229
m0266,1,229
m0267,1,229
m0271,1,229
m0272,1,229
m0273,1,229
m0274,1,229
m0276,1,229
m0277,1,229
m0278,1,229
m0280,1,229
m0281,1,229
m0282,1,229
m0284,1,229
m0287,1,229
m0290,1,229
m0291,1,229
m0292,1,229
m0293,1,229
m0294,1,229
m0295,1,229
m0297,1,229
m0303,1,229
m0304,1,229
m0305,1,229
m0309,1,229
m0311,1,229
m0312,1,229
m0314,1,229
m0315,1,229
m0317,1,229
m0318,1,229
m0320,1,229
m0322,1,229
m0324,1,229
m0328,1,229
m0329,1,229
m0330,1,229
m0331,1,229
m0332,1,229
m0333,1,229
m0335,1,229
m0336,1,229
m0337,1,229
m0339,1,229
m0340,1,229
m0341,1,229
m0343,1,229
m0344,1,229
m0345,1,229
m0347,1,229
