query,target,qlen_m,tlen_n,pct_id_v11,pct_id_v12,bits_v11,bits_v12,evalue_v11,evalue_v12,log10_Eratio_v12_over_v11,impliedK_v11,impliedK_v12,pass_v11,pass_v12,flips
n1,n10,290,262,52.4,52.4,252.0,252.0,3.180e-69,4.280e-65,4.13,1.07,1.44e+04,1,1,
n1,n11,290,262,51.1,51.1,257.0,257.0,9.870e-71,1.330e-66,4.13,1.06,1.43e+04,1,1,
n1,n12,290,262,49.6,49.6,251.0,251.0,5.420e-69,7.290e-65,4.13,0.911,1.23e+04,1,1,
n1,n13,290,262,50.4,50.4,253.0,253.0,1.430e-69,1.920e-65,4.13,0.961,1.29e+04,1,1,
n1,n14,290,319,49.3,49.3,261.0,261.0,6.840e-72,9.210e-68,4.13,1.18,1.58e+04,1,1,
n1,n15,290,301,48.0,50.3,259.0,265.0,1.990e-71,3.740e-69,2.27,0.856,1.03e+04,1,1,
n1,n16,290,262,48.9,48.9,246.0,246.0,1.740e-67,2.350e-63,4.13,0.914,1.23e+04,1,1,
n1,n18,290,298,64.6,64.6,381.0,381.0,4.530e-108,6.100e-104,4.13,1.04,1.4e+04,1,1,
n1,n19,290,307,46.4,46.4,260.0,260.0,1.520e-71,2.050e-67,4.13,1.31,1.76e+04,1,1,
n1,n2,290,259,47.7,47.7,242.0,242.0,4.290e-66,5.780e-62,4.13,1.41,1.9e+04,1,1,
n1,n20,290,298,48.4,48.4,260.0,260.0,1.170e-71,1.570e-67,4.13,1.01,1.35e+04,1,1,
n1,n21,290,304,78.6,78.6,455.0,455.0,3.230e-130,4.340e-126,4.13,1.4,1.88e+04,1,1,
n1,n22,290,296,48.1,49.0,251.0,252.0,5.420e-69,5.580e-65,4.01,0.911,1.88e+04,1,1,
n1,n23,290,300,47.3,49.1,245.0,251.0,3.880e-67,7.290e-65,2.27,1.02,1.23e+04,1,1,
n1,n24,290,304,44.5,44.5,239.0,239.0,2.780e-65,3.750e-61,4.13,1.14,1.54e+04,1,1,
n1,n25,290,301,49.7,49.7,262.0,262.0,3.070e-72,4.130e-68,4.13,1.06,1.42e+04,1,1,
n1,n26,290,261,51.3,51.3,256.0,256.0,1.680e-70,2.270e-66,4.13,0.903,1.22e+04,1,1,
n1,n27,290,296,48.1,49.0,251.0,252.0,5.420e-69,5.580e-65,4.01,0.911,1.88e+04,1,1,
n1,n28,290,284,41.9,41.9,217.0,217.0,8.670e-59,1.170e-54,4.13,0.848,1.14e+04,1,1,
n1,n29,290,319,42.2,49.7,216.0,261.0,1.930e-58,9.210e-68,-9.32,0.944,1.58e+04,1,1,
n1,n30,290,262,51.1,51.1,257.0,257.0,9.870e-71,1.330e-66,4.13,1.06,1.43e+04,1,1,
n1,n31,290,262,49.6,49.6,251.0,251.0,5.420e-69,7.290e-65,4.13,0.911,1.23e+04,1,1,
n1,n32,290,294,44.5,44.5,225.0,225.0,4.160e-61,4.290e-57,4.01,1.04,1.07e+04,1,1,
n1,n33,290,293,47.3,47.3,247.0,247.0,7.820e-68,1.050e-63,4.13,0.821,1.1e+04,1,1,
n1,n34,290,293,44.7,44.7,232.0,232.0,3.400e-63,4.580e-59,4.13,1.09,1.47e+04,1,1,
n1,n36,290,310,54.8,54.8,280.0,280.0,8.340e-78,1.120e-73,4.13,0.752,1.01e+04,1,1,
n1,n37,290,263,29.3,29.3,35.0,35.0,4.670e-04,6.290e+00,4.13,0.745,1e+04,0,0,
n1,n38,290,495,27.5,28.5,82.0,83.0,4.350e-18,3.440e-14,3.90,0.977,1.55e+04,0,0,
n1,n4,290,292,74.9,74.9,421.0,421.0,3.030e-120,4.070e-116,4.13,0.762,1.02e+04,1,1,
n1,n40,290,292,30.1,30.1,105.0,105.0,6.270e-25,8.440e-21,4.13,1.18,1.59e+04,1,1,
n1,n41,290,305,49.6,49.6,262.0,262.0,2.350e-72,3.160e-68,4.13,0.809,1.09e+04,1,1,
n1,n42,290,426,62.1,62.1,349.0,349.0,2.490e-98,3.360e-94,4.13,1.33,1.79e+04,1,1,
n1,n43,290,319,44.2,44.2,214.0,214.0,7.340e-58,9.880e-54,4.13,0.897,1.21e+04,1,1,
n1,n44,290,301,48.0,50.3,259.0,265.0,1.990e-71,3.740e-69,2.27,0.856,1.03e+04,1,1,
n1,n45,290,319,49.3,49.3,261.0,261.0,6.840e-72,9.210e-68,4.13,1.18,1.58e+04,1,1,
n1,n46,290,301,48.0,50.3,259.0,265.0,1.990e-71,3.740e-69,2.27,0.856,1.03e+04,1,1,
n1,n47,290,304,78.6,78.6,455.0,455.0,3.230e-130,4.340e-126,4.13,1.4,1.88e+04,1,1,
n1,n49,290,262,29.2,27.3,35.0,35.0,7.970e-04,1.070e+01,4.13,1.27,1.71e+04,0,0,
n1,n5,290,292,46.6,49.0,239.0,249.0,2.780e-65,2.770e-64,1.00,1.14,1.16e+04,1,1,
n1,n50,290,269,35.6,35.6,149.0,149.0,2.900e-38,3.900e-34,4.13,0.961,1.29e+04,1,1,
n1,n51,290,312,53.0,53.0,272.0,272.0,2.270e-75,3.060e-71,4.13,0.8,1.08e+04,1,1,
n1,n52,290,260,47.5,47.5,243.0,243.0,1.930e-66,2.590e-62,4.13,1.27,1.7e+04,1,1,
n1,n53,290,260,48.7,48.7,251.0,251.0,5.420e-69,7.290e-65,4.13,0.911,1.23e+04,1,1,
n1,n54,290,259,48.9,48.9,244.0,244.0,6.620e-67,8.920e-63,4.13,0.869,1.17e+04,1,1,
n1,n55,290,257,47.9,47.9,241.0,241.0,7.320e-66,9.860e-62,4.13,1.2,1.62e+04,1,1,
n1,n56,290,257,49.0,49.0,247.0,247.0,1.330e-67,1.800e-63,4.13,1.4,1.89e+04,1,1,
n1,n57,290,257,47.9,47.9,242.0,242.0,4.290e-66,5.780e-62,4.13,1.41,1.9e+04,1,1,
n1,n58,290,299,42.9,42.9,235.0,235.0,5.250e-64,7.060e-60,4.13,1.35,1.81e+04,1,1,
n1,n59,290,298,49.7,49.7,274.0,274.0,7.800e-76,1.050e-71,4.13,1.1,1.48e+04,1,1,
n1,n6,290,289,48.4,48.4,242.0,242.0,2.520e-66,3.390e-62,4.13,0.827,1.11e+04,1,1,
n1,n60,290,316,53.2,53.2,275.0,275.0,2.680e-76,3.610e-72,4.13,0.756,1.02e+04,1,1,
n1,n61,290,307,50.6,50.6,265.0,265.0,3.620e-73,4.880e-69,4.13,0.997,1.34e+04,1,1,
n1,n62,290,263,50.2,50.2,251.0,251.0,5.420e-69,7.290e-65,4.13,0.911,1.23e+04,1,1,
n1,n63,290,282,29.1,29.1,113.0,113.0,1.760e-27,2.370e-23,4.13,0.849,1.14e+04,0,0,
n1,n64,290,257,48.5,48.5,238.0,238.0,4.740e-65,6.390e-61,4.13,0.972,1.31e+04,1,1,
n1,n66,290,302,49.5,49.5,282.0,282.0,3.740e-78,5.040e-74,4.13,1.35,1.82e+04,1,1,
n1,n67,290,366,38.8,38.8,172.0,172.0,3.200e-45,4.310e-41,4.13,0.89,1.2e+04,1,1,
n1,n68,290,302,49.0,50.0,289.0,291.0,1.790e-80,8.310e-77,3.67,0.827,1.54e+04,1,1,
n1,n69,290,279,48.4,48.4,249.0,249.0,2.060e-68,2.770e-64,4.13,0.865,1.16e+04,1,1,
n1,n7,290,302,51.2,51.2,286.0,286.0,1.980e-79,2.670e-75,4.13,1.14,1.54e+04,1,1,
n1,n70,290,292,51.0,51.0,282.0,282.0,2.870e-78,3.860e-74,4.13,1.04,1.39e+04,1,1,
n1,n71,290,297,51.4,51.4,290.0,290.0,1.050e-80,1.420e-76,4.13,0.97,1.31e+04,1,1,
n1,n72,290,311,44.5,44.5,233.0,233.0,1.170e-63,1.570e-59,4.13,0.75,1.01e+04,1,1,
n1,n73,290,302,42.4,42.4,233.0,233.0,1.170e-63,1.570e-59,4.13,0.75,1.01e+04,1,1,
n1,n74,290,284,52.0,52.0,262.0,262.0,3.070e-72,4.130e-68,4.13,1.06,1.42e+04,1,1,
n1,n75,290,279,61.5,61.5,355.0,355.0,2.660e-100,3.590e-96,4.13,0.907,1.22e+04,1,1,
n1,n76,290,304,48.2,48.2,272.0,272.0,3.870e-75,5.210e-71,4.13,1.36,1.84e+04,1,1,
n1,n77,290,304,49.7,49.7,280.0,280.0,1.090e-77,1.470e-73,4.13,0.983,1.33e+04,1,1,
n1,n78,290,293,44.9,44.9,240.0,240.0,9.560e-66,1.290e-61,4.13,0.784,1.06e+04,1,1,
n1,n79,290,283,34.5,34.5,146.0,146.0,3.200e-37,4.320e-33,4.13,1.33,1.79e+04,1,1,
n1,n8,290,262,50.6,50.6,252.0,252.0,2.430e-69,3.270e-65,4.13,0.817,1.1e+04,1,1,
n1,n80,290,301,47.4,49.7,255.0,262.0,2.870e-70,5.400e-68,2.27,0.772,1.86e+04,1,1,
