node_id	sequence_md5	accession	accession_all	enzyme_name	organism	sequence_length	v1_component	cath
m0001	004af9e9b29cb7a99eee6d96edfaabcd	ATH80290	ATH80290	HP	Ectopseudomonas mendocina	280		
m0002	00855c73c087597a6c69fa2b114d731e	SAY37579.1	SAY37579.1	PHL-11	Compost metagenome	260	1	3.40.50.1820
m0003	009e600d3a7df316a22764026a76e2bc	WP_142197250.1	WP_142197250.1	ScPETase	Streptomyces calvus	300		
m0004	010991495537828f0796c93512058d2e	MGYP000321434903	MGYP000321434903	TEP037		259		
m0005	02048bc3dc3b8c853e51fcc55038f6ac	KAH7127633	KAH7127633	DmC	Dactylonectria macrodidyma	237	2	3.40.50.1820
m0006	024678fb7e5f5a204647fd2d1e393aab	Q3L8N0	Q3L8N0	LCP_STRK3	Streptomyces sp. K30	407	16	NA
m0007	04eb6f62384740641a457083240d65be	WP_137976057.1	WP_137976057.1	1821	Streptomyces violaceusniger	378		
m0008	0600d8fd8a62760bde8393fb0fde0e0d	WP_091283529.1	WP_091283529.1	1591	Micromonospora haikouensis	463		
m0009	067e281972e92f24fb345ef6c8870caa	APJ12152	APJ12152;APJ12152.1	LipMRD9	Bacillus safensis	215	26	3.40.50.1820
m0010	06d89e9f595b7abc6f662a4ea5fc3f77	OP972510	OP972510;WBR49957	UMG-SP-2	Metagenome	439	10	3.90.1300.10
m0011	06ea0302cc54279d54aebaa45774cfe7	A0A3D1YDR8	A0A3D1YDR8	Nyl37	Dehalococcoidia bacterium	311		
m0012	073907a632be32c5b92c8381c4de0c90	LC073705	LC073705;WP_085748997.1	LatA	R. gummiphilus NS21	679	15	NA
m0013	073f8bc76f09e2183891c86f93e05b7d	MBO9569276.1	MBO9569276.1	TEP091	Cellulomonas iranensis	284		
m0014	07624194bbcd6bf29fe626de86e9ca46	WP_150070118.1	WP_150070118.1	TEP105	Saccharopolyspora hirsuta	295		
m0015	085add734f10d1917f9638347ab618d2	Q939Q9	Q939Q9;WP_132259156.1	PhaZ7	Paucimonas lemoignei	380	34	3.40.50.1820
m0016	0a552022c4776bbf93ebe23164db0cd0	MBW4703769.1	MBW4703769.1	ESM101	Micromonospora sp. RL09-050-HVF-A	474		
m0017	0ac767e72406f2fc0cf50fd9008e6f16	A0A291HVH1	A0A291HVH1;ATG80622.1	LP175	Laceyella sacchari	385	21	3.40.50.1820
m0018	0b490a6d93d67b0ebb2d6cd3d80f9d9a	WKW63607.1	WKW63607.1	PET93	Maribacter dokdonensis	434		
m0019	0bed3021f541af53d7f9285ae8d85094	WP_144022925.1	WP_144022925.1	ESM160	Asanoa hainanensis	296		
m0020	0c554c0dd255de614d248db3118d89da	AAK28498.1	AAK28498.1	AmdA	Agrobacterium tumefaciens d3	517	10	3.90.1300.10
m0021	0c75d9f81ae52914a609ec24d4c68ea2	SAY37587	SAY37587;SAY37587.1	PHL-51	Compost metagenome	257	1	3.40.50.1820
m0022	0ccba4d53ac83e5437ecd1027cfe4ab8	TAL40028	TAL40028	Nyl50	Alphaproteobacteria bacterium	305		
m0023	0ce515d8f0c2a6b72722a127e726b8d7	A4UZ12	AB302138; A4UZ12;BAF57212.1	PlaM7 depolymerase	Metagenome	283	5	3.40.50.1820
m0024	0d1c7296209804664d2da95c23eea089	P08684.4	P08684.4	CYP450	Homo sapiens	503		
m0025	0d26a77d2ffda03e4582e295927066c6	AAY92471.1	AAY92471.1;WP_011061486.1	PueA	Pseudomonas protegens strain Pf-5	617	4	3.40.50.1820
m0026	0d51bfebc665db66f2d9c28959b141d3	WP_130464304.1	WP_130464304.1	1538	Plantactinospora sp. B6F1	472		
m0027	0dd151000d71720a7a8996bf7fb3acbf	P80008.1	P80008.1	Arylacylamidase	Nocardia globerula	28		
m0028	0e841a3c1f59a0cfd7b1ac47b6e7b1bd	WKA69984.1	WKA69984.1	CpCut1-like	Cladosporium sp. P7	221	2	3.40.50.1820
m0029	0f43f7fe3f0c0042197df2508ee850e3	WP_086784246.1	WP_086784246.1	1654	Crossiella equi	418		
m0030	0ff17ebdb173018728d2219bcd5f4e38	AAA21974.1	AAA21974.1	PhaZAfa	Alcaligenes faecalis	488		
m0031	1090fc7df5cb6e4866fd00779c1d8e28	ANG60415	ANG60415;ANG60415.1	GatA	Lysinibacillus fusiformis SCO2	472	10	3.90.1300.10
m0032	10d87dbad4c4c7bfd7d5c331cef5b9ce	ADM47605.1	ADM47605.1	Enzyme 702	Thermobifida fusca	262	1	3.40.50.1820
m0033	10e219e71a25db666947cbd3afc63123	A0A1Z2SIQ1_VIBGA	A0A1Z2SIQ1_VIBGA;ASA57064.1	PET5; LipA	Oleispira antarctica RB-8	298	1	3.40.50.1820
m0034	10f99a34d701d302d6cd789182b6508e	A0A7V9NEU5	A0A7V9NEU5	Nyl71	Acidobacteriota bacterium	359		
m0035	1101bda63c95a021aad8d9924dfba646	ALS54749.1	ALS54749.1	Chath_Est1	Hungatella hathewayi	528		
m0036	11448cbf80389c1a758d8dfcba90907c	A0A1E1FNX8	A0A1E1FNX8;BAV72205.1	PBATHBp	Bacillus pumilus	215	26	3.40.50.1820
m0037	1197ee1b96f74dd16a31dad1ba334c46	WP_062195544.1	WP_062195544.1	Enzyme 406	Comamonadaceae bacterium	292	1	3.40.50.1820
m0038	12efbdad63de5275909365067113db41	UNZ81747	UNZ81747;UNZ81747.1	IS113	Dehalococcoidia bacterium	455	43	3.40.710.10
m0039	1361228bf3f1c19ea8214555076414a7	SHM40309	SHM40309;SHM40309.1	CaPETase	Cryptosporangium aurantiacum	299	1	3.40.50.1820
m0040	14a5c3e1584a0ee2518f18810a7fed98	RLT92980.1	RLT92980.1	Enzyme 403	Ketobacter sp.	269	1	3.40.50.1820
m0041	14c85d0adef7eb6df5a6ed35c4a73ba8	UFE15763.1	UFE15763.1	lcp2		402		
m0042	15317ec096461afae2a6111e17b27633	Q0KBZ6	Q0KBZ6;WP_011615004.1	PhaY2	Cuprivadus necator ATC17699	293	33	3.40.50.1820
m0043	1545cf731ea10ee62b256807199e37d8	RLU00646.1	RLU00646.1	RgCut-II	Rhizobacter gummiphilus	312	1	3.40.50.1820
m0044	15938ddd57d7448aa110a9139193c91b	OK558825	OK558825;UUT36764	PET12; PbCut; SbCut; AAW51_2473	Caldimonas brevitalea	307	1	3.40.50.1820
m0045	161e4dc2c4ef1e36fe625c65439a815b	CCH19814.1	CCH19814.1	1617	Micromonospora lupini	465		
m0046	167f1e4e4481dfb27bd087d9b3902929	Q75UA4	Q75UA4	PLAase	Amycolatopsis (Nocardia) sp. strain K104-1	238	11	2.40.10.10
m0047	174ba911d73b1edc801c52651ec17efd	ODU60407.1	ODU60407.1	Enzyme 412	Ketobacter alkanivorans	305	1	3.40.50.1820
m0048	17cf0142a842915adf56bd16d1f70336	WP_260709492.1	WP_260709492.1	TEP054	Dactylosporangium aurantiacum	437		
m0049	1801d10ed570ce70933bdbe9f25a34b6	WP_239135698.1	WP_239135698.1	ESM093	Dactylosporangium siamense	279		
m0050	1825599eda3fb3a78763126d00597799	5ZOA_A	5ZOA_A	TfH	Thermobifida fusca	261		
m0051	18de7a550936804f8be57fdf26a8e0e3	ABY67151.1	ABY67151.1	PLAase III	Amycolatopsis orientalis	176		
m0052	18f1178aa194bcd44f9de9bf8b6ef166	MPZ00478.1	MPZ00478.1	APET-25	Actinophytocola sp.	285		
m0053	198d14bb37149debc526a3f90e777956	H6N162	H6N162;WP_006368739.1	Lcp1VH2	Gordonia polyisoprenivorans	407	16	NA
m0054	1b0d2c147b96bad033703fb124a50764	AEV21261.1	AEV21261.1;G9BY57	HRB29-GBD22443 like	LCC leaf compost metagenome	293	1	3.40.50.1820
m0055	1dac4ce79e11274c7297487b461232e1	NP_390179.1	NP_390179.1	BsMPPE	Bacillus subtilis	259		
m0056	1e1f498fae0e6d56fb87a52a1fef96ff	WP_083947829	WP_083947829;WP_083947829.1	Enzyme 711	Thermobifida cellulosilytica	284	1	3.40.50.1820
m0057	1fd045e8b65176376e182facc216b772	OWT56952	OWT56952	Nyl16	Candidimonas nitroreducens	335		
m0058	2053c1f056678cc0df8796d8990fb355	WP_111214096.1	WP_111214096.1	ESM059	Micromonospora craterilacus	462		
m0059	20f7abda67d907b1e03456185b9a7df8	SPF04022.1	SPF04022.1	1392	Streptomyces sp. MA5143a	287		
m0060	213f66a13d29726369cc62acb0ec8c5b	WP_131292212.1	WP_131292212.1	Nyl47	Kribbella sindirgiensis	287		
m0061	21529d199ac34be22c7967f66af4194b	GIG90696.1	GIG90696.1	TEP092	Plantactinospora endophytica	472		
m0062	21b9ee3c2d064bd97bf205292edd4e77	WP_239125827.1	WP_239125827.1	ESM144	Catellatospora bangladeshensis	288		
m0063	228edba5269227f472a446139a646369	WP_108898647	WP_108898647;WP_108898647.1	Ces39_5	Caldibacillus thermoamylovorans	249	39	3.40.50.1820
m0064	23af3c0ada6021e4452780933588e6da	YNPsite06_CeleraDRAFT_263770	YNPsite06_CeleraDRAFT_263770	Enzyme 101 like	Metagenome	613	23	3.40.50.1820
m0065	2510ccd8faea4efb0652cab75394adfa	WP_144126986.1	WP_144126986.1	1507	Catellatospora sichuanensis	275		
m0066	25535d4836a01c7d3cc4bbeba3c18437	XCO66867	XCO66867	PurH	Aeromicrobium sp.	286	1	3.40.50.1820
m0067	255e2b78ca9f54fe397d3917c1c6cae9	A0A7I8E2Z4	A0A7I8E2Z4;BCL64964.1;UNZ22463.1	PBATHRF; pbath	Rhodococcus fascians NKCM2511	216	2	3.40.50.1820
m0068	263a6865371a5e0924e53280192fa035	WP_034767800	WP_034767800;WP_034767800.1	Ces19_14	Caldibacillus thermoamylovorans	240	36	3.40.50.1820
m0069	263b6d9cf1f73ddee6c8d0410fdaf229	Q0KCI0	Q0KCI0;WP_011614907.1	PhaZ1	Cuprivadus necator ATC17699	419	3	3.40.50.1820
m0070	27b40925ec9dab01a97010da9157f232	MSS57807	MSS57807	Nyl73	Stecheria intestinalis	319		
m0071	2952634441666dbdb22a48ce9cde12c5	CEE00769.1	CEE00769.1;WP_034768559.1	Est8_89	Caldibacillus thermoamylovorans	266	22	3.40.50.1820
m0072	2a3c4f5280e7c5835b8e1428f7044fe3	WP_233872418.1	WP_233872418.1	DP090	Streptomyces sp. ST2-7A	314		
m0073	2a9215b62ae074282dc7ffcda6232192	YCL34723	YCL34723	DIEGO	uncultured bacterium	293		
m0074	2aefc1d9f667923f2f590677c9bd72d3	YNP6_02150	YNP6_02150	Enzyme 102 like	Metagenome	565	23	3.40.50.1820
m0075	2af6d737171357f18fd9f3cddedf6015	MBX2857432.1	MBX2857432.1	APET-28	Cellvibrionaceae bacterium	275		
m0076	2b913d598a604cd64df1b67d929b5d6f	MGYP000532440779	MGYP000532440779	MG8	Oral metagenome	307		
m0077	2b9fd2b29499ad2d285db6505328e11d	BAI99230	BAI99230;BAI99230.2;D4Q9N1	Est1; Enzyme 708	Thermobifida alba AHK119	296	1	3.40.50.1820
m0078	2c71453465b0acb39d172983ac4a7387	WP_116023875.1	WP_116023875.1	APET-19	Thermomonospora umbrina	279		
m0079	2cd5f487f5114193eaf1c99806f6ef63	A0A031MKR8	A0A031MKR8;WP_036989706.1	PsCut	Pseudomonas saudimassiliensis	302	1	3.40.50.1820
m0080	2cdb0469feb77ba7e2d63ca3b108b137	WP_031525917.1	WP_031525917.1	ESM043	Streptomyces sp. NRRL F-5123	426		
m0081	2d321d769e7c7464a135d954c2a9a866	WP_149259982.1	WP_149259982.1	TEP067	Actinomadura sp. K4S16	309		
m0082	2da35d44369fc57fbab077687acd8caf	WP_091450391.1	WP_091450391.1	1228	Actinokineospora iranica	281		
m0083	2ddc62c97241531aed04530538ae54d8	XDS72785.1	XDS72785.1	Sis	Geothermal metagenome	282	1	3.40.50.1820
m0084	2faa60f73ded9c502787ece47fca13f7	A0A060N399	A0A060N399;BAN51852.1	PLAse	Paraphoma sp. B47-9	227	2	3.40.50.1820
m0085	31564b91ecf89c422e16abc249221256	WP_110080872.1	WP_110080872.1	1424	Actinokineospora spheciospongiae	316		
m0086	3159d0f519fd0565b7134f18713e8324	WP_085750434.1	WP_085750434.1	DP039	Piscinibacter gummiphilus	289		
m0087	316e87e4b339708fb285d715f460c8d2	UFE15762.1	UFE15762.1	lcp1		406		
m0088	3195c72d9a6cc23e6a918505eb460744	WP_256510026.1	WP_256510026.1	TEP041	Crossiella sp. SN42	266		
m0089	31e8cee08e99636ef7d35f9f5457bb57	WP_085749238	WP_085749238;WP_085749238.1	RgPETase; RgCut-I	Rhizobacter gummiphilus NS21	279	1	3.40.50.1820
m0090	32320ea9636947aaaa29de601c9a9fa4	Q0K2G9	Q0K2G9;WP_011616952.1	PhaZ5	Cuprivadus necator ATC17699	407	3	3.40.50.1820
m0091	325634c8b48334249f0532c897258e2e	WP_068824797.1	WP_068824797.1	jmPE14	Pseudomonas sp. JM16B3	297	1	3.40.50.1820
m0092	336f0649eca9651f90fe2d208cd29559	WP_293218050.1	WP_293218050.1	GatA-like	Parvibaculum sp.	485	10	3.90.1300.10
m0093	339540f3809d8ac98ee633f1da7247e9	AB739034	AB739034;XP_014659518.1	PaE; PaCLE1	Pseudozyma (Candida) antarctica	224	2	3.40.50.1820
m0094	342ff8b50fc233be7b68dc6cd032d5a7	AKJ87250	AKJ87250;KP347755.1	MGS0084	Metagenome	411	18	TBDY
