n3	n3	100.0	5.38e-218	747
n3	n35	95.1	1.86e-202	695
n3	n128	53.3	0.00884	32
n3	n96	27.7	0.0573	29
n3	n40	31.0	0.633	25
n17	n17	100.0	5.49e-184	633
n17	n100	26.7	0.18	27
n1	n1	100.0	1.75e-168	582
n1	n21	78.6	3.23e-130	455
n1	n47	78.6	3.23e-130	455
n1	n4	74.9	3.03e-120	421
n1	n18	64.6	4.53e-108	381
n1	n75	61.5	2.66e-100	355
n1	n42	62.1	2.49e-98	349
n1	n68	50.0	6.17e-81	291
n1	n71	51.4	1.05e-80	290
n1	n7	51.2	1.98e-79	286
n1	n70	51.0	6.38e-78	281
n1	n36	54.8	8.34e-78	280
n1	n77	49.7	1.09e-77	280
n1	n86	50.7	1.57e-76	276
n1	n60	53.2	2.68e-76	275
n1	n59	49.7	7.8e-76	274
n1	n89	53.2	1.02e-75	273
n1	n51	53.0	2.27e-75	272
n1	n76	48.2	3.87e-75	272
n1	n61	50.6	3.62e-73	265
n1	n41	49.6	2.35e-72	262
n1	n25	49.7	3.07e-72	262
n1	n74	52.0	3.07e-72	262
n1	n81	50.5	5.23e-72	261
n1	n45	49.3	6.84e-72	261
n1	n14	49.3	6.84e-72	261
n1	n20	48.4	1.99e-71	259
n1	n31	49.6	5.42e-69	251
n1	n62	50.2	5.42e-69	251
n1	n12	49.6	5.42e-69	251
n1	n53	48.7	5.42e-69	251
n1	n5	49.0	2.06e-68	249
n1	n69	48.4	2.06e-68	249
n1	n33	47.3	1.33e-67	247
n1	n16	48.9	1.74e-67	246
n1	n54	48.9	6.62e-67	244
n1	n2	47.7	4.29e-66	242
n1	n78	44.9	9.56e-66	240
n1	n24	44.5	2.78e-65	239
n1	n87	42.8	4.02e-64	235
n1	n58	42.9	5.25e-64	235
n1	n72	44.5	1.17e-63	233
n1	n73	42.4	1.17e-63	233
n1	n34	44.7	3.4e-63	232
n1	n32	44.5	4.16e-61	225
n1	n88	45.3	1.58e-60	223
n1	n28	41.9	8.67e-59	217
n1	n43	44.2	7.34e-58	214
n1	n83	40.6	3.19e-53	199
n1	n67	38.8	3.2e-45	172
n1	n82	36.9	1.39e-40	157
n1	n50	35.6	2.9e-38	149
n1	n79	34.5	3.2e-37	146
n1	n40	30.1	6.27e-25	105
n1	n96	25.5	1.08	24
n9	n9	100.0	8.49e-185	636
n9	n81	62.2	1.03e-105	373
n9	n62	64.8	8.42e-100	354
n9	n64	67.7	2.45e-99	352
n9	n53	63.2	1.49e-96	343
n9	n6	58.1	3.31e-96	342
n9	n5	59.0	9.01e-94	334
n9	n2	62.2	7.63e-93	330
n9	n54	62.0	1.3e-92	330
n9	n87	56.6	6.46e-92	327
n9	n27	57.0	1.1e-91	327
n9	n22	57.0	1.1e-91	327
n9	n72	54.8	3.21e-91	325
n9	n23	56.0	7.9e-90	320
n9	n78	57.0	2.3e-89	319
n9	n74	57.2	1.94e-88	316
n9	n73	55.2	2.54e-88	315
n9	n16	58.9	2.15e-87	312
n9	n24	52.8	1.39e-86	310
n9	n56	59.3	9.03e-86	307
n9	n57	58.1	1.3e-84	303
n9	n55	57.8	4.96e-84	301
n9	n33	55.6	1.44e-83	300
n9	n28	55.0	7.91e-82	294
n9	n34	53.4	1.07e-78	283
n9	n32	49.8	4.06e-78	282
n9	n69	51.1	1.11e-75	273
n9	n18	49.5	2.47e-75	272
n9	n58	49.3	9.37e-75	270
n9	n42	49.5	6.07e-74	268
n9	n70	47.6	7.93e-74	267
n9	n4	47.0	3.12e-70	255
n9	n83	48.1	1.55e-69	253
n9	n21	47.9	7.68e-69	251
n9	n47	47.9	7.68e-69	251
n9	n51	46.0	1.6e-66	243
n9	n41	47.6	1.04e-65	240
n9	n88	47.7	5.7e-64	235
n9	n75	48.4	9.72e-64	234
n9	n60	44.4	6.97e-62	228
n9	n61	42.2	1.61e-58	216
n9	n59	39.9	3.58e-58	215
n9	n86	42.9	1.96e-56	210
n9	n20	42.6	7.72e-53	198
n9	n82	33.9	2.95e-36	143
n9	n50	32.6	5.75e-32	128
n9	n79	32.5	2.42e-30	123
n9	n63	28.1	1.28e-23	101
n9	n124	22.5	0.236	27
n18	n18	100.0	1.52e-175	605
n18	n42	69.1	2.31e-115	405
n18	n4	66.1	3.12e-112	395
n18	n47	66.1	2.73e-108	382
n18	n21	66.1	2.73e-108	382
n18	n1	64.6	4.66e-108	381
n18	n68	51.5	4.53e-87	311
n18	n41	52.6	5.54e-85	304
n18	n66	50.0	9.45e-85	304
n18	n71	51.0	1.23e-84	303
n18	n51	55.4	1.61e-84	303
n18	n75	55.7	2.75e-84	302
n18	n77	47.7	1.78e-83	299
n18	n59	51.0	1.16e-82	297
n18	n89	48.6	3.36e-82	295
n18	n36	55.8	4.39e-82	295
n18	n74	54.0	1.28e-81	293
n18	n86	50.2	4.85e-81	291
n18	n76	49.2	4.11e-80	288
n18	n20	48.6	7.75e-79	284
n18	n70	49.2	1.73e-78	283
n18	n61	46.0	3.85e-78	282
n18	n19	44.7	1.24e-76	277
n18	n54	51.5	4.7e-76	275
n18	n2	50.7	1.05e-75	273
n18	n60	44.6	1.05e-75	273
n18	n9	48.7	6.79e-75	271
n18	n78	48.3	6.79e-75	271
n18	n62	50.7	1.97e-74	269
n18	n64	53.0	1.67e-73	266
n18	n56	49.8	2.85e-73	265
n18	n57	49.4	3.72e-73	265
n18	n55	49.4	6.35e-73	264
n18	n73	49.3	2.41e-72	262
n18	n24	48.9	4.12e-72	262
n18	n6	47.6	9.17e-72	260
n18	n69	45.9	3.49e-71	258
n18	n72	47.1	4.55e-71	258
n18	n32	47.3	1.46e-69	253
n18	n33	48.6	2.34e-67	246
n18	n58	43.8	8.32e-65	237
n18	n88	45.5	4.13e-64	235
n18	n34	46.8	7.04e-64	234
n18	n83	44.6	1.24e-60	223
n18	n43	40.7	1.05e-59	220
n18	n82	34.2	2.2e-41	159
n18	n3	25.3	4.34e-05	39
n18	n35	24.7	9.67e-05	38
n18	n135	32.8	0.00406	32
n4	n4	100.0	8.45e-171	589
n4	n1	74.9	3.05e-120	421
n4	n21	73.8	5.75e-119	417
n4	n47	73.8	5.75e-119	417
n4	n18	66.1	3.05e-112	395
n4	n42	65.0	3.27e-106	375
n4	n75	57.3	1.53e-87	313
n4	n71	52.9	2.6e-87	312
n4	n59	51.2	1.43e-85	306
n4	n86	54.7	1.75e-83	299
n4	n68	51.0	8.67e-83	297
n4	n41	51.4	4.3e-82	295
n4	n66	50.8	1.25e-81	293
n4	n36	50.5	1.25e-81	293
n4	n7	50.7	4.76e-81	291
n4	n51	52.8	6.87e-80	287
n4	n77	48.8	8.97e-80	287
n4	n89	49.3	1.29e-78	283
n4	n70	51.0	1.43e-77	280
n4	n76	48.1	1.87e-77	279
n4	n74	51.7	4.61e-76	275
n4	n20	47.2	2.53e-74	269
n4	n60	46.4	2.53e-74	269
n4	n81	49.3	9.6e-74	267
n4	n61	46.2	2.79e-73	265
n4	n19	46.4	4.77e-73	265
n4	n69	48.3	4.77e-73	265
n4	n27	50.2	4.03e-72	262
n4	n22	50.2	4.03e-72	262
n4	n16	51.3	6.88e-72	261
n4	n25	48.8	1.53e-71	260
n4	n62	50.0	1.53e-71	260
n4	n14	48.4	3.42e-71	258
n4	n45	48.4	3.42e-71	258
n4	n9	47.0	2.89e-70	255
n4	n12	48.7	1.44e-69	253
n4	n31	48.7	1.44e-69	253
n4	n52	47.4	7.12e-69	251
n4	n53	47.4	9.3e-69	250
n4	n2	48.5	9.3e-69	250
n4	n54	48.5	4.62e-68	248
n4	n24	45.1	7.87e-68	247
n4	n78	46.6	1.34e-67	247
n4	n88	49.3	1.34e-67	247
n4	n64	48.5	5.1e-67	245
n4	n87	46.2	1.49e-66	243
n4	n72	45.8	2.53e-66	242
n4	n33	47.5	5.28e-64	235
n4	n73	44.6	1.18e-63	233
n4	n58	40.8	4.94e-62	228
n4	n28	43.4	1.59e-60	223
n4	n34	46.2	3.54e-60	222
n4	n43	38.9	1.14e-58	217
n4	n83	38.8	1.59e-52	196
n4	n67	36.6	1.5e-42	163
n4	n82	36.2	8.21e-41	158
n4	n50	32.6	1.19e-31	127
n4	n79	32.2	7.7e-31	124
n4	n63	29.0	1.77e-27	113
n4	n49	27.5	0.000162	37
n8	n8	100.0	1.7e-154	535
n8	n15	98.9	7.88e-152	526
n8	n44	98.9	7.88e-152	526
n8	n46	98.9	7.88e-152	526
n8	n26	98.9	1.34e-151	525
n8	n30	98.9	2.29e-151	525
n8	n11	98.9	2.29e-151	525
n8	n80	96.9	1.26e-149	519
n8	n13	97.3	1.26e-149	519
n8	n10	97.3	3.43e-147	511
n8	n29	93.9	1.88e-145	505
n8	n45	92.7	1.76e-143	498
n8	n14	92.7	1.76e-143	498
n8	n12	92.7	5.12e-143	497
n8	n31	92.7	5.12e-143	497
n8	n25	92.0	1.49e-142	495
n8	n22	82.8	1e-130	456
n8	n27	82.8	1e-130	456
n8	n23	82.1	7.18e-129	450
n8	n74	78.6	1.11e-121	426
n8	n16	74.3	3.69e-117	411
n8	n52	67.3	7.48e-102	360
n8	n53	67.6	1.67e-101	359
n8	n24	64.9	3.14e-100	355
n8	n81	63.5	2.25e-98	349
n8	n54	64.5	6.55e-98	347
n8	n64	65.1	1.12e-97	346
n8	n2	64.3	1.91e-97	346
n8	n62	62.7	1.78e-95	339
n8	n6	61.2	8.86e-95	337
n8	n72	60.8	1.16e-94	336
n8	n5	61.0	2.18e-93	332
n8	n78	60.0	1.32e-90	323
n8	n9	59.5	3.6e-88	315
n8	n69	58.5	3.98e-87	311
n8	n33	60.3	3.37e-86	308
n8	n87	59.1	9.81e-86	307
n8	n34	60.3	2.19e-85	305
n8	n28	55.6	5.04e-82	294
n8	n57	55.3	1.98e-78	282
n8	n73	53.2	2.59e-78	282
n8	n56	54.6	5.77e-78	281
n8	n55	54.6	2.19e-77	279
n8	n58	54.0	8.33e-77	277
n8	n42	50.9	1.42e-76	276
n8	n18	51.9	5.4e-76	274
n8	n32	50.6	2.05e-75	272
n8	n68	51.3	1.33e-74	270
n8	n70	49.1	1.47e-73	266
n8	n7	51.5	3.27e-73	265
n8	n51	52.6	1.24e-72	263
n8	n76	49.6	4.73e-72	261
n8	n77	50.0	6.18e-72	261
n8	n88	50.0	1.05e-71	260
n8	n66	49.8	1.38e-71	260
n8	n89	49.4	1.16e-70	257
n8	n4	49.3	4.43e-70	255
n8	n86	48.9	1.68e-69	253
n8	n1	50.6	2.2e-69	252
n8	n19	45.8	1.09e-68	250
n8	n21	51.8	7.07e-68	247
n8	n47	51.8	7.07e-68	247
n8	n59	47.7	1.21e-67	247
n8	n36	48.1	2.68e-67	245
n8	n60	47.4	3.51e-67	245
n8	n71	46.2	7.81e-67	244
n8	n41	48.3	1.74e-66	243
n8	n75	49.2	6.61e-66	241
n8	n20	48.1	1.92e-65	239
n8	n61	46.2	2.51e-65	239
n8	n83	48.3	8.94e-63	230
n8	n43	43.9	4.45e-54	201
n8	n50	33.7	3e-34	136
n8	n79	34.3	6.25e-32	128
n8	n63	31.1	5.66e-25	105
n8	n133	23.7	3.82e-05	39
n2	n2	100.0	1.74e-151	525
n2	n54	98.5	1.62e-149	518
n2	n62	69.3	2.08e-104	369
n2	n53	69.5	3.55e-104	368
n2	n52	68.5	6.05e-104	367
n2	n81	67.7	4.33e-102	361
n2	n16	67.8	3.11e-100	355
n2	n78	66.2	4.06e-100	354
n2	n24	65.6	6.92e-100	354
n2	n30	64.8	5.86e-99	351
n2	n11	64.8	5.86e-99	351
n2	n13	64.8	7.65e-99	350
n2	n6	64.7	2.23e-98	349
n2	n15	64.6	2.91e-98	348
n2	n26	64.6	2.91e-98	348
n2	n46	64.6	2.91e-98	348
n2	n44	64.6	2.91e-98	348
n2	n80	64.6	3.8e-98	348
n2	n29	64.6	8.46e-98	347
n2	n72	64.9	1.88e-97	346
n2	n8	64.3	1.88e-97	346
n2	n12	64.0	3.21e-97	345
n2	n31	64.0	3.21e-97	345
n2	n25	63.9	9.35e-97	343
n2	n14	63.9	1.22e-96	343
n2	n45	63.9	1.22e-96	343
n2	n27	64.3	1.6e-96	342
n2	n22	64.3	1.6e-96	342
n2	n10	63.6	1.76e-95	339
n2	n64	62.2	8.75e-95	337
n2	n23	62.7	3.33e-94	335
n2	n5	62.1	1.26e-93	333
n2	n9	62.2	6.27e-93	330
n2	n56	63.1	4.07e-92	328
n2	n57	63.1	6.94e-92	327
n2	n74	60.8	4.5e-91	324
n2	n55	62.3	5.87e-91	324
n2	n87	63.1	1e-90	323
n2	n73	60.1	3.22e-89	318
n2	n28	56.5	1.11e-81	293
n2	n32	51.9	7.95e-80	287
n2	n33	54.7	1.66e-77	279
n2	n18	51.1	9.1e-76	273
n2	n34	52.7	1.01e-74	270
n2	n58	52.3	3.96e-71	258
n2	n69	50.8	6.75e-71	257
n2	n83	52.5	1.15e-70	257
n2	n21	48.9	5.71e-70	254
n2	n47	48.9	5.71e-70	254
n2	n70	48.3	1.66e-69	253
n2	n4	48.5	8.25e-69	250
n2	n51	47.6	1.84e-68	249
n2	n68	48.9	3.14e-68	248
n2	n76	48.1	5.35e-68	248
n2	n7	47.6	5.91e-67	244
n2	n66	48.3	1.72e-66	243
n2	n1	47.7	3.83e-66	242
n2	n19	46.7	1.46e-65	240
