node_id,sequence_md5,identifier,identifier_all,accession,accession_all,pazy_id,component_id,size_rank,sequence_length,enzyme_name,organism,v1_component,cath
m0414,df38ea060b5dad0dfc9a593e4dce333c,1,1,WP_054022242.1;A0A0K8P6T7;5XFY,WP_054022242.1;A0A0K8P6T7;5XFY,1,C001,1,290,PETase;ISPETase,Piscinibacter sakaiensis;Ideonella sakaiensis 201-F6,1,3.40.50.1820
m0416,e0db2a4f62c16fd0850cb05f28dbe103,2,2,CCK74972.1;R4YKL9_OLEAN,CCK74972.1;R4YKL9_OLEAN,2,C001,1,310,PETase;PET5,Oleispira antarctica,1,3.40.50.1820
m0035,10e219e71a25db666947cbd3afc63123,3,3,ASA57064.1;A0A1Z2SIQ1_VIBGA;7Z6B,ASA57064.1;A0A1Z2SIQ1_VIBGA;7Z6B,3,C001,1,298,PET5;LipA;PET6,Vibrio gazogenes;Oleispira antarctica RB-8,1,3.40.50.1820
m0286,9b361d2c16557499693210de2a8a01b4,4,4,WP_047194864.1;A0A0G3BI90_9BURK,WP_047194864.1;A0A0G3BI90_9BURK,4,C001,1,298,PET6;BSQ33_03270;PET12,Caldimonas brevitalea;Vibrio gazogenes,1,3.40.50.1820
m0045,15938ddd57d7448aa110a9139193c91b,5,5,UUT36764;OK558825;7VMD,UUT36764;OK558825;7VMD,5,C001,1,307,PET12;PbCut;SbCut;AAW51_2473;PLE628,Marinobacter sp.;Caldimonas brevitalea,1,3.40.50.1820
m0478,fe08eef9c8f87d7d57af2914ff906b14,6,6,UUT36763;OK558824,UUT36763;OK558824,6,C001,1,316,PLE628;PLE629,Marinobacter sp.,1,3.40.50.1820
m0363,c4c87c36c70a8f1b15d4f8d38155f609,7,7,ADK73612.1;ADK73612;E9KJL1,ADK73612.1;ADK73612;E9KJL1,7,C001,1,302,PLE629;PpCutA,Ectopseudomonas oleovorans;Marinobacter sp.,1,3.40.50.1820
m0206,710f4592bfa0115da9f3500092b3518f,8,8,WP_022964382.1;KU695573;A0A1B0Z6Y3,WP_022964382.1;KU695573;A0A1B0Z6Y3,8,C001,1,307,PpCutA;PoCut;PpelaLip,Halopseudomonas pelagia;Pseudomonas oleovorans DSM 50188,1,3.40.50.1820
m0339,b96e3838fee9bee7a9d7d7d57eda9386,9,9,WP_088276085.1;A0A1H6AD45;6SBN,WP_088276085.1;A0A1H6AD45;6SBN,9,C001,1,304,PpelaLip;PE-H,Halopseudomonas aestusnigri;Pseudomonas pelagia DSM 25163,1,3.40.50.1820
m0340,bb60668c33aefeacbb320f1a972407e4,10,10,ABP86951,ABP86951,10,C001,1,280,PmC,Ectopseudomonas mendocina,,
m0195,6c92a78329d5a05cad38caf62075d747,11,11,P19833.1;P19833;8SPK,P19833.1;P19833;8SPK,11,C001,1,319,PaCut;Mors1,Moraxella sp. TA144;Pseudomonas alcaligenes,1,3.40.50.1820
m0076,2b913d598a604cd64df1b67d929b5d6f,13,13,MGYP000532440779,MGYP000532440779,13,C001,1,307,MG8,Oral metagenome,,
m0118,4307017d78508de526bb8422be94a4c4,15,15,WP_085749752.1;A4W93_05950;7DZT,WP_085749752.1;A4W93_05950;7DZT,15,C001,1,292,EstB;RgPETase,Piscinibacter gummiphilus;Pseudomonas sp. strain 9.2,1,3.40.50.1820
m0053,1b0d2c147b96bad033703fb124a50764,16,16,AEV21261.1;G9BY57;4EBO,AEV21261.1;G9BY57;4EBO,16,C001,1,293,HRB29-GBD22443 like;LCC,LCC leaf compost metagenome,1,3.40.50.1820
