node_id,sequence_md5,accession,sequence_length,component_id,component_kind,is_new,outcome,v1_component,merged_from,cath,pazy_id,activity
m0028,0e841a3c1f59a0cfd7b1ac47b6e7b1bd,-,221,2,inherited,0,,2,,3.40.50.1820,,
m0238,82b7aa41d984234dbb69f23c5dfebbb9,-,222,2,inherited,0,,2,,3.40.50.1820,,
m0084,2faa60f73ded9c502787ece47fca13f7,A0A060N399,227,2,inherited,0,,2,,3.40.50.1820,,
m0430,ea7a24d47eff2487f1491b3ad67cce64,A0A060N5H2,226,2,inherited,0,,2,,3.40.50.1820,,
m0408,e0b91bc8063c1c7e94e918fcfd8cf2bc,A0A075B5G4,194,2,inherited,0,,2,,3.40.50.1820,,
m0143,4e42b62ac9f3158a2a5a2b35e117d950,A0A0P0ZE81,239,2,inherited,0,,2,,3.40.50.1820,,
m0067,255e2b78ca9f54fe397d3917c1c6cae9,A0A7I8E2Z4,216,2,inherited,0,,2,,3.40.50.1820,,
m0387,d46d1c755303a13d2a19d9393a49d2f7,AAA33335.1,230,2,inherited,0,,2,,3.40.50.1820,,
m0374,cd3efa9108622a39c229634066ce0292,AB102945.1; Q874E,239,2,inherited,0,,2,,3.40.50.1820,,
m0093,339540f3809d8ac98ee633f1da7247e9,AB739034,224,2,inherited,0,,2,,3.40.50.1820,,
m0318,b316862d7118e4358cbe8bf6be6de118,ESK97883,203,2,inherited,0,,2,,3.40.50.1820,,
m0005,02048bc3dc3b8c853e51fcc55038f6ac,KAH7127633,237,2,inherited,0,,2,,3.40.50.1820,,
m0460,f7e864f6573eccaba6017448237af700,P52956,213,2,inherited,0,,2,,3.40.50.1820,,
m0399,dab2da810add966a777bb8c243da293b,Q99174,230,2,inherited,0,,2,,3.40.50.1820,,
m0296,a2dfe48912d34dabd9ec983f2380b945,QEX94755.1,186,2,inherited,0,,2,,3.40.50.1820,,
m0291,a0550530145e06d4170e283fb389aa62,X0BTD8,230,2,inherited,0,,2,,3.40.50.1820,,
m0092,336f0649eca9651f90fe2d208cd29559,-,485,10,inherited,0,,10,,3.90.1300.10,,
m0178,643cdc8e6bf40238fb4a3568cc8eb4f8,-,472,10,inherited,0,,10,,3.90.1300.10,,
m0020,0c554c0dd255de614d248db3118d89da,AAK28498.1,517,10,inherited,0,,10,,3.90.1300.10,,
m0164,5c06f1259bc12791a4627d9b18c94185,AGT90042.1,483,10,inherited,0,,10,,3.90.1300.10,,
m0031,1090fc7df5cb6e4866fd00779c1d8e28,ANG60415.1,472,10,inherited,0,,10,,3.90.1300.10,,
m0343,c05531f7c89f4efafc1f2537c89ad129,ARF18137.1,472,10,inherited,0,,10,,3.90.1300.10,,
m0172,6139d7ee947801e1ffa5c9345c785900,AY026386,525,10,inherited,0,,10,,3.90.1300.10,,
m0027,0dd151000d71720a7a8996bf7fb3acbf,Arylacylamidase,28,10,inherited,1,join,,,,,
m0350,c21fdb598a3887e2e8a5af55068ffec4,BAI44731,479,10,inherited,0,,10,,3.90.1300.10,,
m0413,e422c7b9aabe1a23f75d15bd35cf71a6,BBP47208; XP_036664376,551,10,inherited,0,,10,,3.90.1300.10,,
m0218,77bca54fb186cc66d3f509d6fb835b65,NYLA_FLASK,493,10,inherited,0,,10,,3.90.1300.10,,
m0302,a79509a510d90a50f6702955b1ad3b49,NYLA_PSES8,493,10,inherited,0,,10,,3.90.1300.10,,
m0233,815c8cb8347c7ae5a0b5f9f5e645b5db,Q12559,545,10,inherited,0,,10,,3.90.1300.10,,
m0133,4ae54f06384b9660b40e76e9a902f585,WBR49956,438,10,inherited,0,,10,,3.90.1300.10,,
m0010,06d89e9f595b7abc6f662a4ea5fc3f77,WBR49957,439,10,inherited,0,,10,,3.90.1300.10,,
m0417,e517914dc89db0a2eedf86b6f66bf60c,WBR49958,439,10,inherited,0,,10,,3.90.1300.10,,
m0397,d91b645ebea282e1c771123a7abe685f,WP_011209364.1,479,10,inherited,0,,10,,3.90.1300.10,,
m0373,ccec191e60e12d1782682af2211d9640,WP_185053500,471,10,inherited,0,,10,,3.90.1300.10,,
m0243,848290309a9cbec4776951ce54a69af3,aryl acylamidase,479,10,inherited,1,join,,,,,
m0235,81f568dbaa464c36246be059cfa19188,-,282,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0358,c51ea9e72ca4f046ba7b615cdd6e1bc0,-,273,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0334,bd809f78218b2481c1bf1b3a46c74053,1169,276,M1,merged,1,merge,,1;20;35,,,
m0082,2da35d44369fc57fbab077687acd8caf,1228,281,M1,merged,1,merge,,1;20;35,,,
m0106,3cdb04dfc6e8e2e6816fbe523d088f25,1240,303,M1,merged,1,merge,,1;20;35,,,
m0289,9ffafefd549320c21cd92af62f19d6eb,1309,286,M1,merged,1,merge,,1;20;35,,,
m0394,d887c31f2cd02dc21c2c52c61d02bd31,1340,298,M1,merged,1,merge,,1;20;35,,,
m0059,20f7abda67d907b1e03456185b9a7df8,1392,287,M1,merged,1,merge,,1;20;35,,,
m0279,9a39f26de8397ad8e82c7ddd5ffb0a75,1395,295,M1,merged,1,merge,,1;20;35,,,
m0085,31564b91ecf89c422e16abc249221256,1424,316,M1,merged,1,merge,,1;20;35,,,
m0104,3b8571a2d62a99f31d344cab5662e8e5,1457,302,M1,merged,1,merge,,1;20;35,,,
m0160,5a6ca9ba6be2179ba6074343233d0a9b,1463,265,M1,merged,1,merge,,1;20;35,,,
m0378,d09446e7bab13e062244cd0babc73a84,1465,415,M1,merged,1,merge,,1;20;35,,,
m0183,66ecc46b29b845a7a916ce1874720817,1468,444,M1,merged,1,merge,,1;20;35,,,
m0466,fb6cb498ca713c8ff665a94eeaeab29f,1475,375,M1,merged,1,merge,,1;20;35,,,
m0385,d4376d2f4006abaa992a58c321df357d,1477,315,M1,merged,1,merge,,1;20;35,,,
m0375,cefc6b105a243397b6a039e186c6c27b,1478,331,M1,merged,1,merge,,1;20;35,,,
m0197,6e59b2b22d0932610243c38a9455adb5,1482,413,M1,merged,1,merge,,1;20;35,,,
m0191,6bfc5e52adfd5c1d647dbdd440a07380,1489,447,M1,merged,1,merge,,1;20;35,,,
m0163,5b6bcacc9716a844b6969cbeb5e49ef1,1491,455,M1,merged,1,merge,,1;20;35,,,
m0401,dcdd75a330b1680da8c69fade4d72aab,1493,454,M1,merged,1,merge,,1;20;35,,,
m0427,e7456e8fab716e570d81b4e7665698f5,1496,304,M1,merged,1,merge,,1;20;35,,,
m0335,bd90b02ae5726ceb4ec9f4431ba2ac16,1506,436,M1,merged,1,merge,,1;20;35,,,
m0065,2510ccd8faea4efb0652cab75394adfa,1507,275,M1,merged,1,merge,,1;20;35,,,
m0249,86e8274d483618172b997d8cd41d9088,1519,426,M1,merged,1,merge,,1;20;35,,,
m0216,77a7b5a521e48effd1710f14533ed6a5,1521,443,M1,merged,1,merge,,1;20;35,,,
m0219,783d312623e9a23ce795d29a255d97a8,1522,276,M1,merged,1,merge,,1;20;35,,,
m0353,c38a15e286e531b02f655ce186f4c301,1525,444,M1,merged,1,merge,,1;20;35,,,
m0381,d2d63d5f8721e814ea2a657ecc8fe703,1534,469,M1,merged,1,merge,,1;20;35,,,
m0320,b413b66095d2f7ce85f02f9748d49cb5,1537,425,M1,merged,1,merge,,1;20;35,,,
m0026,0d51bfebc665db66f2d9c28959b141d3,1538,472,M1,merged,1,merge,,1;20;35,,,
m0109,3dcbffcfab5a9bf0b1856144dd30e5ef,1545,467,M1,merged,1,merge,,1;20;35,,,
m0369,cb8aae798de32e627b62936dbc407aaf,1546,448,M1,merged,1,merge,,1;20;35,,,
m0272,95d3a22f0e3002d3ebc3f9cc29dfe4d8,1555,348,M1,merged,1,merge,,1;20;35,,,
m0467,fbbad91070ae99aa6eed1595044335d5,1571,329,M1,merged,1,merge,,1;20;35,,,
m0280,9b203af8e18663d4e3880d49e74753ac,1573,422,M1,merged,1,merge,,1;20;35,,,
m0008,0600d8fd8a62760bde8393fb0fde0e0d,1591,463,M1,merged,1,merge,,1;20;35,,,
m0400,dbb69c16a79774a1a51b4b80a8f1bd63,1594,463,M1,merged,1,merge,,1;20;35,,,
m0360,c5df14884c3311c4b6216b9fc6bf19bd,1603,465,M1,merged,1,merge,,1;20;35,,,
m0389,d5d535a4628f661aac624e4bf67a6739,1611,465,M1,merged,1,merge,,1;20;35,,,
m0045,161e4dc2c4ef1e36fe625c65439a815b,1617,465,M1,merged,1,merge,,1;20;35,,,
m0451,f246639aef84a3e6be3c89eac9b2dfbf,1620,461,M1,merged,1,merge,,1;20;35,,,
m0433,ebab773a50031e4f18dfa532f93c9379,1621,465,M1,merged,1,merge,,1;20;35,,,
m0250,871ef0545eb8542ab53b599df2bff175,1625,468,M1,merged,1,merge,,1;20;35,,,
m0292,a07188a7bbb3e92357c73d9654c37734,1628,463,M1,merged,1,merge,,1;20;35,,,
m0189,690953c8ee380d8f7a711710318247ac,1635,487,M1,merged,1,merge,,1;20;35,,,
m0112,3f5b7ed180255f20639a75548bb8ac56,1637,462,M1,merged,1,merge,,1;20;35,,,
m0245,84adddad34e99d2a499ea48da9b8e877,1638,277,M1,merged,1,merge,,1;20;35,,,
m0186,688e3468b20f955579952d514c187611,1641,460,M1,merged,1,merge,,1;20;35,,,
m0396,d8c880a8e19c3f44b32d639747b57222,1642,465,M1,merged,1,merge,,1;20;35,,,
m0029,0f43f7fe3f0c0042197df2508ee850e3,1654,418,M1,merged,1,merge,,1;20;35,,,
m0325,b6f1885d482dc52936e39d224a8c33d1,1663,289,M1,merged,1,merge,,1;20;35,,,
m0200,6f59754c646b6771593cdb66b1cc732b,1678,424,M1,merged,1,merge,,1;20;35,,,
m0196,6def7fc8a6f81bb797445e688dbb615f,169,308,M1,merged,1,merge,,1;20;35,,,
m0239,82d420ad8219d9469aeea11873ba7544,1718,337,M1,merged,1,merge,,1;20;35,,,
m0007,04eb6f62384740641a457083240d65be,1821,378,M1,merged,1,merge,,1;20;35,,,
m0140,4ce5f290ca4d5d58749e55ef4f739ea0,1868,436,M1,merged,1,merge,,1;20;35,,,
m0428,e7d1a404d6aeb48e1849f68fefcf018f,1876,423,M1,merged,1,merge,,1;20;35,,,
m0223,7a0b4f5fc6faf46b8f8e8de955097dbe,191,316,M1,merged,1,merge,,1;20;35,,,
m0437,ece8f45d57141ab0f29280d76fc2a9b7,247,288,M1,merged,1,merge,,1;20;35,,,
m0283,9bc4714d8e79f6fcfcad8aca634001ab,282,299,M1,merged,1,merge,,1;20;35,,,
m0144,4eb20c9016001fd934311ea5fc36f89f,385,272,M1,merged,1,merge,,1;20;35,,,
m0120,43855fcf31b8ee18bc3c65f3b00f10cb,401,296,M1,merged,1,merge,,1;20;35,,,
m0203,70461e4ccc8f072afc5757915d4ab26f,407,436,M1,merged,1,merge,,1;20;35,,,
m0162,5b3f01f3bbd1d34e9bcd72527c959781,412,311,M1,merged,1,merge,,1;20;35,,,
m0461,f85c8564f510148807a599ea6a5cf433,414,289,M1,merged,1,merge,,1;20;35,,,
m0379,d0cd1d061b574c3e97321300be9b3c6e,486,300,M1,merged,1,merge,,1;20;35,,,
m0268,9584eb11232d43e7df101608e2829102,554,309,M1,merged,1,merge,,1;20;35,,,
m0348,c14a617c964156f1d3d4b9dedd1535b4,607-Nsp,306,M1,merged,1,merge,,1;20;35,,,
m0153,553239996e512830a1db6b67fb4aa1c7,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,259,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0269,95981aed79b153af6c6d1c44c404d164,917,297,M1,merged,1,merge,,1;20;35,,,
m0079,2cd5f487f5114193eaf1c99806f6ef63,A0A031MKR8,302,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0117,42aa40364f5684f1f255819ab69b7b92,A0A078MGG8,302,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0281,9b361d2c16557499693210de2a8a01b4,A0A0G3BI90_9BURK,298,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0407,df38ea060b5dad0dfc9a593e4dce333c,A0A0K8P6T7,290,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0171,604018ae8af9058028c669f8ed8de020,A0A1F4JXW8,426,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0331,b96e3838fee9bee7a9d7d7d57eda9386,A0A1H6AD45,304,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0033,10e219e71a25db666947cbd3afc63123,A0A1Z2SIQ1_VIBGA,298,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0118,4307017d78508de526bb8422be94a4c4,A4W93_05950,292,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0438,ee0092b4288da1c69a59e16f2b702cdf,ACC95208.1,308,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0270,95b8c354124ce6fc0e73869c1285b609,ACY95991.1,292,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0357,c4c87c36c70a8f1b15d4f8d38155f609,ADK73612,302,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0032,10d87dbad4c4c7bfd7d5c331cef5b9ce,ADM47605.1,262,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0423,e65e54bed8b506d0ddf1f5164bf29425,ADV92526.1,262,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0125,46578a460f23e13d1ebe0b0ebf887282,ADV92571,262,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0391,d67ede223c06bbb9c7903735558b4123,AGT96415,314,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0368,cae1f0e206dd5d377dbfb013f72cd60c,AJ810119,301,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0420,e56db99e4a0ff79df4c68a9972670396,APET-15,285,M1,merged,1,merge,,1;20;35,,,
m0097,362632b30b43e3854087c699d608f0b1,APET-17,290,M1,merged,1,merge,,1;20;35,,,
m0078,2c71453465b0acb39d172983ac4a7387,APET-19,279,M1,merged,1,merge,,1;20;35,,,
m0188,68f440a1f49336f2bc51060f5c2e99f1,APET-20,293,M1,merged,1,merge,,1;20;35,,,
m0316,b2ce4b3f3cb218404c049bd6ca3c3fef,APET-24,287,M1,merged,1,merge,,1;20;35,,,
m0052,18f1178aa194bcd44f9de9bf8b6ef166,APET-25,285,M1,merged,1,merge,,1;20;35,,,
m0455,f382d762cf0b0bafd3934f5417accc62,APET-26,268,M1,merged,1,merge,,1;20;35,,,
m0411,e1a1ea6ee428462b281b661258d4bb19,APET-27,288,M1,merged,1,merge,,1;20;35,,,
m0075,2af6d737171357f18fd9f3cddedf6015,APET-28,275,M1,merged,1,merge,,1;20;35,,,
m0328,b80b1227f73f4dd4ff1fd9546d415275,APET-29,305,M1,merged,1,merge,,1;20;35,,,
m0414,e44d2abc0169b043201fff28f40feeb9,APET-32,292,M1,merged,1,merge,,1;20;35,,,
m0263,91fdd1b5e2e32c2e3842e6b87058f3ad,APET-5,298,M1,merged,1,merge,,1;20;35,,,
m0303,a9bad1df9172c94be6b225bd32b6bd1d,BAB86909,304,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0077,2b9fd2b29499ad2d285db6505328e11d,BAI99230,296,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0339,be8748feeb335dbb23ea57c0ca66828f,D1A9G5,289,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0419,e5571e8fd143e90bd5db0ca52ce67226,DAC80635,284,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0073,2a9215b62ae074282dc7ffcda6232192,DIEGO,293,M1,merged,1,merge,,1;20;35,,,
m0136,4b8623751837c39c9fe582aa5d675187,DP003,319,M1,merged,1,merge,,1;20;35,,,
m0098,36a989ab704be3f0d22479cc94524084,DP006,294,M1,merged,1,merge,,1;20;35,,,
m0222,79c49015e4218f7c3a46046c08b8030d,DP007,297,M1,merged,1,merge,,1;20;35,,,
m0266,93d3e56e0fbe62971eaa3408dd5c2753,DP008,297,M1,merged,1,merge,,1;20;35,,,
m0230,7e5680dfd06abf1e4f5a432453eb246d,DP016,310,M1,merged,1,merge,,1;20;35,,,
m0102,3a8b3b50918fa1553710b5c8d094771c,DP017,283,M1,merged,1,merge,,1;20;35,,,
m0211,74f45b9b297fc969ba3fd070bdedc403,DP021,451,M1,merged,1,merge,,1;20;35,,,
m0138,4c8584c9364804042a9544a4f193e5dc,DP038,288,M1,merged,1,merge,,1;20;35,,,
m0086,3159d0f519fd0565b7134f18713e8324,DP039,289,M1,merged,1,merge,,1;20;35,,,
m0114,4128006510697cae616c99ca6fbb128c,DP040,299,M1,merged,1,merge,,1;20;35,,,
m0157,574237800be392daa0a6c80748375073,DP043,312,M1,merged,1,merge,,1;20;35,,,
m0425,e6c65f28982cd50933de3173d5a6959d,DP054,295,M1,merged,1,merge,,1;20;35,,,
m0158,5803ed5f151b9467fa2e8894554b330e,DP056,303,M1,merged,1,merge,,1;20;35,,,
m0267,93e9e12285afdbc5032f261307327236,DP057,322,M1,merged,1,merge,,1;20;35,,,
m0130,486620f02642fa1a8f78c36a2740b0ec,DP059,445,M1,merged,1,merge,,1;20;35,,,
m0240,83679359d645f51f2cc5de9332d999c2,DP061,457,M1,merged,1,merge,,1;20;35,,,
m0212,75970cca0aca8c2628e21abeff92d2b0,DP068,420,M1,merged,1,merge,,1;20;35,,,
m0225,7ad7db832510d64d62b4e29db40fa372,DP078,298,M1,merged,1,merge,,1;20;35,,,
m0312,aea6a56696f03519f9e6511f50cff512,DP080,292,M1,merged,1,merge,,1;20;35,,,
m0317,b3098fdcf4be1ef53a8636f87b4e409c,DP081,425,M1,merged,1,merge,,1;20;35,,,
m0194,6c94e122d721e790088493d35c7c03a9,DP082,295,M1,merged,1,merge,,1;20;35,,,
m0155,56793a483b6506d4f822ce4dab41cbcb,DP084,285,M1,merged,1,merge,,1;20;35,,,
m0346,c0d2eecc958484c772145471290f41e4,DP089,287,M1,merged,1,merge,,1;20;35,,,
m0072,2a3c4f5280e7c5835b8e1428f7044fe3,DP090,314,M1,merged,1,merge,,1;20;35,,,
m0187,68c96339ea5e9153dffdfbe8f9906985,DP092,450,M1,merged,1,merge,,1;20;35,,,
m0141,4d6c690dd47d3941954de2c9d2abaf2f,E5BBQ2,319,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0376,cf88b3e711edffd341ba052fb3365c25,E5BBQ3_THEFU,261,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0354,c3b10fec34299e75939e57d3458275fe,E8U721,315,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0167,5e3a225d0c4dad34e74078ea45904b70,E9LVH7,262,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0208,7290711b3d888830a61b777dcd01df5d,E9LVI0_THEFU,262,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0177,6435b353e1e02d2f720bc95ef5cb13af,EGD44994.1,294,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0152,551946ddbe6046c13ca1a257eab4aeff,ESM006,405,M1,merged,1,merge,,1;20;35,,,
m0456,f50fd2a3843ce155233b360ab9cded21,ESM010,475,M1,merged,1,merge,,1;20;35,,,
m0297,a2f79a79ff4db5f56ded2690d708f4c9,ESM012,415,M1,merged,1,merge,,1;20;35,,,
m0364,c941981ddefbf835b8fb921890d009e0,ESM021,452,M1,merged,1,merge,,1;20;35,,,
m0260,8fede4413e76abb354158b5bb05b5c6e,ESM024,432,M1,merged,1,merge,,1;20;35,,,
m0231,7f597bfa435ab3ad4d01391067fcea07,ESM026,435,M1,merged,1,merge,,1;20;35,,,
